2,startup,shutdown,n,c2,c1,c0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,24.98342,0
2,0,0,3,0,124.581564,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,28.948321,0
2,0,0,3,0,22.22098,0
2,0,0,3,0,0,0
2,0,0,3,0,25.993982,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,24.202306,0
2,0,0,3,0,16.673942,0
2,0,0,3,0,27.277343,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,24.861868,0
2,0,0,3,0,16.056042,0
2,0,0,3,0,0,0
2,0,0,3,0,34.781778,0
2,0,0,3,0,32.668781,0
2,0,0,3,0,25.758442,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,24.600772,0
2,0,0,3,0,0,0
2,0,0,3,0,34.072633,0
2,0,0,3,0,24.605102,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,12.61217,0
2,0,0,3,0,28.649471,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,35.043401,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
