bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
1,81.555,0,75,-75,1,100,1,149,14.11
12,187.5,23.5,210,-163,1,100,1,325,50
18,87.3375,0,81,-81,1,100,1,162,12.675
29,50.7975,0,45,-45,1,100,1,90,11.595
33,36.225,4,40,-32,1,100,1,64,8.45
39,168,33.5,210,-143,1,100,1,286,50
42,36.1825,0,34,-34,1,100,1,67,5.365
45,263.5,0,239,-239,1,100,1,477,50
51,227,0,202,-202,1,100,1,404,50
54,81.18,0,75,-75,1,100,1,150,12.36
62,433.5,93,520,-334,1,100,1,667,200
63,979,0,879,-879,1,100,1,1758,200
66,201,0,176,-176,1,100,1,352,50
68,130.4525,0,122,-122,1,100,1,243,17.905
69,89.9525,0,81,-81,1,100,1,162,17.905
77,58.1075,0,54,-54,1,100,1,108,8.215
78,153.08,0,144,-144,1,100,1,288,18.16
79,68.5225,0,66,-66,1,100,1,131,6.045
86,120.5,0,96,-96,1,100,1,191,50
94,38.94,0,36,-36,1,100,1,72,5.88
96,62.7375,0,55,-55,1,100,1,109,16.475
97,131.7375,0,124,-124,1,100,1,247,16.475
98,139.7375,0,132,-132,1,100,1,263,16.475
99,43.975,0,40,-40,1,100,1,80,7.95
100,72.475,0,69,-69,1,100,1,137,7.95
101,113.7375,0,106,-106,1,100,1,211,16.475
102,95.2375,0,87,-87,1,100,1,174,16.475
104,222.6575,0,208,-208,1,100,1,416,29.315
107,113.3775,0,102,-102,1,100,1,204,22.755
110,146.245,0,131,-131,1,100,1,262,30.49
114,71.5575,0,65,-65,1,100,1,129,14.115
115,109.725,0,106,-106,1,100,1,212,7.45
121,49.505,0,44,-44,1,100,1,87,12.01
132,20.5875,0,20,-20,1,100,1,39,2.175
133,66.1275,0,60,-60,1,100,1,120,12.255
134,56.59,0,49,-49,1,100,1,98,15.18
135,45.5575,0.5,40,-39,1,100,1,77,14.115
136,41.4725,13.5,60,-33,1,100,1,66,16.945
144,47.9675,0,45,-45,1,100,1,90,5.935
145,589.5,15,520,-490,1,100,1,979,200
146,383.5,118,520,-284,1,100,1,567,200
147,372,124,520,-272,1,100,1,544,200
151,172,1.5,150,-147,1,100,1,294,50
153,47.5225,0,42,-42,1,100,1,83,12.045
154,699.5,0,575,-575,1,100,1,1149,250
156,96.2225,0,88,-88,1,100,1,176,16.445
161,102.2225,0,94,-94,1,100,1,188,16.445
162,105.2225,0,97,-97,1,100,1,194,16.445
165,81.0575,0,74,-74,1,100,1,148,14.115
179,132.3375,0,117,-117,1,100,1,233,31.675
182,58.3275,0,53,-53,1,100,1,105,11.655
196,177.0125,0,164,-164,1,100,1,327,27.025
197,128.5,28,160,-104,1,100,1,207,50
207,52.6575,0,48,-48,1,100,1,96,9.315
220,114.2875,0,98,-98,1,100,1,196,32.575
221,141.7875,0,126,-126,1,100,1,251,32.575
222,113.2775,0,97,-97,1,100,1,194,32.555
223,154.2875,0,138,-138,1,100,1,276,32.575
224,81.7775,0,66,-66,1,100,1,131,32.555
225,190.2775,0,174,-174,1,100,1,348,32.555
229,65.505,0,62,-62,1,100,1,124,7.01
241,453.5,83,520,-354,1,100,1,707,200
243,29.405,3,30,-24,1,100,1,48,10.81
248,39.8975,0,36,-36,1,100,1,71,8.795
250,186.5,0,162,-162,1,100,1,323,50
258,20.3675,0,19,-19,1,100,1,38,2.735
259,35.9175,0,30,-30,1,100,1,59,12.835
266,92.7475,0,88,-88,1,100,1,176,9.495
270,34.5675,0,32,-32,1,100,1,63,6.135
271,465,77.5,520,-365,1,100,1,730,200
273,898.5,0,799,-799,1,100,1,1597,200
274,491.5,64,520,-392,1,100,1,783,200
275,506,57,520,-406,1,100,1,812,200
276,762.5,0,663,-663,1,100,1,1325,200
278,398,11,320,-298,1,100,1,596,200
283,10.3325,0,10,-10,1,100,1,18,2.665
289,38.65,0,33,-33,1,100,1,65,12.3
294,74.4675,0,59,-59,1,100,1,118,30.935
296,51.5,0,48,-48,1,100,1,96,7
299,176,0,151,-151,1,100,1,302,50
304,68.1625,0,62,-62,1,100,1,123,13.325
305,71.1225,0,67,-67,1,100,1,133,9.245
306,85.1225,0,81,-81,1,100,1,161,9.245
307,47.9425,0,45,-45,1,100,1,90,5.885
308,82.9425,0,80,-80,1,100,1,160,5.885
309,34.3475,0.5,30,-29,1,100,1,58,10.695
310,44.3475,0,39,-39,1,100,1,78,10.695
311,65.3475,0,60,-60,1,100,1,120,10.695
312,92.8475,0,88,-88,1,100,1,175,10.695
315,4.3425,0,10,-10,1,100,1,8,0.685
323,224.5,172.5,520,-175,1,100,1,349,100
324,12.3325,0,12,-12,1,100,1,23,1.665
325,19.3,0,19,-19,1,100,1,37,1.6
328,96.09,0,87,-87,1,100,1,174,18.18
331,67.1025,0,63,-63,1,100,1,125,9.205
332,5.8325,0,10,-10,1,100,1,11,0.665
336,38.68,0,36,-36,1,100,1,72,5.36
338,39.68,0,37,-37,1,100,1,74,5.36
345,344,0,294,-294,1,100,1,588,100
346,293.5,0,244,-244,1,100,1,487,100
351,182.5,26,210,-158,1,100,1,315,50
354,36.57,0,31,-31,1,100,1,61,12.14
358,286.5,0,262,-262,1,100,1,523,50
360,156.02,0,142,-142,1,100,1,284,28.04
361,96.52,0,83,-83,1,100,1,165,28.04
