2,startup,shutdown,n,c2,c1,c0
2,0,0,3,0,36.879614,0
2,0,0,3,0,102.818703,0
2,0,0,3,0,123.867753,0
2,0,0,3,0,106.23021,0
2,0,0,3,0,111.337642,0
2,0,0,3,0,37.203873,0
2,0,0,3,0,49.778795,0
2,0,0,3,0,27.586445,0
2,0,0,3,0,21.586989,0
2,0,0,3,0,102.922605,0
2,0,0,3,0,23.347606,0
2,0,0,3,0,110.7211,0
2,0,0,3,0,26.419861,0
2,0,0,3,0,30.601438,0
2,0,0,3,0,42.569564,0
2,0,0,3,0,22.993553,0
2,0,0,3,0,45.335599,0
2,0,0,3,0,34.93723,0
2,0,0,3,0,30.757753,0
2,0,0,3,0,30.622515,0
2,0,0,3,0,46.406787,0
2,0,0,3,0,31.911806,0
2,0,0,3,0,31.483516,0
2,0,0,3,0,31.323377,0
2,0,0,3,0,30.74473,0
2,0,0,3,0,13.975616,0
2,0,0,3,0,48.070538,0
2,0,0,3,0,111.022896,0
2,0,0,3,0,44.772489,0
2,0,0,3,0,43.154786,0
2,0,0,3,0,39.003663,0
2,0,0,3,0,29.811093,0
2,0,0,3,0,0,0
2,0,0,3,0,34.301794,0
2,0,0,3,0,44.860956,0
2,0,0,3,0,120.918113,0
2,0,0,3,0,24.962467,0
2,0,0,3,0,32.859582,0
2,0,0,3,0,41.589808,0
2,0,0,3,0,35.660132,0
2,0,0,3,0,89.794302,0
2,0,0,3,0,32.09503,0
2,0,0,3,0,34.473234,0
2,0,0,3,0,43.179533,0
2,0,0,3,0,106.557899,0
2,0,0,3,0,14.407526,0
2,0,0,3,0,119.630609,0
2,0,0,3,0,116.533424,0
2,0,0,3,0,126.010118,0
2,0,0,3,0,6.745408,0
2,0,0,3,0,107.069234,0
2,0,0,3,0,29.420074,0
2,0,0,3,0,31.885121,0
2,0,0,3,0,35.833663,0
2,0,0,3,0,119.431558,0
2,0,0,3,0,121.989784,0
2,0,0,3,0,104.195581,0
2,0,0,3,0,65.052207,0
2,0,0,3,0,44.924115,0
2,0,0,3,0,42.564627,0
2,0,0,3,0,6.450082,0
2,0,0,3,0,24.823632,0
2,0,0,3,0,30.414781,0
2,0,0,3,0,31.215842,0
2,0,0,3,0,33.015136,0
2,0,0,3,0,31.598869,0
2,0,0,3,0,28.829022,0
2,0,0,3,0,20.078606,0
2,0,0,3,0,50.521495,0
2,0,0,3,0,95.047113,0
2,0,0,3,0,114.295845,0
2,0,0,3,0,103.134064,0
2,0,0,3,0,30.57954,0
2,0,0,3,0,20.312818,0
2,0,0,3,0,44.670303,0
2,0,0,3,0,43.533901,0
2,0,0,3,0,106.652079,0
2,0,0,3,0,25.143778,0
2,0,0,3,0,18.119992,0
2,0,0,3,0,28.421775,0
2,0,0,3,0,15.660903,0
2,0,0,3,0,5.667664,0
2,0,0,3,0,19.797917,0
2,0,0,3,0,109.357263,0
2,0,0,3,0,116.925701,0
2,0,0,3,0,38.911893,0
2,0,0,3,0,103.504481,0
2,0,0,3,0,29.879728,0
2,0,0,3,0,54.667442,0
2,0,0,3,0,35.644799,0
2,0,0,3,0,100.15199,0
2,0,0,3,0,53.625088,0
2,0,0,3,0,30.773174,0
2,0,0,3,0,129.451325,0
2,0,0,3,0,45.436313,0
2,0,0,3,0,39.09167,0
2,0,0,3,0,99.401859,0
2,0,0,3,0,21.662259,0
2,0,0,3,0,45.541664,0
2,0,0,3,0,49.469415,0
2,0,0,3,0,32.311689,0
2,0,0,3,0,119.347719,0
2,0,0,3,0,23.547369,0
2,0,0,3,0,2.859808,0
2,0,0,3,0,6.864972,0
2,0,0,3,0,99.497152,0
2,0,0,3,0,31.789207,0
2,0,0,3,0,32.540539,0
2,0,0,3,0,6.7936,0
2,0,0,3,0,34.083995,0
2,0,0,3,0,54.297341,0
2,0,0,3,0,25.405366,0
2,0,0,3,0,26.762535,0
2,0,0,3,0,27.545621,0
2,0,0,3,0,33.616738,0
2,0,0,3,0,37.617069,0
2,0,0,3,0,107.884528,0
2,0,0,3,0,19.721211,0
2,0,0,3,0,25.911063,0
2,0,0,3,0,24.383565,0
2,0,0,3,0,45.281971,0
2,0,0,3,0,30.253167,0
2,0,0,3,0,25.853896,0
2,0,0,3,0,23.384789,0
2,0,0,3,0,6.75884,0
2,0,0,3,0,24.457229,0
2,0,0,3,0,28.3147,0
2,0,0,3,0,29.429072,0
2,0,0,3,0,20.273721,0
2,0,0,3,0,48.176458,0
2,0,0,3,0,34.299742,0
2,0,0,3,0,17.076737,0
2,0,0,3,0,16.588831,0
2,0,0,3,0,19.318277,0
2,0,0,3,0,18.680412,0
2,0,0,3,0,6.633383,0
2,0,0,3,0,41.475369,0
2,0,0,3,0,32.07935,0
2,0,0,3,0,37.66586,0
2,0,0,3,0,22.878714,0
2,0,0,3,0,28.952303,0
2,0,0,3,0,40.359034,0
2,0,0,3,0,34.353015,0
2,0,0,3,0,27.111097,0
2,0,0,3,0,41.652275,0
2,0,0,3,0,27.441246,0
2,0,0,3,0,37.797956,0
2,0,0,3,0,13.786673,0
2,0,0,3,0,112.501633,0
2,0,0,3,0,45.184068,0
2,0,0,3,0,35.242997,0
2,0,0,3,0,29.73272,0
2,0,0,3,0,7.072944,0
2,0,0,3,0,7.190143,0
2,0,0,3,0,29.024814,0
2,0,0,3,0,111.973759,0
2,0,0,3,0,121.864221,0
2,0,0,3,0,123.841827,0
2,0,0,3,0,106.668799,0
2,0,0,3,0,97.191384,0
2,0,0,3,0,101.011895,0
2,0,0,3,0,43.474735,0
2,0,0,3,0,114.499177,0
2,0,0,3,0,34.889776,0
2,0,0,3,0,111.696301,0
2,0,0,3,0,27.980534,0
2,0,0,3,0,30.408853,0
2,0,0,3,0,22.166895,0
2,0,0,3,0,32.13073,0
2,0,0,3,0,22.139349,0
2,0,0,3,0,35.693046,0
2,0,0,3,0,6.813815,0
2,0,0,3,0,25.239496,0
2,0,0,3,0,24.05861,0
2,0,0,3,0,52.977338,0
2,0,0,3,0,22.002061,0
2,0,0,3,0,32.412444,0
2,0,0,3,0,38.385621,0
2,0,0,3,0,23.937604,0
2,0,0,3,0,40.588644,0
2,0,0,3,0,121.788286,0
2,0,0,3,0,22.180489,0
2,0,0,3,0,15.118668,0
2,0,0,3,0,19.235965,0
2,0,0,3,0,41.308627,0
2,0,0,3,0,43.331328,0
2,0,0,3,0,32.923634,0
2,0,0,3,0,37.787385,0
2,0,0,3,0,115.799925,0
2,0,0,3,0,125.358723,0
2,0,0,3,0,106.839232,0
2,0,0,3,0,37.470049,0
2,0,0,3,0,113.967568,0
2,0,0,3,0,115.113942,0
2,0,0,3,0,25.222493,0
2,0,0,3,0,13.647219,0
2,0,0,3,0,103.342463,0
2,0,0,3,0,38.215685,0
2,0,0,3,0,48.344191,0
2,0,0,3,0,27.309325,0
2,0,0,3,0,41.403946,0
2,0,0,3,0,110.713088,0
2,0,0,3,0,26.135622,0
2,0,0,3,0,121.847407,0
2,0,0,3,0,46.328098,0
