bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
17,0,0,120,-36,1.03,241.9,0,72,70
17,0,0,283,-283,1.03,233.2,0,565,70
26,417.5,0,345,-345,1.03,415.9,1,690,145
27,290.5,0,218,-218,1.03,407.1,1,436,145
27,0,0,190,-52,1.03,407.1,0,103,290
27,0,0,190,-19,1.03,415.9,0,32,290
26,297,0,225,-225,1.03,415.9,1,449,145
28,324,0,252,-252,1,415.9,1,503,145
28,0,0,590,-590,1,415.9,0,1179,145
28,0,0,555,-555,1,415.9,0,1110,145
29,0,0,190,-61,1,415.9,0,122,290
29,350,0,278,-278,1,415.9,1,555,145
29,271,0,199,-199,1,415.9,1,397,145
42,136.5,15.5,135,-104,1.03,253.9,1,208,65
42,0,0,130,-34,1.03,242.7,0,12,135
42,0,0,145,-97,1.03,267.7,0,194,55
43,0,0,145,-58,1.03,267.7,0,116,60
43,151,13,145,-119,1.03,267.7,1,237,65
43,0,0,130,-34,1.03,242.7,0,23,135
44,383.75,21.5,363,-320,1,646.5,1,640,127.5
44,0,0,348,-100,1,659.3,0,173,125
54,0,0,104,-29,1.03,247.9,0,57,129
55,210.75,0,179,-179,1.03,259.9,1,357,64.5
54,0,0,130,-60,1.03,259.9,0,120,64.5
56,360.75,0,329,-329,1,259.9,1,657,64.5
57,315.25,0,283,-283,1,259.9,1,566,64.5
57,0,0,104,-25,1,247.9,0,49,129
57,0,0,130,-76,1,259.9,0,152,64.5
58,95.425,0,86,-86,1.03,57.7,1,171,19.85
78,175,0,140,-140,1.03,256.4,1,280,70
78,166.5,0,132,-132,1.03,256.4,1,263,70
79,0,0,123,-95,1.03,252,0,189,70
79,0,0,123,-24,1.03,256.4,0,47,140
79,325,0,290,-290,1.03,256.4,1,580,70
82,204,41.5,232,-149,1,445.2,1,298,110
82,0,0,228,-113,1,434.6,0,226,110
98,206.2495,0,204,-204,1.03,12,1,408,4.499
98,82.4995,0,81,-81,1.03,6.1,1,162,2.999
104,317,0,284,-284,1.03,256.4,1,567,67
105,0,0,123,-23,1.03,256.4,0,45,134
106,125.75,0,106,-106,1.03,144.2,1,212,39.5
107,0,0,80,-12,1.03,144.2,0,23,79
116,0,0,90,-56,1.03,150,0,111,45
117,111,0,94,-94,1.03,145.3,1,187,35
118,0,0,44,-44,1.03,117,0,88,40
125,0,0,135,-35,1.03,253.9,0,18,160
126,0,0,140,-35,1.03,265,0,17,140
126,180.5,0,141,-141,1.03,253.9,1,281,80
127,174,0.5,140,-139,1,265,1,278,70
127,0,0,137,-40,1,259.2,0,1,160
132,0,0,51.6,-51.6,1.03,131.2,1,0,0
132,0,0,40,-38,1.03,131.2,0,0,0
133,0,0,40,-38,1.03,131.2,0,0,0
133,0,0,50.4,-50.4,1.03,131.2,1,0,0
134,0,0,90,-11,1.03,150,0,22,100
134,0,0,90,-85,1.03,150,0,170,50
135,146,0,121,-121,1.03,150,1,242,50
146,0,0,12,-12,1.03,51.4,0,24,15
146,0,0,66,-66,1.03,51.4,0,131,15
147,0,0,90,-79,1.03,150,0,158,45
148,0,0,149,-51,1.03,267.4,0,101,45
148,0,0,153,-153,1.03,253.4,0,305,67.5
148,0,0,149,-101,1.03,253.4,0,202,67.5
148,160.5,5.5,149,-138,1.03,267.4,1,276,45
150,153,0,131,-131,1,253.8,1,261,45
151,150.5,10.5,149,-128,1,267.4,1,256,45
151,0,0,129,-129,1,253.8,0,257,45
155,174.5,0,151,-151,1.03,278.3,1,302,47
155,0,0,149,-53,1.03,278.3,0,55,47
155,0,0,143,-143,1.03,287.3,0,285,52
155,0,0,132,-97,1.03,292.5,0,193,52
156,0,0,137,-137,1.03,287.3,0,274,52
156,200,0,168,-168,1.03,236,1,335,65
156,214.5,0,185,-185,1.03,233.1,1,369,60
156,0,0,109,-20,1.03,233.1,0,15,120
158,155,0,187.2,-187.2,1,233.1,1,250,60
164,0,0,104,-55,1.03,225.4,0,110,75
164,186.5,0,149,-149,1.03,225.4,1,298,75
165,182,0,145,-145,1.03,225.4,1,289,75
165,0,0,104,-46,1.03,225.4,0,92,75
180,216.5,0,187,-187,1.03,219.5,1,373,60
205,0,17.8,80,-44.4,1,196.1,1,0,0
205,0,17.8,80,-44.4,1,196.1,1,0,0
205,0,0,110,-60,1,210.1,0,0,0
206,0,0,110,-60,1,210.1,0,0,0
215,67.25,0,62,-62,1.035,58.5,1,123,11.5
215,0,0,20,0,1.035,53.9,0,0,0
215,0,0,20,0,1.035,53.9,0,0,0
215,21.25,0,20,-20,1.035,30.5,1,39,3.5
221,16.3875,0,16,-16,1.035,2.3,1,32,0.775
222,36.8875,0,37,-37,1.035,2.3,1,73,0.775
240,47.575,0,46,-46,1.035,9.8,1,92,3.15
247,421.5,0,349,-349,1.035,415.9,1,698,145
310,0,0,7,0,1.035,27.9,0,0,0
310,0,0,7,0,1.035,27.9,0,0,0
310,33.25,0,31,-31,1.035,30.8,1,61,5.5
310,0,0,7,0,1.035,27.9,0,0,0
310,0,0,6,0,1.035,27.7,0,0,0
310,0,0,7,0,1.035,27.9,0,0,0
310,0,0,7,0,1.035,27.9,0,0,0
311,0,0,15,0,1.035,36.7,0,0,0
311,0,0,15,0,1.035,57,0,0,0
312,166,0,162,-162,1.035,36.7,1,324,8
312,0,0,15,0,1.035,57,0,0,0
314,58.75,0,53,-53,1.035,53.9,1,105,12.5
314,0,0,20,0,1.035,53.9,0,0,0
315,0,0,40,0,1.035,107.7,0,0,0
323,37.125,0,37,-37,1.035,4.1,1,73,1.25
366,98.5,0,89,-89,1.035,47.8,1,177,20
367,154,0,144,-144,1.035,47.8,1,288,20
368,84.5,0,75,-75,1.035,47.8,1,149,20
369,147.5,0,138,-138,1.035,47.8,1,275,20
386,178.5,0,144,-144,1.035,251.3,1,287,70
386,0,0,17,-17,1.035,26.9,0,33,6
387,75.5,0,73,-73,1.035,19.7,1,146,5
444,47.375,0,47,-47,1.035,3.6,1,94,0.75
453,17.8025,0,17,-17,1.035,6.1,1,33,2.605
453,0,0,2,0,1.035,6.1,0,0,0
486,34.35,0,34,-34,1.035,1.7,1,68,0.7
537,110.75,0,105,-105,1.035,53.9,1,209,12.5
537,0,0,14,0,1.035,34.9,0,0,0
537,0,0,14,0,1.035,34,0,0,0
537,0,0,14,0,1.035,105.9,0,0,0
537,0,0,14,0,1.035,105.9,0,0,0
538,59,0,54,-54,1.035,36.5,1,108,10
538,54,0,49,-49,1.035,35.6,1,98,10
538,0,0,17.5,0,1.035,126.2,0,0,0
538,0,0,17.5,0,1.035,106.4,0,0,0
552,61.35,0,61,-61,1.035,1.7,1,122,0.7
560,91.625,0,86,-86,1.035,35.4,1,172,11.25
560,0,0,5,0,1.035,28.4,0,0,0
560,0,0,5,0,1.035,26.5,0,0,0
560,0,0,5,0,1.035,30.4,0,0,0
560,0,0,5,0,1.035,34.4,0,0,0
561,186.125,0,181,-181,1.035,35.4,1,361,11.25
561,0,0,5,0,1.035,34.4,0,0,0
561,0,0,5,0,1.035,26.5,0,0,0
561,0,0,5,0,1.035,34.4,0,0,0
574,38.75,0,39,-39,1.035,8.9,1,77,0.5
627,201.5,0,183,-183,1.035,97.7,1,365,38
627,44.5,0,37,-37,1.035,46.8,1,74,15
665,116,30.5,145,-84,1.035,267.7,1,167,65
666,0,0,145,-34,1.035,267.7,0,25,130
