bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
1279,278.25,0,277,-277,1.04445,100,1,553,3.5
1210,37.305,0,36,-36,1,100,1,71,3.61
751,64.3,0,3896.4,-3896.4,1.01588,100,1,124,4.6
978,45.5,0,46,-46,1,100,1,91,0
978,88.35,0,88,-88,1,100,1,176,0.7
158,28.5,0,29,-29,1,100,1,57,0
1217,59.15,0,59,-59,1.02261,100,1,117,1.3
367,88,0,86,-86,1,100,1,171,5
1127,77.3,0,77,-77,1.01587,100,1,153,1.6
460,68.6,0,66,-66,1.04643,100,1,131,6.2
968,38.9,0,3873.6,-3873.6,1,100,1,76,1.8
1827,98.6,0,174,-174,1.03333,100,1,195,2.2
1466,24.25,0,31.2,-31.2,1,100,1,48,0.5
2863,54.75,0,55,-55,1,100,1,109,0.5
1466,43.75,0,44,-44,1,100,1,87,0.5
2863,85.75,0,86,-86,1,100,1,171,0.5
1072,55.1,0,1280.4,-1280.4,1.00445,100,1,109,1.2
1072,0,0,80,-80,1.00445,100,0,160,1.4
1072,31.6,0,1280.4,-1280.4,1.00445,100,1,62,1.2
642,27.5175,0,27,-27,1.02121,100,1,54,1.035
642,62.5175,0,62,-62,1.02121,100,1,124,1.035
542,74.75,0,74,-74,1.01587,100,1,147,2.5
773,38.1,0,38,-38,1,100,1,75,1.2
399,31.19,0,31,-31,1.01587,100,1,61,1.38
399,48.5,0,49,-49,1.01587,100,1,97,0
21,52.2,0,128.4,-128.4,0.98889,100,1,102,2.4
21,60.38,0,128.4,-128.4,0.98889,100,1,118,2.76
899,70.9,0,70,-70,1.00071,100,1,140,1.8
899,43.05,0,42,-42,1.00071,100,1,84,2.1
2618,41.3,0,41,-41,1,100,1,82,0.6
2618,40.875,0,39,-39,1,100,1,78,3.75
285,44.8,0,45,-45,1,100,1,89,0.6
285,45.375,0,44,-44,1,100,1,87,3.75
135,41.65,0,41,-41,1,100,1,82,1.3
53,21.9,0,21,-21,1.01587,100,1,42,1.8
53,47.9,0,47,-47,1.01587,100,1,94,1.8
596,592.5,0,593,-593,1.04598,100,1,1185,0
958,26,0,26,-26,0.975,100,1,52,0
1679,50.05,0,49,-49,1,100,1,98,2.1
1679,102.55,0,102,-102,1,100,1,203,2.1
1157,40.86,0,41,-41,1.01587,100,1,81,0.72
513,29.05,0,29,-29,1,100,1,57,1.1
513,31.05,0,31,-31,1,100,1,61,1.1
371,38.9,0,39,-39,1,100,1,77,0.8
371,19.9,0,20,-20,1,100,1,39,0.8
976,53.25,0,52,-52,1.01587,100,1,103,3.5
976,24.75,0,23,-23,1.01587,100,1,46,3.5
2754,86.075,0,86,-86,1.01948,100,1,171,1.15
749,14.425,0,24,-24,0.94444,100,1,28,0.85
1188,23.5,0,448.8,-448.8,1.00463,100,1,45,2
1254,22.7,0,22,-22,1.00129,100,1,43,2.4
252,8.55,0,8,-8,0.94444,100,1,16,1.1
252,21.45,0,21,-21,0.94444,100,1,42,0.9
252,26.05,0,26,-26,0.94444,100,1,51,1.1
252,27.45,0,27,-27,0.94444,100,1,54,0.9
504,28.12,0,36,-36,0.94451,100,1,55,1.24
115,101.765,0,225.6,-225.6,0.98889,100,1,201,2.53
967,68,0,4155.6,-4155.6,1,100,1,136,0
1642,34.5,0,40.8,-40.8,1.01774,100,1,69,0
1811,56.95,0,57,-57,1.00381,100,1,113,0.9
2634,33.7,0,52.8,-52.8,1,100,1,66,1.4
326,49.7,0,49,-49,1,100,1,98,1.4
1829,57.14,0,57,-57,1,100,1,113,1.28
1314,68.45,0,67,-67,1.0057,100,1,133,3.9
71,38.5,0,3314.4,-3314.4,1.00442,100,1,74,3
93,49.8,0,2583.6,-2583.6,1.00453,100,1,99,0.6
129,110.55,0,110,-110,1,100,1,220,1.1
1594,44.6,0,44,-44,1.02196,100,1,88,1.2
1594,71.1,0,71,-71,1.02196,100,1,141,1.2
1354,69,0,69,-69,1.01587,100,1,138,0
1133,41.3625,0,41,-41,1.01587,100,1,81,1.725
1405,45.39,0,44,-44,1,100,1,87,3.78
2850,55.89,0,54,-54,1,100,1,108,3.78
2849,37.39,0,36,-36,1,100,1,71,3.78
1122,94.845,0,95,-95,1.01587,100,1,189,0.69
1708,102,0,91,-91,1.03778,100,1,182,22
1708,123.5,0,113,-113,1.03778,100,1,225,22
1658,23.495,0,42,-42,1,100,1,44,2.99
2884,20.685,0,186,-186,1,100,1,40,1.37
1154,47.04,0,46,-46,1,100,1,92,2.08
231,214.415,0,214,-214,1.01111,100,1,428,0.83
2887,43.185,0,42,-42,1,100,1,84,2.37
2888,37.685,0,37,-37,1,100,1,73,2.37
2889,42.685,0,42,-42,1,100,1,83,2.37
1666,46.185,0,45,-45,1,100,1,90,2.37
499,49.35,0,49,-49,1.02872,100,1,97,1.7
499,0,0,19,-19,1.02872,100,0,37,0.7
499,66.85,0,66,-66,1.02872,100,1,132,1.7
2709,66.7,0,66,-66,1,100,1,131,2.4
709,42.7,0,42,-42,1,100,1,83,2.4
2710,105.7,0,105,-105,1,100,1,209,2.4
2708,32.7,0,32,-32,1,100,1,63,2.4
1280,71.4,0,72,-72,1.00169,100,1,141,1.8
1493,0,0,82,-82,0.94444,100,0,163,1.8
745,91.95,0,91,-91,1,100,1,181,2.9
2727,90.95,0,90,-90,1,100,1,179,2.9
1445,147.25,0,219.6,-219.6,1.02667,100,1,289,5.5
