bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
5147,3097,0.0006,0.00616,0,823,5104,5104,0,0,1,-30,30
5147,8763,0.0005,0.0074,0,921,4259,4259,0,0,1,-30,30
427,5425,7e-05,0.00057,0,1711,55004,55004,0,0,1,-30,30
427,4704,6e-05,0.00056,0,1514,56085,56085,0,0,1,-30,30
5960,7431,0.003349,0.01656,0,1870,1870,1870,0,0,1,-30,30
5960,3186,0.003409,0.016211,0,1907,1907,1907,0,0,1,-30,30
4481,7431,0.003479,0.01586,0,1946,1946,1946,0,0,1,-30,30
4481,3186,0.003099,0.017969,0,1733,1733,1733,0,0,1,-30,30
5205,7833,0.00236,0.01418,0,553,2198,2198,0,0,1,-30,30
5205,7770,0.002169,0.015909,0,514,1968,1968,0,0,1,-30,30
5773,6542,0.00014,0.0012,0,26146,26146,26146,0,0,1,-30,30
5773,7840,0.000211,0.001539,0,20335,20335,20335,0,0,1,-30,30
5214,6542,0.000401,0.004901,0,6424,6424,6424,0,0,1,-30,30
5214,7840,0.000219,0.00151,0,533,20703,20703,0,0,1,-30,30
2971,6069,0.00052,0.00407,0,1481,7699,7699,0,0,1,-30,30
2971,3445,0.00034,0.00502,0,1843,6278,6278,0,0,1,-30,30
7561,6069,0.00065,0.00698,0,1711,4506,4506,0,0,1,-30,30
7561,8825,0.00059,0.00806,0,1678,3909,3909,0,0,1,-30,30
7556,7058,0.00374,0.02095,0,800,1485,1485,0,0,1,-30,30
7556,4324,0.00511,0.019461,0,800,1570,1570,0,0,1,-30,30
132,2962,0.00064,0.00715,0,1481,4401,4401,0,0,1,-30,30
132,4393,0.00089,0.00712,0,1283,4403,4403,0,0,1,-30,30
5044,693,0.00048,0.00555,0,987,5671,5671,0,0,1,-30,30
5044,7860,0.00047,0.00566,0,1086,5562,5562,0,0,1,-30,30
6883,693,0.00046,0.00524,0,1053,6006,6006,0,0,1,-30,30
6883,7860,0.00052,0.00514,0,1053,6115,6115,0,0,1,-30,30
6494,4945,0.00029,0.00298,0,1613,10550,10550,0,0,1,-30,30
6494,6080,0.0003,0.00291,0,1514,10798,10798,0,0,1,-30,30
7146,7388,0.00042,0.02666,0,1185,1185,1185,0,0,1,-30,30
4735,5239,0.00058,0.00534,0,1876,5881,5881,0,0,1,-30,30
4735,3145,0.00054,0.00589,0,1843,5341,5341,0,0,1,-30,30
3615,8731,0.00036,0.00485,0,6495,6495,6495,0,0,1,-30,30
3615,6246,0.00042,0.00415,0,7573,7573,7573,0,0,1,-30,30
2549,7829,0.003349,0.02445,0,553,1280,1280,0,0,1,-30,30
2549,4951,0.003281,0.02493,0,553,1257,1257,0,0,1,-30,30
7004,3370,0,0.00046,0,757,68669,68669,0,0,1,-30,30
8381,4795,0.00053,0.00587,0,1777,5360,5360,0,0,1,-30,30
8381,5562,0.00055,0.00666,0,1711,4727,4727,0,0,1,-30,30
3409,1716,0.00051,0.00614,0,5127,5127,5127,0,0,1,-30,30
3409,6246,0.00043,0.00406,0,7737,7737,7737,0,0,1,-30,30
1000,6145,0.002211,0.014419,0,438,2166,2166,0,0,1,-30,30
1000,3186,0.002169,0.013349,0,457,2336,2336,0,0,1,-30,30
6060,5289,0.00033,0.00101,0,823,29729,29729,0,0,1,-30,30
7965,5289,0.00028,0.00104,0,757,29329,29329,0,0,1,-30,30
4363,4507,0.00057,0.0071,0,1613,4435,4435,0,0,1,-30,30
4363,6246,0.00057,0.00697,0,1613,4517,4517,0,0,1,-30,30
425,7526,0.0001,0.00119,0,1810,26451,26451,0,0,1,-30,30
425,5674,0.0001,0.0013,0,1613,24227,24227,0,0,1,-30,30
4799,8581,9e-05,0.00121,0,1514,26034,26034,0,0,1,-30,30
4799,4337,0.0001,0.00134,0,1251,23508,23508,0,0,1,-30,30
4968,2154,0.00039,0.00474,0,1843,6642,6642,0,0,1,-30,30
4968,1747,0.00045,0.00467,0,1448,6733,6733,0,0,1,-30,30
7699,2154,0.00052,0.00567,0,1645,5548,5548,0,0,1,-30,30
7699,1689,0.00054,0.00667,0,1316,4721,4721,0,0,1,-30,30
3097,659,0.00073,0.00905,0,1185,3480,3480,0,0,1,-30,30
9024,4929,0.00192,0.02296,0,889,1371,1371,0,0,1,-30,30
1815,6542,0.01431,0.05899,0,521,521,521,0,0,1,-30,30
6542,1445,0.02607,0.07168,0,415,415,415,0,0,1,-30,30
6069,6833,0.00054,0.00465,0,1580,6748,6748,0,0,1,-30,30
6069,2268,0.00126,0.01124,0,1613,2793,2793,0,0,1,-30,30
6069,7180,0.00048,0.00527,0,1547,5970,5970,0,0,1,-30,30
6069,6293,0.00082,0.00938,0,1580,3355,3355,0,0,1,-30,30
1968,9192,0.00028,0.003502,0,8992,8992,8992,0,0,1,-30,30
1968,3493,0.691467,4.414711,0,8,8,8,0,0,1,-30,30
1968,955,0.02004,0.0916,0,337,337,337,0,0,1,-30,30
1968,228,0.841911,4.768444,0,7,7,7,0,0,1,-30,30
1968,6826,0.026,0.08948,0,339,339,339,0,0,1,-30,30
1968,8964,0.002631,0.011889,0,299,2595,2595,0,0,1,-30,30
1968,5776,0.7232,1.944,0,16,16,16,0,0,1,-30,30
9192,955,0.156169,0.546756,0,56,56,56,0,0,1,-30,30
9192,6826,0.168809,0.580622,0,53,53,53,0,0,1,-30,30
9192,8964,0.019222,0.068209,0,446,446,446,0,0,1,-30,30
8574,1616,0.00039,0.00386,0,1415,8142,8142,0,0,1,-30,30
8574,1163,0.00096,0.01138,0,1448,2766,2766,0,0,1,-30,30
8574,9064,0.00037,0.00325,0,1415,9657,9657,0,0,1,-30,30
8574,8921,0.00029,0.00339,0,1580,9284,9284,0,0,1,-30,30
3493,2299,0.009458,0.158871,0,199,199,199,0,0,1,-30,30
2299,4423,0,0.000222,0,142286,142286,142286,0,0,1,-30,30
6826,2299,0.312951,7.130667,0,5,5,5,0,0,1,-30,30
7563,2299,0.247649,1.075911,0,29,29,29,0,0,1,-30,30
4427,2299,0.06056,0.18612,0,162,162,162,0,0,1,-30,30
8335,2299,2.142489,4.347733,0,7,7,7,0,0,1,-30,30
5155,2299,0.07132,1.068889,0,30,30,30,0,0,1,-30,30
271,2299,0.02268,0.08652,0,354,354,354,0,0,1,-30,30
2449,2299,2.007778,4.494222,0,7,7,7,0,0,1,-30,30
4665,2299,0.006178,0.028938,0,1068,1068,1068,0,0,1,-30,30
4495,2299,0.027711,0.260951,0,121,121,121,0,0,1,-30,30
3493,5587,0,0.000222,0,299,142286,142286,0,0,1,-30,30
4586,3493,0.00692,0.337378,0,94,94,94,0,0,1,-30,30
228,3493,0.025991,0.10048,0,305,305,305,0,0,1,-30,30
6826,3493,0.083711,0.8648,0,37,37,37,0,0,1,-30,30
7563,3493,0.447378,1.862089,0,17,17,17,0,0,1,-30,30
4427,3493,0.062169,0.153191,0,192,192,192,0,0,1,-30,30
8335,3493,2.492533,4.725778,0,6,6,6,0,0,1,-30,30
5155,3493,0.020271,0.08244,0,373,373,373,0,0,1,-30,30
271,3493,0.11416,1.777556,0,18,18,18,0,0,1,-30,30
5776,3493,0.574978,2.992578,0,11,11,11,0,0,1,-30,30
2449,3493,1.887067,4.964444,0,6,6,6,0,0,1,-30,30
4665,3493,0.250778,0.817422,0,37,37,37,0,0,1,-30,30
4495,3493,0.007049,0.029609,0,1038,1038,1038,0,0,1,-30,30
5587,4586,0.003049,0.020218,0,1545,1545,1545,0,0,1,-30,30
4423,4586,0.002911,0.020262,0,1544,1544,1544,0,0,1,-30,30
4929,2870,4e-05,0.00041,0,757,76679,76679,0,0,1,-30,30
4929,659,0.00087,0.01087,0,1283,2897,2897,0,0,1,-30,30
