bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
8,0,0,289.2,-289.2,1,100,1,0,0
10,0,0,20,-20,1,100,1,0,0
20,0,0,310.8,-310.8,1,100,1,0,0
63,0,0,79.2,-79.2,1,100,1,0,0
76,0,0,195.6,-195.6,1,100,1,0,0
84,251,0,251,-251,1,100,1,502,0
91,70,11.5,93,-70,1,100,1,140,0
92,145.5,0,153,-153,1,100,1,291,0
98,84,0,84,-84,1,100,1,168,0
108,181.5,0,182,-182,1,100,1,363,0
119,788.5,-42.1,1021,-1105.2,1,100,1,1577,0
124,521.5,0,522,-522,1,100,1,1043,0
125,0,0,430.8,-430.8,1,100,1,0,0
138,0,45.4,350,-259.2,1,100,1,0,0
141,217,0,217,-217,1,100,1,434,0
143,1110.5,0,1111,-1111,1,100,1,2221,0
146,150.5,0,158.4,-158.4,1,100,1,301,0
147,106.5,0,145.2,-145.2,1,100,1,213,0
149,75.5,0,76,-76,1,100,1,151,0
152,161.5,6.5,175,-162,1,100,1,323,0
153,164,0,164,-164,1,100,1,328,0
156,0,0,87.6,-87.6,1,100,1,0,0
170,297.5,0,298,-298,1,100,1,595,0
171,0,0,765.6,-765.6,1,100,1,0,0
176,90.5,0,91,-91,1,100,1,181,0
177,120.5,0,142.8,-142.8,1,100,1,241,0
185,307,0,307,-307,1,100,1,614,0
186,927.5,0,928,-928,1,100,1,1855,0
187,1356,0,1356,-1356,1,100,1,2712,0
190,195,0,258,-258,1,100,1,390,0
191,818,0,1000,-1000,1,100,1,1636,0
198,181.5,0,215,-215,1,100,1,363,0
213,83,0,144,-144,1,100,1,166,0
220,296.5,0,931.2,-931.2,1,100,1,593,0
221,555.5,0,650.4,-650.4,1,100,1,1111,0
222,345,0,345,-345,1,100,1,690,0
227,507,0,507,-507,1,100,1,1014,0
230,315,0,315,-315,1,100,1,630,0
233,439,0,439,-439,1,100,1,878,0
236,445.5,0,446,-446,1,100,1,891,0
238,323.5,0,768,-768,1,100,1,647,0
239,199,0,311,-311,1,100,1,398,0
241,643.5,0,644,-644,1,100,1,1287,0
242,165.5,0,199.2,-199.2,1,100,1,331,0
243,144.5,0,145,-145,1,100,1,289,0
7001,295,0,295,-295,1,100,1,590,0
7002,314.5,0,315,-315,1,100,1,629,0
7003,434.5,0,435,-435,1,100,1,869,0
7011,220.5,0,221,-221,1,100,1,441,0
7012,170,0,224,-224,1,100,1,340,0
7017,256,0,324,-324,1,100,1,512,0
7023,358.5,0,359,-359,1,100,1,717,0
7024,147.5,0,224,-224,1,100,1,295,0
7039,331.5,0,332,-332,1,100,1,663,0
7044,73,0,73,-73,1,100,1,146,0
7049,150,0,150,-150,1,100,1,300,0
7055,124.5,0,125,-125,1,100,1,249,0
7057,76.5,0,90,-90,1,100,1,153,0
7061,254,0,254,-254,1,100,1,508,0
7062,211,0,211,-211,1,100,1,422,0
7071,235,0,235,-235,1,100,1,470,0
7130,566,17,600,-566,1,100,1,1132,0
7139,409,0,416.4,-416.4,1,100,1,818,0
7166,202,49,300,-202,1,100,1,404,0
9002,0,0,6,-6,1,100,1,0,0
9051,0,0,26.4,-26.4,1,100,1,0,0
9053,0,0.015,12.83,-12.8,1,100,1,0,0
9054,64.5,0,69.6,-69.6,1,100,1,129,0
9055,8.5,0,10.8,-10.8,1,100,1,17,0
