fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax
9,11,0.00064,0.0305,0,400,400,400,1.09271,0,1,-30,30
13,12,0.00069,0.03946,0,250,250,250,0.9999,0,1,-30,30
20,18,0.00088,0.05709,0,330,330,330,0.9999,0,1,-30,30
34,33,0.0007,0.03652,0,250,250,250,0.9999,0,1,-30,30
35,37,0.00036,0.02519,0,500,500,500,1.07313,0,1,-30,30
36,38,0.00036,0.02519,0,500,500,500,1.07313,0,1,-30,30
53,54,0.00034,0.02097,0,500,500,500,1.0755,0,1,-30,30
57,59,0.00034,0.02097,0,500,500,500,1.07313,0,1,-30,30
68,70,0.00081,0.03,0,400,400,400,1.10102,0,1,-30,30
105,107,0.00075,0.02445,-0.00832,330,330,330,1.039,0,1,-30,30
106,108,0.0004,0.0253,0,500,500,500,1.0457,0,1,-30,30
142,145,0.00053,0.02875,-0.016,400,400,400,1.06299,0,1,-30,30
170,171,0.00064,0.0305,0,400,400,400,1.07408,0,1,-30,30
177,180,0.00023,0.023,0,500,500,500,1.07426,0,1,-30,30
178,181,0.00023,0.023,0,500,500,500,1.07426,0,1,-30,30
185,184,0.00032,0.04392,0,330,330,330,0.9999,0,1,-30,30
188,190,0.0003,0.02732,0,500,500,500,1.10037,0,1,-30,30
195,197,0.00035,0.02375,0,500,500,500,1.08671,0,1,-30,30
208,209,0.00051,0.0275,0,400,400,400,1.07702,0,1,-30,30
213,211,0.00084,0.06858,0,250,250,250,0.9999,0,1,-30,30
216,218,0.00033,0.02711,0,500,500,500,1.08613,0,1,-30,30
220,218,0.00032,0.0464,0,330,330,330,0.9999,0,1,-30,30
227,225,0.00113,0.05647,0,330,330,330,0.9999,0,1,-30,30
224,226,0.00075,0.02469,-0.008,330,330,330,1.04544,0,1,-30,30
3116,180,0.00029,0.00317,0.09184,773,773,773,0,0,1,-30,30
3116,181,0.0003,0.00326,0.09536,771,771,771,0,0,1,-30,30
240,82,0.01475,0.08595,0.13036,315,315,315,0,0,1,-30,30
3114,90,0.01244,0.06959,0.10842,309,309,309,0,0,1,-30,30
3114,120,0.01207,0.06905,0.11519,312,312,312,0,0,1,-30,30
144,3115,0.00168,0.01603,0.51488,724,724,724,0,0,1,-30,30
3117,169,0.0018,0.01616,0.0484,387,387,387,0,0,1,-30,30
3117,170,0.0018,0.01616,0.0484,387,387,387,0,0,1,-30,30
3118,61,0.00223,0.02209,0.69011,737,737,737,0,0,1,-30,30
3118,62,0.00223,0.02209,0.69011,737,737,737,0,0,1,-30,30
97,3113,0.00293,0.03054,0.95472,755,755,755,0,0,1,-30,30
56,28,0.01174,0.07014,0.12689,319,319,319,0,0,1,-30,30
35,105,0.00919,0.06614,0.10451,348,348,348,0,0,1,-30,30
36,106,0.00822,0.05767,0.0982,344,344,344,0,0,1,-30,30
167,39,0.01698,0.12459,0.1957,231,231,231,0,0,1,-30,30
153,46,0.01298,0.06738,0.10284,250,250,250,0,0,1,-30,30
152,25,0.01068,0.0475,0.09495,277,277,277,0,0,1,-30,30
188,26,0.01436,0.10729,0.16081,231,231,231,0,0,1,-30,30
53,124,0.01488,0.08161,0.1148,266,266,266,0,0,1,-30,30
52,106,0.01116,0.07171,0.10367,267,267,267,0,0,1,-30,30
203,98,0.00552,0.05948,0.17077,317,317,317,0,0,1,-30,30
234,189,0.01118,0.06597,0.10778,267,267,267,0,0,1,-30,30
221,188,0.01682,0.08909,0.12993,295,295,295,0,0,1,-30,30
222,189,0.01384,0.08702,0.13484,295,295,295,0,0,1,-30,30
238,192,0.01517,0.09938,0.14492,197,197,197,0,0,1,-30,30
57,14,0.01457,0.07362,0.13344,294,294,294,0,0,1,-30,30
229,23,0.01403,0.10413,0.15949,231,231,231,0,0,1,-30,30
115,68,0.00374,0.0438,0.10096,439,439,439,0,0,1,-30,30
187,97,0.00194,0.02007,0.54307,753,753,753,0,0,1,-30,30
58,12,0.0015,0.01506,0.4032,742,742,742,0,0,1,-30,30
210,171,0.00296,0.03484,0.9296,800,800,800,0,0,1,-30,30
136,70,0.00169,0.01931,0.53814,789,789,789,0,0,1,-30,30
38,108,0.00137,0.01569,0.43744,790,790,790,0,0,1,-30,30
37,139,0.00234,0.02677,0.74653,790,790,790,0,0,1,-30,30
32,218,0.00217,0.02513,0.67098,794,794,794,0,0,1,-30,30
136,78,0.00152,0.01739,0.48083,790,790,790,0,0,1,-30,30
138,78,0.00468,0.05347,1.48883,537,537,537,0,0,1,-30,30
97,41,0.00355,0.03617,0.95894,717,717,717,0,0,1,-30,30
107,41,0.00097,0.01052,0.28395,770,770,770,0,0,1,-30,30
61,137,0.00144,0.01446,0.51213,742,742,742,0,0,1,-30,30
15,6,0.013,0.09781,0.14013,326,326,326,0,0,1,-30,30
40,15,0.00525,0.03847,0.06053,231,231,231,0,0,1,-30,30
31,6,0.00457,0.03351,0.05245,317,317,317,0,0,1,-30,30
22,9,0.01469,0.10915,0.16676,293,293,293,0,0,1,-30,30
27,14,0.01262,0.09326,0.14324,231,231,231,0,0,1,-30,30
35,7,0.00924,0.05052,0.07698,295,295,295,0,0,1,-30,30
22,3,0.01068,0.07936,0.12155,231,231,231,0,0,1,-30,30
35,25,0.00585,0.04027,0.07161,341,341,341,0,0,1,-30,30
36,24,0.00585,0.04027,0.07161,341,341,341,0,0,1,-30,30
14,8,0.00558,0.04147,0.0629,231,231,231,0,0,1,-30,30
43,15,0.00089,0.0063,0.0108,231,231,231,0,0,1,-30,30
29,15,0.00442,0.02374,0.04477,303,303,303,0,0,1,-30,30
45,7,0.00494,0.0269,0.04225,250,250,250,0,0,1,-30,30
24,6,0.00287,0.01671,0.02467,295,295,295,0,0,1,-30,30
35,1,0.0012,0.0089,0.01512,353,353,353,0,0,1,-30,30
36,2,0.0012,0.0089,0.01513,353,353,353,0,0,1,-30,30
36,30,0.00399,0.02901,0.04808,350,350,350,0,0,1,-30,30
32,12,0.00298,0.03445,0.94221,794,794,794,0,0,1,-30,30
37,32,0.00358,0.04122,1.13382,696,696,696,0,0,1,-30,30
