bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
1,51.3975,0,157.99,-157.99,1,100,1,102,0.795,0,0,0,0,0,0,0,0,0,0,64.818
2,88.805,0,91.2,-91.2,1,100,1,150,27.61,0,0,0,0,0,0,0,0,0,0,170.701
3,45.8,-14.855,118.84,-148.55,1,100,1,87,4.6,0,0,0,0,0,0,0,0,0,0,46.109
5,152.385,0,114,-114,1,100,1,227,77.77,0,0,0,0,0,0,0,0,0,0,228.682
10,56.8925,-8.13,65.04,-81.3,1,100,1,91,22.785,0,0,0,0,0,0,0,0,0,0,83.063
12,191.4175,0,169,-169,1,166.81,1,337,45.835,0,0,0,0,0,0,0,0,0,0,137.5
12,0,0,40,-40,1,120,0,16,100,0,0,0,0,0,0,0,0,0,0,120
13,154.4175,0,132,-132,1,166.81,1,263,45.835,0,0,0,0,0,0,0,0,0,0,137.5
15,0,0,28,-28,1,50,0,55,20,0,0,0,0,0,0,0,0,0,0,50
18,186,0,149,-149,1,225,1,297,75,0,0,0,0,0,0,0,0,0,0,225
19,183,0,146,-146,1,275.06,1,291,75,0,0,0,0,0,0,0,0,0,0,250
19,0,0,66.67,-66.67,1,200,0,9,150,0,0,0,0,0,0,0,0,0,0,200
19,136.8325,13.61,131.22,-104,1,234.36,1,207,66.665,0,0,0,0,0,0,0,0,0,0,200
20,218.5,54.25,367.5,-259,1,566.05,1,344,93,0,0,0,0,0,0,0,0,0,0,464
24,366.68,0,319,-319,1,100,1,637,96.36,0,0,0,0,0,0,0,0,0,0,442.978
25,0,0,111,-111,1,100,0,221,35.1,0,0,0,0,0,0,0,0,0,0,85.204
32,0,0,33.33,-33.33,1,100,0,21,162.48,0,0,0,0,0,0,0,0,0,0,177.483
44,49.75,5.5,57,-46,1,61.03,1,92,7.5,0,0,0,0,0,0,0,0,0,0,55
45,49.25,5.5,57,-46,1,68.9,1,91,7.5,0,0,0,0,0,0,0,0,0,0,68.75
45,26.75,21.5,71,-28,1,77,1,52,1.5,0,0,0,0,0,0,0,0,0,0,77
59,25.125,0,22,-22,1,100,1,43,7.25,0,0,0,0,0,0,0,0,0,0,36.54
64,0,0,33.33,-33.33,1,100,0,20,11.925,0,0,0,0,0,0,0,0,0,0,38.851
80,0,0,16.67,-16.67,1,50,0,13,35,0,0,0,0,0,0,0,0,0,0,50
80,37.1675,-72,33,-177,1,28,1,66,8.335,0,0,0,0,0,0,0,0,0,0,35
82,0,0,33.33,-33.33,1,100,0,4,15.55,0,0,0,0,0,0,0,0,0,0,30.546
84,0,0,66.67,-66.67,1,200,0,73,150,0,0,0,0,0,0,0,0,0,0,200
85,284.5,0,247,-247,1,253.76,1,494,75,0,0,0,0,0,0,0,0,0,0,200
98,0,0,66,-66,1,50,0,131,0,0,0,0,0,0,0,0,0,0,0,50
98,51.5,-61.5,52,-175,1,55,1,103,0,0,0,0,0,0,0,0,0,0,0,55
98,0,0,79,-79,1,55,0,157,0,0,0,0,0,0,0,0,0,0,0,55
99,0,0,53,-53,1,35,0,106,0,0,0,0,0,0,0,0,0,0,0,35
99,0,0,19,-19,1,32,0,38,0,0,0,0,0,0,0,0,0,0,0,32
110,0,0,36,-36,1,7,0,71,2.5,0,0,0,0,0,0,0,0,0,0,292
113,179.355,0,169,-169,1,100,1,337,21.71,0,0,0,0,0,0,0,0,0,0,71.879
115,99.25,10.5,187,-166,1,4.02,1,198,0.5,0,0,0,0,0,0,0,0,0,0,271
120,0,0,14,-14,1,4,0,27,0,0,0,0,0,0,0,0,0,0,0,279
120,0,0,53,-53,1,4,0,106,0,0,0,0,0,0,0,0,0,0,0,251
120,0,0,33,-33,1,4,0,65,0,0,0,0,0,0,0,0,0,0,0,266
120,52,-66.5,52,-185,1,22.88,1,104,0,0,0,0,0,0,0,0,0,0,0,20
120,42,-69.5,42,-181,1,20,1,84,0,0,0,0,0,0,0,0,0,0,0,20
124,51.75,1.5,179,-176,1,13.31,1,101,2.5,0,0,0,0,0,0,0,0,0,0,20
124,0,0,10,-10,1,12,0,19,2.5,0,0,0,0,0,0,0,0,0,0,20
128,0,0,74,-74,1,5,0,147,2,0,0,0,0,0,0,0,0,0,0,274
132,25.5,-71.5,26,-169,1,15.84,1,51,0,0,0,0,0,0,0,0,0,0,0,16.5
132,22.5,2,178,-174,1,5,1,45,0,0,0,0,0,0,0,0,0,0,0,255
132,0,0,2,-2,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,262
133,0,0,21,-21,1,13,0,42,0,0,0,0,0,0,0,0,0,0,0,13
136,0,0,54,-54,1,6,0,107,2.5,0,0,0,0,0,0,0,0,0,0,298
147,75,-2.5,176,-181,1,1,1,150,0,0,0,0,0,0,0,0,0,0,0,282
153,0,0,52,-52,1,11,0,104,0,0,0,0,0,0,0,0,0,0,0,11
153,0,0,15,-15,1,6,0,29,0,0,0,0,0,0,0,0,0,0,0,270
153,87.5,-40,88,-168,1,41.48,1,175,0,0,0,0,0,0,0,0,0,0,0,40
153,37,-72,37,-181,1,40,1,74,0,0,0,0,0,0,0,0,0,0,0,40
157,81,8.5,194,-177,1,35,1,162,0,0,0,0,0,0,0,0,0,0,0,35
157,0,0,11.67,-11.67,1,35,0,8,0,0,0,0,0,0,0,0,0,0,0,35
159,55.6325,71.5,196,-53,1,100,1,105,6.265,0,0,0,0,0,0,0,0,0,0,44.724
160,64.5,0,65,-65,1,34.12,1,129,0,0,0,0,0,0,0,0,0,0,0,33.375
