2,startup,shutdown,n,c2,c1,c0
2,0,0,3,0,2.38,0
2,0,0,3,0.03172,25.25,-1.897
2,0,0,3,0,3.796,0
2,0,0,3,0,1.968,0
2,0,0,3,0,2.964,0
2,0,0,3,0,19.68,-19.14
2,0,0,3,0,54.63,-4.442
2,0,0,3,0,55.37,-11.11
2,0,0,3,0.05979,27.97,-2.403
2,0,0,3,0,21.02,-30.23
2,0,0,3,0,0.002273,0
2,0,0,3,0,0.002273,0
2,0,0,3,0,0.002273,0
2,0,0,3,0,20.02,-19.52
2,0,0,3,0,19.04,-19.52
2,0,0,3,0,21.59,-20.02
2,0,0,3,0.06902,28.66,-2.376
2,0,0,3,0,19.19,-60.17
2,0,0,3,0,18.74,-36.1
2,0,0,3,0,18.97,-60.17
2,0,0,3,0,17.5,-36.1
2,0,0,3,0,66.01,-118.6
2,0,0,3,0,65.13,-118.6
2,0,0,3,0,65.2,-118.6
2,0,0,3,0,2.027,0
2,0,0,3,0,3.465,0
2,0,0,3,0.004145,14.79,0
2,0,0,3,0,3.118,0
2,0,0,3,0,1.21,0
2,0,0,3,0,18.65,-26.14
2,0,0,3,0,32.23,-53.8
2,0,0,3,0,16.81,-30.36
2,0,0,3,0,30.21,-27.62
2,0,0,3,0,3.697,0
2,0,0,3,0,3.204,0
2,0,0,3,0,3.974,0
2,0,0,3,0,19.71,0
2,0,0,3,0,17.9,0
2,0,0,3,0,17.77,0
2,0,0,3,0,18.79,0
2,0,0,3,0,17.49,0
2,0,0,3,0,1.704,0
2,0,0,3,0,1.28,0
2,0,0,3,0,2.148,0
2,0,0,3,0,1.458,0
2,0,0,3,0.002036,16.06,-1.132
2,0,0,3,0.002035,16.53,-1.131
2,0,0,3,0.00209,14.42,-1.077
2,0,0,3,0,0.000355,0
2,0,0,3,0,2.209,0
2,0,0,3,0,22.44,-25.88
2,0,0,3,0,21.02,-17.78
2,0,0,3,0,22.14,-17.78
2,0,0,3,0.007369,17.21,0
2,0,0,3,0,20.85,-24.24
2,0,0,3,0,21.15,-47.87
2,0,0,3,0,21.07,-29.32
2,0,0,3,0,17.09,-35.11
2,0,0,3,0.0513,16.56,-1.003
2,0,0,3,0,33.23,-90.67
2,0,0,3,0,33.41,-29.71
2,0,0,3,0,21.37,-40.89
2,0,0,3,0,23.94,-108.7
2,0,0,3,0,23.48,-108.7
2,0,0,3,0,21.74,-108.7
2,0,0,3,0,2.928,0
2,0,0,3,0,3.603,0
2,0,0,3,0,54.98,-12.71
2,0,0,3,0,18.11,-49.17
2,0,0,3,0,19.45,-49.17
2,0,0,3,0,17.53,-64.88
2,0,0,3,0,20.28,-56.43
2,0,0,3,0,19.59,-57.71
2,0,0,3,0.1226,17.3,-1.998
2,0,0,3,0,19.71,0
2,0,0,3,0,18.42,0
2,0,0,3,0,18.94,0
2,0,0,3,0,18.66,0
2,0,0,3,0,19.67,-12.08
2,0,0,3,0,17.71,-9.739
2,0,0,3,0,32.87,-30.95
2,0,0,3,0,0.003419,0
2,0,0,3,0,0.003419,0
2,0,0,3,0,0.003419,0
2,0,0,3,0.02474,25.48,-1.92
2,0,0,3,0.00214,17.17,0
2,0,0,3,0.005451,15.47,-1.757
2,0,0,3,0,23.55,-960.7
2,0,0,3,0.03871,13.26,-6.516
2,0,0,3,0.09677,11.24,-16.29
2,0,0,3,0.003122,14.93,-1.034
2,0,0,3,0.005206,16.79,-1.352
2,0,0,3,0,43.84,-2356
2,0,0,3,0,43.07,-2356
2,0,0,3,0,25.91,-245.1
2,0,0,3,0.02774,20.29,-4.092
2,0,0,3,0.03879,12.11,-4.407
2,0,0,3,0.03879,11.35,-4.407
2,0,0,3,0.03879,11.24,-4.407
2,0,0,3,0.03879,10.86,-4.407
2,0,0,3,0.03167,13.62,-4.181
2,0,0,3,0.03168,15.35,-3.256
2,0,0,3,0.06424,13.55,-19.53
2,0,0,3,0,24.09,-939.7
2,0,0,3,0,22.92,-939.7
2,0,0,3,0,24.63,-110.6
2,0,0,3,0,22.53,-110.6
2,0,0,3,0,22.57,-110.6
2,0,0,3,0.03871,10.87,-6.406
2,0,0,3,0.03871,12.89,-6.406
2,0,0,3,0,25.23,-243.7
2,0,0,3,0.09657,11.3,-21.78
2,0,0,3,0.03863,11.18,-8.711
2,0,0,3,0.03863,12.37,-8.711
2,0,0,3,0.06438,13.41,-14.52
2,0,0,3,0.03165,14.35,-3.482
2,0,0,3,0.03165,13.84,-3.482
2,0,0,3,0,3.742,0
2,0,0,3,0,1.257,0
2,0,0,3,0,1.687,0
2,0,0,3,0,2.573,0
2,0,0,3,0,2.207,0
2,0,0,3,0,1.732,0
