fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax
7,8,0.00064,0.0305,0,400,400,400,1.0435,0.6,1,-30,30
26,28,0.00036,0.02519,0,500,500,500,1.0911,0,1,-30,30
27,29,0.00036,0.02519,0,500,500,500,1.0759,0,1,-30,30
39,41,0.00034,0.02097,0,500,500,500,1.0793,0,1,-30,30
42,45,0.00034,0.02097,0,500,500,500,1.0296,0,1,-30,30
54,56,0.00081,0.03,0,400,400,400,1.0501,0,1,-30,30
63,65,0.00015,0.01071,0,1250,1250,1250,0.9673,0,1,-30,30
64,65,0.00015,0.01071,0,1250,1250,1250,0.9665,0,0,-30,30
90,92,0.00075,0.02444,-0.00832,330,330,330,1.0474,0,1,-30,30
91,93,0.00075,0.02469,-0.008,330,330,330,1.0445,0,1,-30,30
125,128,0.0005,0.02875,-0.016,400,400,400,1.1172,0,1,-30,30
149,150,0.00064,0.0305,0,400,400,400,1.077,0,1,-30,30
155,157,0.000232,0.023,0,500,500,500,1.0887,0,1,-30,30
156,158,0.000232,0.023,0,500,500,500,1.0887,0,1,-30,30
169,171,0.00035,0.02375,0,500,500,500,1.0894,0,1,-30,30
183,184,0.00059,0.030919,0,400,400,400,1.0584,0,1,-30,30
190,192,0.0004,0.03,0,500,500,500,1.0855,-3.6,1,-30,30
2727,157,0.00031,0.00338,0.0992,1386,1386,1386,0,0,1,-30,30
2727,158,0.00031,0.00338,0.0992,1386,1386,1386,0,0,1,-30,30
2728,68,0.014341,0.083531,0.126034,385,385,385,0,0,1,-30,30
2726,76,0.01219,0.070659,0.117418,412,412,412,0,0,1,-30,30
2726,105,0.011781,0.07087,0.116838,412,412,412,0,0,1,-30,30
127,2725,0.001525,0.016837,0.50576,1386,1386,1386,0,0,1,-30,30
2729,148,0.001651,0.015909,0.046948,316,316,316,0,0,1,-30,30
2729,149,0.001651,0.015909,0.046948,316,316,316,0,0,1,-30,30
2730,47,0.00188,0.02287,0.6432,831,831,831,0,0,1,-30,30
2730,48,0.00188,0.02287,0.6432,831,831,831,0,0,1,-30,30
82,2724,0.002769,0.031162,0.89824,1386,1386,1386,0,0,1,-30,30
42,23,0.01345,0.081141,0.141134,339,339,339,0,0,1,-30,30
26,90,0.009091,0.062401,0.111417,453,453,453,0,0,1,-30,30
27,91,0.00868,0.06405,0.096994,427,427,427,0,0,1,-30,30
146,30,0.016961,0.123659,0.196988,316,316,316,0,0,1,-30,30
135,33,0.00512,0.02618,0.029621,301,301,301,0,0,1,-30,30
134,20,0.01068,0.061961,0.094961,385,385,385,0,0,1,-30,30
164,21,0.014651,0.105891,0.170852,316,316,316,0,0,1,-30,30
40,109,0.01488,0.08161,0.114805,314,314,314,0,0,1,-30,30
39,91,0.011159,0.07231,0.103673,324,324,324,0,0,1,-30,30
178,83,0.005517,0.059484,0.170775,316,316,316,0,0,1,-30,30
203,165,0.01176,0.068289,0.102802,324,324,324,0,0,1,-30,30
194,165,0.016818,0.089091,0.129935,358,358,358,0,0,1,-30,30
193,164,0.013843,0.087025,0.134842,383,383,383,0,0,1,-30,30
207,167,0.01676,0.097169,0.148685,269,269,269,0,0,1,-30,30
42,10,0.01269,0.074979,0.130196,351,351,351,0,0,1,-30,30
198,18,0.014091,0.10413,0.15972,316,316,316,0,0,1,-30,30
100,54,0.003719,0.0438,0.100962,457,457,457,0,0,1,-30,30
162,82,0.00194,0.02056,0.51584,1178,1178,1178,0,0,1,-30,30
44,9,0.0015,0.01506,0.4032,1386,1386,1386,0,0,1,-30,30
185,150,0.00294,0.03463,0.9216,693,693,693,0,0,1,-30,30
