bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
17,0,0,120,-22,1.03,241.9,0,210,140
17,0,0,120,-22,1.03,233.2,0,200,140
26,330,85.5,190,-19,1.03,415.9,1,370,290
27,325,85.5,190,-19,1.03,407.1,1,360,290
27,0,0,190,-19,1.03,407.1,0,360,290
27,0,0,190,-19,1.03,415.9,0,370,290
26,330,85.5,190,-19,1.03,415.9,1,370,290
28,330,85.5,190,-19,1,415.9,1,370,290
28,0,0,190,-19,1,415.9,0,370,290
28,0,0,190,-19,1,415.9,0,370,290
29,0,0,190,-19,1,415.9,0,370,290
29,330,85.5,190,-19,1,415.9,1,370,290
29,330,85.5,190,-19,1,415.9,1,370,290
42,172.5,50.5,135,-34,1.03,253.9,1,215,130
42,0,0,130,-34,1.03,242.7,0,205,135
42,0,0,145,-34,1.03,267.7,0,225,110
43,0,0,145,-34,1.03,267.7,0,225,120
43,177.5,55.5,145,-34,1.03,267.7,1,225,130
43,0,0,130,-34,1.03,242.7,0,205,135
44,395,158,363,-47,1,646.5,1,535,255
44,0,0,348,-100,1,659.3,0,560,250
54,0,0,104,-1,1.03,247.9,0,225,129
55,177,57,130,-16,1.03,259.9,1,225,129
54,0,0,130,-16,1.03,259.9,0,225,129
56,177,57,130,-16,1,259.9,1,225,129
57,177,57,130,-16,1,259.9,1,225,129
57,0,0,104,-1,1,247.9,0,225,129
57,0,0,130,-16,1,259.9,0,225,129
58,39.7,15,30,0,1.03,57.7,1,39.7,39.7
78,182.5,54,123,-15,1.03,256.4,1,225,140
78,182.5,54,123,-15,1.03,256.4,1,225,140
79,0,0,123,-15,1.03,252,0,220,140
79,0,0,123,-15,1.03,256.4,0,225,140
79,182.5,54,123,-15,1.03,256.4,1,225,140
82,300,100.5,232,-31,1,445.2,1,380,220
82,0,0,228,-30,1,434.6,0,370,220
98,8.998,0.5,1,0,1.03,12,1,8.998,8.998
98,5.998,0.5,1,0,1.03,6.1,1,5.998,5.998
104,179.5,54,123,-15,1.03,256.4,1,225,134
105,0,0,123,-15,1.03,256.4,0,225,134
106,99.5,39,80,-2,1.03,144.2,1,120,79
107,0,0,80,-2,1.03,144.2,0,120,79
116,0,0,90,-20,1.03,150,0,120,90
117,95,40,82,-2,1.03,145.3,1,120,70
118,0,0,40,0,1.03,117,0,110,80
125,0,0,135,-35,1.03,253.9,0,215,160
126,0,0,140,-35,1.03,265,0,225,140
126,187.5,50,135,-35,1.03,253.9,1,215,160
127,182.5,50,140,-40,1,265,1,225,140
