2,startup,shutdown,n,c2,c1,c0
2,0,0,3,0,112.78,0
2,0,0,3,0,112.78,0
2,0,0,3,0,76.1,0
2,0,0,3,0,76.1,0
2,0,0,3,0,76.1,0
2,0,0,3,0,76.1,0
2,0,0,3,0,76.1,0
2,0,0,3,0,76.1,0
2,0,0,3,0,76.1,0
2,0,0,3,0,76.1,0
2,0,0,3,0,76.1,0
2,0,0,3,0,76.1,0
2,0,0,3,0,76.1,0
2,0,0,3,0,102.05,0
2,0,0,3,0,102.05,0
2,0,0,3,0,102.05,0
2,0,0,3,0,102.05,0
2,0,0,3,0,102.05,0
2,0,0,3,0,102.05,0
2,0,0,3,0,102.05,0
2,0,0,3,0,102.05,0
2,0,0,3,0,105.35,0
2,0,0,3,0,105.35,0
2,0,0,3,0,105.35,0
2,0,0,3,0,105.35,0
2,0,0,3,0,105.35,0
2,0,0,3,0,105.35,0
2,0,0,3,0,105.35,0
2,0,0,3,0,0,0
2,0,0,3,0,95.31,0
2,0,0,3,0,95.31,0
2,0,0,3,0,95.31,0
2,0,0,3,0,95.31,0
2,0,0,3,0,95.31,0
2,0,0,3,0,90.03,0
2,0,0,3,0,90.03,0
2,0,0,3,0,92.78,0
2,0,0,3,0,92.78,0
2,0,0,3,0,94.09,0
2,0,0,3,0,94.09,0
2,0,0,3,0,97.12,0
2,0,0,3,0,97.12,0
2,0,0,3,0,99.52,0
2,0,0,3,0,91.16,0
2,0,0,3,0,91.16,0
2,0,0,3,0,91.16,0
2,0,0,3,0,91.16,0
2,0,0,3,0,91.16,0
2,0,0,3,0,0.01,0
2,0,0,3,0,0.01,0
2,0,0,3,0,0.01,0
2,0,0,3,0,0.01,0
2,0,0,3,0,92.43,0
2,0,0,3,0,92.43,0
2,0,0,3,0,92.43,0
2,0,0,3,0,96.42,0
2,0,0,3,0,96.42,0
2,0,0,3,0,96.42,0
2,0,0,3,0,116.01,0
2,0,0,3,0,116.01,0
2,0,0,3,0,116.01,0
2,0,0,3,0,116.01,0
2,0,0,3,0,116.01,0
2,0,0,3,0,116.01,0
2,0,0,3,0,116.01,0
2,0,0,3,0,98.84,0
2,0,0,3,0,98.84,0
2,0,0,3,0,98.84,0
2,0,0,3,0,98.84,0
2,0,0,3,0,98.84,0
2,0,0,3,0,98.84,0
2,0,0,3,0,98.84,0
2,0,0,3,0,98.84,0
2,0,0,3,0,98.84,0
2,0,0,3,0,89.22,0
2,0,0,3,0,89.22,0
2,0,0,3,0,89.22,0
2,0,0,3,0,89.22,0
2,0,0,3,0,0.01,0
2,0,0,3,0,0.01,0
2,0,0,3,0,0.01,0
2,0,0,3,0,0.01,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,76.1,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,112.78,0
2,0,0,3,0,112.78,0
2,0,0,3,0,112.78,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,102.05,0
2,0,0,3,0,102.05,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,105.35,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0.01,0
2,0,0,3,0,0.01,0
2,0,0,3,0,0.01,0
2,0,0,3,0,0.01,0
2,0,0,3,0,111.63,0
2,0,0,3,0,111.63,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,90.03,0
2,0,0,3,0,90.03,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,92.78,0
2,0,0,3,0,92.78,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,94.09,0
2,0,0,3,0,94.09,0
2,0,0,3,0,94.09,0
2,0,0,3,0,94.09,0
2,0,0,3,0,92.78,0
2,0,0,3,0,92.78,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,95.31,0
2,0,0,3,0,0,0
2,0,0,3,0,0.01,0
2,0,0,3,0,0.01,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,97.12,0
2,0,0,3,0,97.12,0
2,0,0,3,0,97.12,0
2,0,0,3,0,97.12,0
2,0,0,3,0,99.52,0
2,0,0,3,0,0,0
2,0,0,3,0,99.52,0
2,0,0,3,0,99.52,0
2,0,0,3,0,99.52,0
2,0,0,3,0,99.52,0
2,0,0,3,0,99.52,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,91.16,0
2,0,0,3,0,91.16,0
2,0,0,3,0,91.16,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,92.43,0
2,0,0,3,0,92.43,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,116.01,0
2,0,0,3,0,0.01,0
2,0,0,3,0,0.01,0
2,0,0,3,0,0.01,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
