2,startup,shutdown,n,c2,c1,c0
2,0,0,3,0,100.986309,0
2,0,0,3,0,126.418079,0
2,0,0,3,0,40.731394,0
2,0,0,3,0,40.126035,0
2,0,0,3,0,14.340287,0
2,0,0,3,0,40.157194,0
2,0,0,3,0,117.418605,0
2,0,0,3,0,33.635175,0
2,0,0,3,0,31.477929,0
2,0,0,3,0,98.758944,0
2,0,0,3,0,40.818052,0
2,0,0,3,0,121.333846,0
2,0,0,3,0,32.77942,0
2,0,0,3,0,25.295674,0
2,0,0,3,0,37.867529,0
2,0,0,3,0,34.253779,0
2,0,0,3,0,29.445017,0
2,0,0,3,0,34.926541,0
2,0,0,3,0,25.340211,0
2,0,0,3,0,24.973259,0
2,0,0,3,0,32.940298,0
2,0,0,3,0,44.90681,0
2,0,0,3,0,43.093264,0
2,0,0,3,0,16.54383,0
2,0,0,3,0,31.291874,0
2,0,0,3,0,106.235693,0
2,0,0,3,0,26.167192,0
2,0,0,3,0,105.772694,0
2,0,0,3,0,109.990006,0
2,0,0,3,0,102.34146,0
2,0,0,3,0,23.505422,0
2,0,0,3,0,108.515642,0
2,0,0,3,0,103.166394,0
2,0,0,3,0,114.320443,0
2,0,0,3,0,41.243026,0
2,0,0,3,0,43.237882,0
2,0,0,3,0,30.171172,0
2,0,0,3,0,18.516359,0
2,0,0,3,0,52.060991,0
2,0,0,3,0,43.340325,0
2,0,0,3,0,30.769345,0
2,0,0,3,0,48.207211,0
2,0,0,3,0,117.478299,0
2,0,0,3,0,27.644824,0
2,0,0,3,0,115.143841,0
2,0,0,3,0,20.063488,0
2,0,0,3,0,44.182536,0
2,0,0,3,0,122.548887,0
2,0,0,3,0,38.399391,0
2,0,0,3,0,31.433671,0
2,0,0,3,0,107.380824,0
2,0,0,3,0,107.912049,0
2,0,0,3,0,29.061768,0
2,0,0,3,0,25.31146,0
2,0,0,3,0,36.029694,0
2,0,0,3,0,10.513096,0
2,0,0,3,0,35.586535,0
2,0,0,3,0,42.894607,0
2,0,0,3,0,124.36734,0
2,0,0,3,0,52.320279,0
2,0,0,3,0,26.140314,0
2,0,0,3,0,123.799005,0
2,0,0,3,0,101.753605,0
2,0,0,3,0,19.961544,0
2,0,0,3,0,110.879704,0
2,0,0,3,0,37.715142,0
2,0,0,3,0,41.499876,0
2,0,0,3,0,28.650617,0
2,0,0,3,0,46.596802,0
2,0,0,3,0,31.909977,0
2,0,0,3,0,12.435424,0
2,0,0,3,0,19.250727,0
2,0,0,3,0,19.966272,0
2,0,0,3,0,45.089052,0
2,0,0,3,0,29.705389,0
2,0,0,3,0,11.847894,0
2,0,0,3,0,27.254106,0
2,0,0,3,0,39.85128,0
2,0,0,3,0,22.104855,0
2,0,0,3,0,38.440906,0
2,0,0,3,0,29.870503,0
2,0,0,3,0,99.615888,0
2,0,0,3,0,37.192109,0
2,0,0,3,0,109.748848,0
2,0,0,3,0,36.935647,0
2,0,0,3,0,38.368275,0
2,0,0,3,0,34.812461,0
2,0,0,3,0,122.571958,0
2,0,0,3,0,124.160569,0
2,0,0,3,0,101.716137,0
2,0,0,3,0,30.257074,0
2,0,0,3,0,121.46088,0
2,0,0,3,0,103.089036,0
2,0,0,3,0,43.477694,0
2,0,0,3,0,112.38319,0
2,0,0,3,0,38.821409,0
2,0,0,3,0,28.695354,0
2,0,0,3,0,43.888638,0
2,0,0,3,0,40.684211,0
2,0,0,3,0,14.839319,0
2,0,0,3,0,107.083296,0
2,0,0,3,0,109.526673,0
2,0,0,3,0,48.835643,0
2,0,0,3,0,63.494909,0
2,0,0,3,0,114.994004,0
2,0,0,3,0,121.183185,0
2,0,0,3,0,121.344595,0
2,0,0,3,0,27.691496,0
2,0,0,3,0,99.721503,0
2,0,0,3,0,20.788956,0
2,0,0,3,0,20.18165,0
2,0,0,3,0,110.443975,0
