fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax
1,2,0.00558,0.04147,0.0629,231,231,231,0,0,1,-30,30
1,2639,0.0001,0.01,0,224.58,269.49,336.87,0,0,1,-30,30
2,3,2e-05,0.00021,0,876,876,876,0,0,1,-30,30
4,2,0.00059,0.07897,0,160,160,160,0.9999,0,1,-30,30
2,7,0.01262,0.09326,0.14324,231,231,231,0,0,1,-30,30
2,2681,0.0001,0.01,0,193.09,231.71,289.64,0,0,1,-30,30
3,9,0.00525,0.03847,0.06053,231,231,231,0,0,1,-30,30
3,482,0.0001,0.01,0,134.24,161.08,201.35,0,0,1,-30,30
41,4,-0.00467,0.16067,0,260,312,390,0.94157,0,1,-30,30
5,12,0.01068,0.0475,0.09495,339,339,339,0,0,1,-30,30
5,946,0.0001,0.01,0,234.85,281.81,352.27,0,0,1,-30,30
6,7,2e-05,0.00021,0,876,876,876,0,0,1,-30,30
6,18,0.01436,0.10729,0.16081,231,231,231,0,0,1,-30,30
49,6,0.00155,0.06612,0,160,160,160,1.07516,0,1,-30,30
50,7,0.00157,0.06612,0,160,160,160,1.06463,0,1,-30,30
8,9,2e-05,0.00021,0,876,876,876,0,0,1,-30,30
8,15,0.01698,0.12459,0.1957,231,231,231,0,0,1,-30,30
10,11,2e-05,0.00021,0,876,876,876,0,0,1,-30,30
10,4562,0.0001,0.01,0,172.6,207.12,258.9,0,0,1,-30,30
11,13,0.01298,0.06738,0.10284,250,250,250,0,0,1,-30,30
12,13,2e-05,0.00021,0,876,876,876,0,0,1,-30,30
12,16,0.00698,0.0374,0.05463,426.89,554.95,554.95,0,0,1,-30,30
64,12,0.00165,0.0625,0,160,160,160,1.03303,0,1,-30,30
13,15,0.00436,0.03202,0.0503,400,400,400,0,0,1,-30,30
14,19,0.01105,0.08107,0.12824,341,341,341,0,0,1,-30,30
14,22,0.00355,0.02607,0.04096,341,341,341,0,0,1,-30,30
67,14,0.00118,0.06517,0,257.74,335.07,335.07,1.09791,0,1,-30,30
15,16,2e-05,0.00021,0,876,876,876,0,0,1,-30,30
15,19,0.0006,0.00351,0.00555,341,341,341,0,0,1,-30,30
81,15,0.00165,0.06851,0,261.75,340.27,340.27,1.08505,0,1,-30,30
16,18,0.0006,0.00351,0.00555,341,341,341,0,0,1,-30,30
16,23,0.01851,0.1088,0.14435,250,250,250,0,0,1,-30,30
80,16,0.00165,0.06851,0,160,160,160,1.03303,0,1,-30,30
17,22,0.00934,0.0539,0.08683,287,287,287,0,0,1,-30,30
17,923,0.0001,0.01,0,139.52,167.42,209.28,0,0,1,-30,30
18,19,2e-05,0.00021,0,876,876,876,0,0,1,-30,30
18,20,0.0003,0.02732,0,619.71,743.65,929.57,1.10037,0,1,-30,30
18,33,0.01682,0.08909,0.12993,426.87,554.94,554.94,0,0,1,-30,30
84,18,0.00163,0.07033,0,255.36,331.97,331.97,1.04795,0,1,-30,30
19,34,0.01384,0.08702,0.13484,416.82,541.87,541.87,0,0,1,-30,30
19,39,0.01118,0.06597,0.10778,405.98,527.78,527.78,0,0,1,-30,30
21,23,0.013,0.07589,0.11484,267,267,267,0,0,1,-30,30
22,23,2e-05,0.00021,0,876,876,876,0,0,1,-30,30
22,24,0.00035,0.02375,0,500,500,500,1.08671,0,1,-30,30
22,26,0.00236,0.01411,0.02031,229,229,229,0,0,1,-30,30
23,25,0.01736,0.10969,0.16268,287,287,287,0,0,1,-30,30
87,23,0.00165,0.0593,0,361.19,433.43,541.79,1.10254,0,1,-30,30
87,24,0.00153,0.06206,0,362.94,435.53,544.42,1.10126,0,1,-30,30
24,168,0.00019,0.00196,0.06877,831,831,831,0,0,1,-30,30
24,477,0.0001,0.01,0,217.91,261.49,326.86,0,0,1,-30,30
25,2702,0.0001,0.01,0,83.7,98.6,125.55,0,0,1,-30,30
27,34,0.00186,0.02155,0.05317,461,461,461,0,0,1,-30,30
102,27,0.00155,0.06585,0,160,160,160,1.08057,0,1,-30,30
28,29,2e-05,0.00021,0,876,876,876,0,0,1,-30,30
28,34,0.02738,0.14254,0.20047,222,222,222,0,0,1,-30,30
109,28,0.00015,0.06524,0,160,160,160,1.07325,0,1,-30,30
30,31,2e-05,0.00021,0,876,876,876,0,0,1,-30,30
30,32,0.00033,0.02711,0,500,500,500,1.08613,0,1,-30,30
30,37,0.00556,0.04198,0.06158,231,231,231,0,0,1,-30,30
112,30,0.00163,0.06671,0,160,160,160,1.06463,0,1,-30,30
31,33,0.008,0.05936,0.10081,231,231,231,0,0,1,-30,30
114,31,0.00163,0.06671,0,160,160,160,1.05908,0,1,-30,30
32,2610,0.0001,0.01,0,166.89,200.27,250.34,0,0,1,-30,30
33,34,2e-05,0.00021,0,876,876,876,0,0,1,-30,30
118,33,0.00159,0.06736,0,257.58,334.85,334.85,1.07383,0,1,-30,30
35,34,0.00076,0.0789,0,243.53,316.58,316.58,0.9999,0,1,-30,30
117,35,0.00077,-0.01223,0,234.06,304.28,304.28,1.04712,0,1,-30,30
119,35,-0.00017,0.16709,0,260,312,390,0.94157,0,1,-30,30
36,39,0.02709,0.15992,0.26125,197,197,197,0,0,1,-30,30
36,502,0.0001,0.01,0,83.7,98.6,125.55,0,0,1,-30,30
37,38,2e-05,0.00021,0,876,876,876,0,0,1,-30,30
38,40,0.00738,0.05486,0.09318,231,231,231,0,0,1,-30,30
155,38,0.00119,0.06565,0,160,160,160,1.09622,0,1,-30,30
39,40,2e-05,0.00021,0,876,876,876,0,0,1,-30,30
157,39,0.00161,0.06736,0,199.46,259.3,259.3,1.09825,0,1,-30,30
157,40,0.00165,0.06671,0,160,160,160,1.09825,0,1,-30,30
42,43,8e-05,0.00083,0,438,438,438,0,0,1,-30,30
