fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax
4639,1,0.005726,0.010482,0,2186,2186,2186,0,0,1,-30,30
5234,1,0.01284,0.025679,0,910,910,910,0,0,1,-30,30
1676,2,0.005799,0.010615,0.0075,2441,2441,2441,0,0,1,-30,30
1667,3,0.134039,0.309398,0.0035,91,91,91,0,0,1,-30,30
2296,3,0.049131,0.133283,0.0015,215,215,215,0,0,1,-30,30
695,4,0.025926,0.109136,0.0002,281,281,281,0,0,1,-30,30
3931,4,0.05,0.126914,0.0006,226,226,226,0,0,1,-30,30
5036,4,0.02321,0.097407,0.0016,315,315,315,0,0,1,-30,30
4405,5,0.040564,0.113631,0.0013,245,245,245,0,0,1,-30,30
2772,6,0.006047,0.020912,0.0222,1398,1398,1398,0,0,1,-30,30
2773,7,0.012472,0.032099,0.0061,884,884,884,0,0,1,-30,30
2459,8,0.002607,0.017462,0.0324,540,540,540,0,0,1,-30,30
470,9,0.053893,0.14258,0.0017,194,194,194,0,0,1,-30,30
11,10,0.000247,0.001235,0.0005,24078,24078,24078,0,0,1,-30,30
11,10,0.000247,0.001235,0.0002,24078,24078,24078,0,0,1,-30,30
30,11,0.039753,0.100988,0.0047,284,284,284,0,0,1,-30,30
2922,11,0.037654,0.096173,0.001,294,294,294,0,0,1,-30,30
2174,12,0.014613,0.060721,0.0008,487,487,487,0,0,1,-30,30
4009,12,0.034064,0.121139,0.0015,242,242,242,0,0,1,-30,30
4011,12,0.000242,0.000442,0.0004,60355,60355,60355,0,0,1,-30,30
115,13,2.1e-05,0.000125,0.1386,737,737,737,0,0,1,-30,30
2330,13,0.000145,0.001877,0.0635,2487,2487,2487,0,0,1,-30,30
4569,13,0.000319,0.003234,0.0838,1841,1841,1841,0,0,1,-30,30
116,13,2.1e-05,0.000125,0.1386,737,737,737,0,0,1,-30,30
1220,14,0.04,0.134198,0.0274,217,217,217,0,0,1,-30,30
2867,14,0.012222,0.052346,0.0026,565,565,565,0,0,1,-30,30
4587,14,0.007284,0.045432,0.0024,664,664,664,0,0,1,-30,30
4945,14,0.059963,0.154222,0.0236,184,184,184,0,0,1,-30,30
5220,14,0.018025,0.110988,0.0073,270,270,270,0,0,1,-30,30
2867,14,0.012222,0.052593,0.0032,562,562,562,0,0,1,-30,30
4587,14,0.007284,0.044938,0.0024,671,671,671,0,0,1,-30,30
2899,15,0.037541,0.100529,0.0011,284,284,284,0,0,1,-30,30
4116,15,0.090199,0.211388,0.0023,133,133,133,0,0,1,-30,30
4447,15,0.09801,0.267574,0,107,107,107,0,0,1,-30,30
249,16,0.071806,0.191484,0.0019,149,149,149,0,0,1,-30,30
337,16,0.119174,0.284958,0.0044,99,99,99,0,0,1,-30,30
5824,17,0.022346,0.061111,0.0029,457,457,457,0,0,1,-30,30
