bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
1,0,5,15,-5,1,100,1,0,0
4,0,0,300,-300,1,100,1,0,0
6,0,18.5,50,-13,1,100,1,0,0
8,0,0,300,-300,1,100,1,0,0
10,252.5,26.5,200,-147,1,100,1,505,0
12,42.5,4,43,-35,1,100,1,85,0
15,0,10,30,-10,1,100,1,0,0
18,0,17,50,-16,1,100,1,0,0
19,0,8,24,-8,1,100,1,0,0
24,0,0,300,-300,1,100,1,0,0
25,110.5,32,111,-47,1,100,1,221,0
26,242.5,0,243,-243,1,100,1,485,0
27,0,0,300,-300,1,100,1,0,0
31,8.5,0,9,-9,1,100,1,17,0
32,0,14,42,-14,1,100,1,0,0
34,0,8,24,-8,1,100,1,0,0
36,0,8,24,-8,1,100,1,0,0
40,0,0,300,-300,1,100,1,0,0
42,0,0,300,-300,1,100,1,0,0
46,10,0,10,-10,1,100,1,20,0
49,111.5,13.5,112,-85,1,100,1,223,0
54,26.5,0,27,-27,1,100,1,53,0
55,0,7.5,23,-8,1,100,1,0,0
56,0,3.5,15,-8,1,100,1,0,0
59,154,47,154,-60,1,100,1,308,0
61,97.5,0,98,-98,1,100,1,195,0
62,0,0,20,-20,1,100,1,0,0
65,220.5,66.5,200,-67,1,100,1,441,0
66,392,66.5,200,-67,1,100,1,784,0
69,591,0,300,-300,1,100,1,1182,0
70,0,11,32,-10,1,100,1,0,0
72,0,0,100,-100,1,100,1,0,0
73,0,0,100,-100,1,100,1,0,0
74,0,1.5,9,-6,1,100,1,0,0
76,0,7.5,23,-8,1,100,1,0,0
77,0,25,70,-20,1,100,1,0,0
80,254.5,45,255,-165,1,100,1,509,0
85,0,7.5,23,-8,1,100,1,0,0
87,5,0,5,-5,1,100,1,10,0
89,318.5,45,300,-210,1,100,1,637,0
90,0,0,300,-300,1,100,1,0,0
91,0,0,100,-100,1,100,1,0,0
92,0,3,9,-3,1,100,1,0,0
99,0,0,100,-100,1,100,1,0,0
100,326.5,52.5,155,-50,1,100,1,653,0
103,54,12.5,40,-15,1,100,1,108,0
104,0,7.5,23,-8,1,100,1,0,0
105,0,7.5,23,-8,1,100,1,0,0
107,0,0,200,-200,1,100,1,0,0
110,0,7.5,23,-8,1,100,1,0,0
111,39.5,0,40,-40,1,100,1,79,0
112,0,450,1000,-100,1,100,1,0,0
113,0,50,200,-100,1,100,1,0,0
116,0,0,1000,-1000,1,100,1,0,0
