2,startup,shutdown,n,c2,c1,c0
2,0,0,3,0,34.053198,0
2,0,0,3,0,27.100144,0
2,0,0,3,0,107.986054,0
2,0,0,3,0,54.120946,0
2,0,0,3,0,2.931374,0
2,0,0,3,0,40.036887,0
2,0,0,3,0,122.524132,0
2,0,0,3,0,113.461611,0
2,0,0,3,0,101.828811,0
2,0,0,3,0,48.968308,0
2,0,0,3,0,119.329141,0
2,0,0,3,0,28.509213,0
2,0,0,3,0,38.618371,0
2,0,0,3,0,22.781373,0
2,0,0,3,0,96.342645,0
2,0,0,3,0,41.859705,0
2,0,0,3,0,41.498978,0
2,0,0,3,0,34.218254,0
2,0,0,3,0,32.16964,0
2,0,0,3,0,104.226032,0
2,0,0,3,0,28.074072,0
2,0,0,3,0,104.597709,0
2,0,0,3,0,106.384472,0
2,0,0,3,0,20.791564,0
2,0,0,3,0,25.695208,0
2,0,0,3,0,37.644673,0
2,0,0,3,0,19.0542,0
2,0,0,3,0,107.769028,0
2,0,0,3,0,43.736707,0
2,0,0,3,0,38.983247,0
2,0,0,3,0,29.923701,0
2,0,0,3,0,107.498076,0
2,0,0,3,0,118.435397,0
2,0,0,3,0,38.474122,0
2,0,0,3,0,108.183844,0
2,0,0,3,0,0,0
2,0,0,3,0,114.563931,0
2,0,0,3,0,45.140076,0
2,0,0,3,0,113.523586,0
2,0,0,3,0,40.666919,0
2,0,0,3,0,53.621531,0
2,0,0,3,0,29.658147,0
2,0,0,3,0,26.946649,0
2,0,0,3,0,102.486355,0
2,0,0,3,0,29.51619,0
2,0,0,3,0,105.885449,0
2,0,0,3,0,31.512377,0
2,0,0,3,0,100.216393,0
2,0,0,3,0,41.554458,0
2,0,0,3,0,33.863712,0
2,0,0,3,0,46.608056,0
2,0,0,3,0,38.456913,0
2,0,0,3,0,26.051058,0
2,0,0,3,0,114.826646,0
2,0,0,3,0,39.101961,0
2,0,0,3,0,117.337694,0
2,0,0,3,0,24.275715,0
2,0,0,3,0,40.56772,0
2,0,0,3,0,19.18173,0
2,0,0,3,0,25.310926,0
2,0,0,3,0,113.331255,0
2,0,0,3,0,113.555785,0
2,0,0,3,0,14.543877,0
2,0,0,3,0,22.500032,0
2,0,0,3,0,42.534977,0
2,0,0,3,0,30.900147,0
2,0,0,3,0,32.533161,0
2,0,0,3,0,20.797422,0
