bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
49,2.945,0.78,2.11,-0.55,1,5.44,1,4.53,1.36
50,2.945,0.78,2.11,-0.55,1,5.44,1,4.53,1.36
51,2.945,0.78,2.11,-0.55,1,5.44,1,4.53,1.36
52,2.945,0.78,2.11,-0.55,1,5.44,1,4.53,1.36
53,5.895,1.56,4.23,-1.11,1,10.88,1,9.07,2.72
65,86.5,5.19,32.04,-21.66,1,180.48,1,86.5,86.5
67,3.055,0.81,2.19,-0.57,1,5.64,1,4.7,1.41
68,18.15,4.8,13.01,-3.41,1,33.5,1,27.92,8.38
69,18.15,4.8,13.01,-3.41,1,33.5,1,27.92,8.38
70,18.15,4.8,13.01,-3.41,1,33.5,1,27.92,8.38
71,18.15,4.8,13.01,-3.41,1,33.5,1,27.92,8.38
72,18.15,4.8,13.01,-3.41,1,33.5,1,27.92,8.38
73,18.15,4.8,13.01,-3.41,1,33.5,1,27.92,8.38
76,2.6,0.8,2.04,-0.44,1,4.8,1,4,1.2
77,1.56,0.475,1.22,-0.27,1,2.88,1,2.4,0.72
78,0,0,9.16,-2,1,21.6,0,18,5.4
79,0,0,9.16,-2,1,21.6,0,18,5.4
90,2.08,0.635,1.63,-0.36,1,3.84,1,3.2,0.96
91,3.25,1,2.55,-0.55,1,6,1,5,1.5
92,0,0,3.21,-0.7,1,7.56,0,6.3,1.89
94,11.7,3.095,8.39,-2.2,1,21.6,1,18,5.4
104,67.6,3.415,21.09,-14.26,1,118.8,1,67.6,67.6
105,154.8,6.83,42.17,-28.51,1,237.6,1,154.8,154.8
114,1.4,0.06,0.36,-0.24,1,2.04,1,1.4,1.4
115,133.5,5.175,31.95,-21.6,1,180,1,133.5,133.5
125,84.535,22.365,60.6,-15.87,1,156.06,1,130.05,39.02
126,84.535,22.365,60.6,-15.87,1,156.06,1,130.05,39.02
127,84.535,22.365,60.6,-15.87,1,156.06,1,130.05,39.02
135,290.16,76.78,208.02,-54.46,1,535.68,1,446.4,133.92
136,290.16,76.78,208.02,-54.46,1,535.68,1,446.4,133.92
147,92.4,3.47,21.41,-14.47,1,120.6,1,92.4,92.4
151,3.51,0.93,2.52,-0.66,1,6.48,1,5.4,1.62
152,50.195,13.285,35.99,-9.42,1,92.67,1,77.22,23.17
153,50.195,13.285,35.99,-9.42,1,92.67,1,77.22,23.17
154,50.195,13.285,35.99,-9.42,1,92.67,1,77.22,23.17
155,50.195,13.285,35.99,-9.42,1,92.67,1,77.22,23.17
161,0,0,70.55,-15.38,1,166.32,0,138.6,41.58
164,0,0,6.11,-1.33,1,14.4,0,12,3.6
165,0,0,13.23,-2.89,1,31.2,0,26,7.8
166,0,0,4.78,-1.04,1,11.28,0,9.4,2.82
167,6.11,1.87,4.78,-1.04,1,11.28,1,9.4,2.82
168,0,0,4.78,-1.04,1,11.28,0,9.4,2.82
169,0,0,4.78,-1.04,1,11.28,0,9.4,2.82
170,6.11,1.87,4.78,-1.04,1,11.28,1,9.4,2.82
182,11.375,3.01,8.16,-2.14,1,21,1,17.5,5.25
183,17.29,4.575,12.4,-3.25,1,31.92,1,26.6,7.98
189,369.95,81.39,209.45,-46.67,1,682.98,1,569.15,170.75
196,0,0,34.36,-7.49,1,81,0,67.5,20.25
197,0,0,34.36,-7.49,1,81,0,67.5,20.25
