bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
10,235,60,120,0,1.03,168,1,400,70
16,420,200,440,-40,1.03,823,1,720,120
17,600,300,660,-60,1.03,1234,1,1080,120
18,1320,700,1540,-140,1,2879,1,2520,120
29,235,120,240,0,1.03,511,1,400,70
30,435,120,240,0,1.03,511,1,800,70
31,575,175,350,0,1,420,1,1000,150
41,135,60,120,0,1.03,241,1,200,70
42,240,60,120,0,1.03,241,1,410,70
43,240,120,240,0,1,482,1,410,70
44,240,120,240,0,1,482,1,410,70
45,40.67,10.5,21,0,1.03,49,1,42.2,39.14
63,397.5,151,302,0,1.03,473,1,650,145
64,297.5,156.5,311,2,1.03,475,1,450,145
67,485,224.5,449,0,1,864,1,750,220
83,182.5,50.5,190,-89,1.03,239,1,225,140
84,182.5,50.5,190,-89,1.03,251,1,225,140
85,80,37.5,125,-50,1.03,133,1,120,40
86,80,37.5,125,-50,1.03,133,1,120,40
93,100,47.5,90,5,1.03,123,1,120,80
95,80,47.5,68,27,1.03,105,1,110,50
97,85.43,47.5,68,27,1.03,105,1,87.6,83.26
103,280,47.5,177,-82,1.03,239,1,400,160
104,182.5,101,379,-177,1.03,490,1,225,140
105,295,94,353,-165,1,502,1,430,160
109,165,32.5,65,0,1.03,277,1,250,80
110,165,32.5,65,0,1.03,280,1,250,80
111,200,135,270,0,1.03,401,1,360,40
123,65,20,40,0,1.03,98,1,110,20
124,85,45,90,0,1.03,132,1,125,45
125,465,180,360,0,1.03,654,1,860,70
127,380,180,360,0,1,540,1,690,70
131,565,180,360,0,1.03,696,1,1060,70
132,335,240,480,0,1.03,732,1,600,70
139,335,180,360,0,1.03,714,1,600,70
140,135,60,120,0,1.03,240,1,200,70
176,335,50,220,-120,1,430,1,600,70
177,135,50,220,-120,1,430,1,200,70
180,0,0,50.5632,-50.5632,1,7485,1,0,0
181,174.5,0,78.4518,-78.4518,1.03,210,1,175,174
182,306.795,0,145.6185,-145.6185,1,13465,1,307.59,306
184,0,0,208.7361,-208.7361,1.03,8353,1,0,0
185,0,0,36.699,-36.699,1,14254,1,0,0
186,0,0,96.2922,-96.2922,1.03,7401,1,0,0
192,92.625,25,50,0,1.035,114,1,95,90.25
196,0.88,0.5,1,0,1.035,1,1,0.9,0.86
198,0.78,0.5,1,0,1.035,1,1,0.8,0.76
205,14.625,5,10,0,1.035,18,1,15,14.25
213,10.725,4,8,0,1.035,13,1,11,10.45
264,2.44,1,2,0,1.035,3,1,2.5,2.38
