bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
7,8,0.00064,0.0305,0,400,400,400,1.0435,0.6,1,-7.4951322757,7.4951322757
26,28,0.00036,0.02519,0,500,500,500,1.067,0,1,-7.4951322757,7.4951322757
27,29,0.00036,0.02519,0,500,500,500,1.0671,0,1,-7.4951322757,7.4951322757
39,41,0.00034,0.02097,0,500,500,500,1.1102,0,1,-7.4951322757,7.4951322757
42,45,0.00034,0.02097,0,500,500,500,1.0917,0,1,-7.4951322757,7.4951322757
54,56,0.00081,0.03,0,400,400,400,1.0466,0,1,-7.4951322757,7.4951322757
89,91,0.00075,0.02444,-0.00832,330,330,330,1.0553,0,1,-7.4951322757,7.4951322757
90,92,0.00075,0.02469,-0.008,330,330,330,1.0552,0,1,-7.4951322757,7.4951322757
124,127,0.0005,0.02875,-0.016,400,400,400,1.087,0,1,-7.4951322757,7.4951322757
148,149,0.00064,0.0305,0,400,400,400,1.0636,0,1,-7.4951322757,7.4951322757
154,156,0.000232,0.023,0,500,500,500,1.0953,0,1,-7.4951322757,7.4951322757
155,157,0.000232,0.023,0,500,500,500,1.0953,0,1,-7.4951322757,7.4951322757
168,170,0.00035,0.02375,0,500,500,500,1.0767,0,1,-7.4951322757,7.4951322757
182,183,0.00059,0.03093,0,400,400,400,1.0504,0,1,-7.4951322757,7.4951322757
189,191,0.0004,0.03,0,500,500,500,1.0695,-3.6,1,-7.4951322757,7.4951322757
2726,156,0.00031,0.00338,0.0992,1386,1386,1386,0,0,1,-7.4951322757,7.4951322757
2726,157,0.00031,0.00338,0.0992,1386,1386,1386,0,0,1,-7.4951322757,7.4951322757
2727,67,0.014341,0.083531,0.126034,385,385,385,0,0,1,-7.4951322757,7.4951322757
2725,75,0.01219,0.070659,0.117418,412,412,412,0,0,1,-7.4951322757,7.4951322757
2725,104,0.011781,0.07087,0.116838,412,412,412,0,0,1,-7.4951322757,7.4951322757
126,2724,0.001525,0.016837,0.50576,1386,1386,1386,0,0,1,-7.4951322757,7.4951322757
2728,147,0.001651,0.015909,0.046948,316,316,316,0,0,1,-7.4951322757,7.4951322757
2728,148,0.001651,0.015909,0.046948,316,316,316,0,0,1,-7.4951322757,7.4951322757
2729,47,0.00188,0.02287,0.6432,831,831,831,0,0,1,-7.4951322757,7.4951322757
2729,48,0.00188,0.02287,0.6432,831,831,831,0,0,1,-7.4951322757,7.4951322757
81,2723,0.002769,0.031162,0.89824,1386,1386,1386,0,0,1,-7.4951322757,7.4951322757
42,23,0.01345,0.081141,0.141134,339,339,339,0,0,1,-7.4951322757,7.4951322757
26,89,0.009091,0.062401,0.111417,453,453,453,0,0,1,-7.4951322757,7.4951322757
27,90,0.00868,0.06405,0.096994,427,427,427,0,0,1,-7.4951322757,7.4951322757
145,30,0.016961,0.123659,0.196988,316,316,316,0,0,1,-7.4951322757,7.4951322757
134,33,0.00512,0.02618,0.029621,301,301,301,0,0,1,-7.4951322757,7.4951322757
133,20,0.01068,0.061961,0.094961,385,385,385,0,0,1,-7.4951322757,7.4951322757
163,21,0.014651,0.105891,0.170852,316,316,316,0,0,1,-7.4951322757,7.4951322757
40,108,0.01488,0.08161,0.114805,314,314,314,0,0,1,-7.4951322757,7.4951322757
39,90,0.011159,0.07231,0.103673,324,324,324,0,0,1,-7.4951322757,7.4951322757
177,82,0.005517,0.059484,0.170775,316,316,316,0,0,1,-7.4951322757,7.4951322757
202,164,0.01176,0.068289,0.102802,324,324,324,0,0,1,-7.4951322757,7.4951322757
193,164,0.016818,0.089091,0.129935,358,358,358,0,0,1,-7.4951322757,7.4951322757
192,163,0.013843,0.087025,0.134842,383,383,383,0,0,1,-7.4951322757,7.4951322757
206,166,0.01676,0.097169,0.148685,269,269,269,0,0,1,-7.4951322757,7.4951322757
42,10,0.01269,0.074979,0.130196,351,351,351,0,0,1,-7.4951322757,7.4951322757
197,18,0.014091,0.10413,0.15972,316,316,316,0,0,1,-7.4951322757,7.4951322757
99,54,0.003719,0.0438,0.100962,457,457,457,0,0,1,-7.4951322757,7.4951322757
161,81,0.00194,0.02056,0.51584,1178,1178,1178,0,0,1,-7.4951322757,7.4951322757
44,9,0.0015,0.01506,0.4032,1386,1386,1386,0,0,1,-7.4951322757,7.4951322757
184,149,0.00294,0.03463,0.9216,693,693,693,0,0,1,-7.4951322757,7.4951322757
120,56,0.00169,0.01994,0.50624,831,831,831,0,0,1,-7.4951322757,7.4951322757
29,92,0.00137,0.01625,0.41184,1386,1386,1386,0,0,1,-7.4951322757,7.4951322757
28,122,0.00231,0.02769,0.70144,1386,1386,1386,0,0,1,-7.4951322757,7.4951322757
25,191,0.00207,0.02474,0.664,1386,1386,1386,0,0,1,-7.4951322757,7.4951322757
119,63,0.0015,0.01788,0.4512,831,831,831,0,0,1,-7.4951322757,7.4951322757
121,63,0.00469,0.05544,1.4048,831,831,831,0,0,1,-7.4951322757,7.4951322757
81,31,0.00331,0.03425,0.85888,977,977,977,0,0,1,-7.4951322757,7.4951322757
91,28,0.00219,0.02369,0.59584,1178,1178,1178,0,0,1,-7.4951322757,7.4951322757
12,4,0.01674,0.09711,0.144232,427,427,427,0,0,1,-7.4951322757,7.4951322757
30,11,0.0057,0.0407,0.06021,316,316,316,0,0,1,-7.4951322757,7.4951322757
24,4,0.004419,0.032229,0.049852,383,383,383,0,0,1,-7.4951322757,7.4951322757
17,7,0.014591,0.11219,0.165528,383,383,383,0,0,1,-7.4951322757,7.4951322757
21,10,0.01211,0.087419,0.140166,316,316,316,0,0,1,-7.4951322757,7.4951322757
26,5,0.009773,0.050516,0.088959,377,377,377,0,0,1,-7.4951322757,7.4951322757
17,3,0.01068,0.07895,0.245194,274,274,274,0,0,1,-7.4951322757,7.4951322757
26,19,0.0057,0.039521,0.075533,440,440,440,0,0,1,-7.4951322757,7.4951322757
27,20,0.0057,0.039521,0.075533,440,440,440,0,0,1,-7.4951322757,7.4951322757
13,6,0.00525,0.03988,0.061952,316,316,316,0,0,1,-7.4951322757,7.4951322757
13,12,2.1e-05,0.000207,0,316,316,316,0,0,1,-7.4951322757,7.4951322757
32,13,0.00093,0.00651,0.011132,316,316,316,0,0,1,-7.4951322757,7.4951322757
23,11,0.00205,0.01326,0.022429,385,385,385,0,0,1,-7.4951322757,7.4951322757
33,5,0.007831,0.043,0.04962,301,301,301,0,0,1,-7.4951322757,7.4951322757
19,4,0.00293,0.01599,0.024781,324,324,324,0,0,1,-7.4951322757,7.4951322757
26,1,0.00155,0.01169,0.018198,633,633,633,0,0,1,-7.4951322757,7.4951322757
27,2,0.00155,0.01169,0.018198,633,633,633,0,0,1,-7.4951322757,7.4951322757
27,24,0.003841,0.028531,0.045883,392,392,392,0,0,1,-7.4951322757,7.4951322757
25,9,0.00298,0.03418,0.93504,831,831,831,0,0,1,-7.4951322757,7.4951322757
28,25,0.00358,0.04262,1.0944,1386,1386,1386,0,0,1,-7.4951322757,7.4951322757
14,29,0.00336,0.03977,1.02163,1316,1316,1316,0,0,1,-7.4951322757,7.4951322757
8,15,0.00299,0.03675,0.9184,1150,1150,1150,0,0,1,-7.4951322757,7.4951322757
8,14,0.00112,0.01329,0.341248,1150,1150,1150,0,0,1,-7.4951322757,7.4951322757
31,29,0.00075,0.009,0.22848,1150,1150,1150,0,0,1,-7.4951322757,7.4951322757
62,58,0.010479,0.060969,0.092047,269,269,269,0,0,1,-7.4951322757,7.4951322757
60,55,0.00882,0.065641,0.100662,274,274,274,0,0,1,-7.4951322757,7.4951322757
66,34,0.011219,0.065581,0.098349,274,274,274,0,0,1,-7.4951322757,7.4951322757
50,34,0.01163,0.07031,0.105802,341,341,341,0,0,1,-7.4951322757,7.4951322757
58,42,0.00545,0.040211,0.066986,404,404,404,0,0,1,-7.4951322757,7.4951322757
59,43,0.00545,0.040211,0.066986,404,404,404,0,0,1,-7.4951322757,7.4951322757
59,34,0.00837,0.04868,0.073481,379,379,379,0,0,1,-7.4951322757,7.4951322757
67,51,0.003159,0.02076,0.03146,385,385,385,0,0,1,-7.4951322757,7.4951322757
51,38,0.006979,0.051961,0.079666,316,316,316,0,0,1,-7.4951322757,7.4951322757
36,55,0.00374,0.027831,0.042689,274,274,274,0,0,1,-7.4951322757,7.4951322757
37,35,0.00769,0.057271,0.087894,316,316,316,0,0,1,-7.4951322757,7.4951322757
54,37,0.00556,0.04145,0.063598,383,383,383,0,0,1,-7.4951322757,7.4951322757
66,36,0.004521,0.03368,0.051691,392,392,392,0,0,1,-7.4951322757,7.4951322757
66,65,0.00151,0.008781,0.013165,341,341,341,0,0,1,-7.4951322757,7.4951322757
61,42,0.00574,0.042831,0.065727,404,404,404,0,0,1,-7.4951322757,7.4951322757
62,43,0.00707,0.045409,0.069309,314,314,314,0,0,1,-7.4951322757,7.4951322757
61,39,0.01213,0.062151,0.093712,314,314,314,0,0,1,-7.4951322757,7.4951322757
60,40,0.002479,0.017979,0.027588,316,316,316,0,0,1,-7.4951322757,7.4951322757
46,39,0.002401,0.01494,0.022525,341,341,341,0,0,1,-7.4951322757,7.4951322757
49,45,0.00167,0.0189,0.54176,1150,1150,1150,0,0,1,-7.4951322757,7.4951322757
57,53,0.00109,0.01277,0.34176,1150,1150,1150,0,0,1,-7.4951322757,7.4951322757
41,57,0.002259,0.026439,0.70784,1150,1150,1150,0,0,1,-7.4951322757,7.4951322757
63,57,0.00094,0.01097,0.29376,1393,1393,1393,0,0,1,-7.4951322757,7.4951322757
47,64,0.00113,0.01406,0.37488,1386,1386,1386,0,0,1,-7.4951322757,7.4951322757
52,44,0.00176,0.02144,0.57344,1150,1150,1150,0,0,1,-7.4951322757,7.4951322757
95,124,0.004876,0.033616,0.059609,404,404,404,0,0,1,-7.4951322757,7.4951322757
74,105,0.01093,0.059194,0.08439,246,246,246,0,0,1,-7.4951322757,7.4951322757
105,93,0.001942,0.013926,0.022845,404,404,404,0,0,1,-7.4951322757,7.4951322757
78,84,0.004318,0.029752,0.05264,316,316,316,0,0,1,-7.4951322757,7.4951322757
130,129,0.000661,0.004959,0.007579,379,379,379,0,0,1,-7.4951322757,7.4951322757
106,130,0.005372,0.040393,0.060055,379,379,379,0,0,1,-7.4951322757,7.4951322757
90,130,0.000826,0.005248,0.008683,301,301,301,0,0,1,-7.4951322757,7.4951322757
99,118,0.015888,0.087603,0.116818,314,314,314,0,0,1,-7.4951322757,7.4951322757
80,112,0.002169,0.014587,0.025749,269,269,269,0,0,1,-7.4951322757,7.4951322757
115,100,0.017727,0.116777,0.163611,246,246,246,0,0,1,-7.4951322757,7.4951322757
125,73,0.00593,0.04093,0.072145,404,404,404,0,0,1,-7.4951322757,7.4951322757
107,89,0.003905,0.028471,0.044983,383,383,383,0,0,1,-7.4951322757,7.4951322757
117,78,0.008161,0.042417,0.061197,356,356,356,0,0,1,-7.4951322757,7.4951322757
118,77,0.008161,0.042417,0.061197,356,356,356,0,0,1,-7.4951322757,7.4951322757
78,75,0.005186,0.038388,0.058748,453,453,453,0,0,1,-7.4951322757,7.4951322757
77,72,0.002128,0.014029,0.022603,301,301,301,0,0,1,-7.4951322757,7.4951322757
113,77,0.004628,0.027748,0.046115,324,324,324,0,0,1,-7.4951322757,7.4951322757
102,71,0.011219,0.070744,0.115705,246,246,246,0,0,1,-7.4951322757,7.4951322757
109,116,0.006012,0.041467,0.073636,383,383,383,0,0,1,-7.4951322757,7.4951322757
90,68,0.002066,0.012789,0.020551,269,269,269,0,0,1,-7.4951322757,7.4951322757
85,89,0.001364,0.009731,0.016243,453,453,453,0,0,1,-7.4951322757,7.4951322757
128,86,0.000579,0.004112,0.007008,404,404,404,0,0,1,-7.4951322757,7.4951322757
131,75,0.000847,0.00624,0.009544,457,457,457,0,0,1,-7.4951322757,7.4951322757
132,76,0.000847,0.00626,0.009477,457,457,457,0,0,1,-7.4951322757,7.4951322757
101,76,0.001591,0.011116,0.019128,453,453,453,0,0,1,-7.4951322757,7.4951322757
124,103,0.003141,0.021591,0.038391,404,404,404,0,0,1,-7.4951322757,7.4951322757
125,110,0.004545,0.03157,0.055312,316,316,316,0,0,1,-7.4951322757,7.4951322757
103,83,0.001446,0.009917,0.017598,316,316,316,0,0,1,-7.4951322757,7.4951322757
104,94,0.003822,0.026674,0.046154,316,316,316,0,0,1,-7.4951322757,7.4951322757
111,79,0.007769,0.041281,0.063907,269,269,269,0,0,1,-7.4951322757,7.4951322757
88,77,0.004463,0.030413,0.048671,246,246,246,0,0,1,-7.4951322757,7.4951322757
116,107,0.005888,0.035062,0.052349,246,246,246,0,0,1,-7.4951322757,7.4951322757
108,98,0.003161,0.023409,0.036165,316,316,316,0,0,1,-7.4951322757,7.4951322757
115,78,0.001839,0.012603,0.022399,316,316,316,0,0,1,-7.4951322757,7.4951322757
106,87,0.001715,0.009607,0.014239,301,301,301,0,0,1,-7.4951322757,7.4951322757
97,78,0.003409,0.024421,0.039969,246,246,246,0,0,1,-7.4951322757,7.4951322757
116,77,0.001839,0.012603,0.02239,316,316,316,0,0,1,-7.4951322757,7.4951322757
82,96,0.005702,0.041488,0.066172,404,404,404,0,0,1,-7.4951322757,7.4951322757
123,117,0.004587,0.024628,0.036165,314,314,314,0,0,1,-7.4951322757,7.4951322757
123,109,0.002149,0.013327,0.022109,246,246,246,0,0,1,-7.4951322757,7.4951322757
99,70,0.000785,0.004876,0.00726,269,269,269,0,0,1,-7.4951322757,7.4951322757
100,69,0.000785,0.004876,0.007241,269,269,269,0,0,1,-7.4951322757,7.4951322757
92,126,0.002413,0.027544,0.767968,831,831,831,0,0,1,-7.4951322757,7.4951322757
81,126,0.002131,0.024319,0.67744,1386,1386,1386,0,0,1,-7.4951322757,7.4951322757
121,114,0.000913,0.0104,0.289888,1150,1150,1150,0,0,1,-7.4951322757,7.4951322757
122,120,0.003119,0.035631,0.991072,831,831,831,0,0,1,-7.4951322757,7.4951322757
114,127,0.000919,0.010512,0.292928,1150,1150,1150,0,0,1,-7.4951322757,7.4951322757
172,155,0.01545,0.073349,0.126614,427,427,427,0,0,1,-7.4951322757,7.4951322757
173,154,0.01545,0.073349,0.126614,427,427,427,0,0,1,-7.4951322757,7.4951322757
175,154,0.01457,0.07955,0.14007,324,324,324,0,0,1,-7.4951322757,7.4951322757
176,155,0.01457,0.07955,0.14007,324,324,324,0,0,1,-7.4951322757,7.4951322757
175,143,0.006031,0.04401,0.069793,316,316,316,0,0,1,-7.4951322757,7.4951322757
164,139,0.011031,0.08057,0.124127,404,404,404,0,0,1,-7.4951322757,7.4951322757
136,154,0.005831,0.04231,0.070664,383,383,383,0,0,1,-7.4951322757,7.4951322757
169,172,0.01849,0.095599,0.159139,305,305,305,0,0,1,-7.4951322757,7.4951322757
151,173,0.010581,0.053,0.088475,385,385,385,0,0,1,-7.4951322757,7.4951322757
153,155,0.012521,0.091359,0.145394,453,453,453,0,0,1,-7.4951322757,7.4951322757
135,136,0.00506,0.036539,0.063598,305,305,305,0,0,1,-7.4951322757,7.4951322757
147,142,0.01043,0.077891,0.122065,383,383,383,0,0,1,-7.4951322757,7.4951322757
152,180,0.007702,0.056917,0.086733,316,316,316,0,0,1,-7.4951322757,7.4951322757
152,179,0.002256,0.016674,0.02541,333,333,333,0,0,1,-7.4951322757,7.4951322757
174,146,0.009147,0.089554,0.215196,246,246,246,0,0,1,-7.4951322757,7.4951322757
174,168,0.00244,0.01318,0.021296,341,341,341,0,0,0,-7.4951322757,7.4951322757
168,139,0.00355,0.02593,0.041237,404,404,404,0,0,1,-7.4951322757,7.4951322757
169,166,0.01312,0.076219,0.116644,324,324,324,0,0,1,-7.4951322757,7.4951322757
168,151,0.009341,0.05225,0.087701,305,305,305,0,0,1,-7.4951322757,7.4951322757
145,134,0.006141,0.032521,0.052456,356,356,356,0,0,1,-7.4951322757,7.4951322757
146,133,0.00438,0.03188,0.050723,453,453,453,0,0,1,-7.4951322757,7.4951322757
163,146,0.000479,0.00331,0.005711,404,404,404,0,0,1,-7.4951322757,7.4951322757
164,145,0.000479,0.00331,0.005711,404,404,404,0,0,1,-7.4951322757,7.4951322757
153,142,0.010539,0.076859,0.122355,316,316,316,0,0,1,-7.4951322757,7.4951322757
158,147,0.00469,0.034651,0.053821,383,383,383,0,0,1,-7.4951322757,7.4951322757
148,140,0.006469,0.0413,0.069212,383,383,383,0,0,1,-7.4951322757,7.4951322757
167,140,0.00105,0.007211,0.01028,316,316,316,0,0,1,-7.4951322757,7.4951322757
167,158,0.006099,0.044831,0.070954,316,316,316,0,0,1,-7.4951322757,7.4951322757
