bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
7,8,0.00064,0.0305,0,400,400,400,1.0435,0.6,1,-8.23693130203,8.23693130203
26,28,0.00036,0.02519,0,500,500,500,1.0565,0,1,-8.23693130203,8.23693130203
27,29,0.00036,0.02519,0,500,500,500,1.0566,0,1,-8.23693130203,8.23693130203
40,42,0.00034,0.02097,0,500,500,500,1.068,0,1,-8.23693130203,8.23693130203
43,46,0.00034,0.02097,0,500,500,500,1.0569,0,1,-8.23693130203,8.23693130203
55,57,0.00081,0.03,0,400,400,400,1.0765,0,1,-8.23693130203,8.23693130203
90,92,0.00075,0.02444,-0.00832,330,330,330,1.0631,0,1,-8.23693130203,8.23693130203
91,93,0.00075,0.02469,-0.008,330,330,330,1.0632,0,1,-8.23693130203,8.23693130203
125,128,0.0005,0.02875,-0.016,400,400,400,1.0639,0,1,-8.23693130203,8.23693130203
149,150,0.00064,0.0305,0,400,400,400,1.0826,0,1,-8.23693130203,8.23693130203
155,158,0.000232,0.023,0,500,500,500,1.089,0,1,-8.23693130203,8.23693130203
156,159,0.000232,0.023,0,500,500,500,1.0893,0,1,-8.23693130203,8.23693130203
170,172,0.00035,0.02375,0,500,500,500,1.1049,0,1,-8.23693130203,8.23693130203
183,184,0.00059,0.03093,0,400,400,400,1.091,0,1,-8.23693130203,8.23693130203
190,192,0.0004,0.03,0,500,500,500,1.1321,0,1,-8.23693130203,8.23693130203
2735,158,0.00031,0.00338,0.0992,1386,1386,1386,0,0,1,-8.23693130203,8.23693130203
2735,159,0.00031,0.00338,0.0992,1386,1386,1386,0,0,1,-8.23693130203,8.23693130203
2736,68,0.014341,0.083531,0.126034,415,415,415,0,0,1,-8.23693130203,8.23693130203
2734,76,0.01219,0.070659,0.117418,412,412,412,0,0,1,-8.23693130203,8.23693130203
2734,105,0.011781,0.07087,0.116838,412,412,412,0,0,1,-8.23693130203,8.23693130203
2739,200,9e-06,9.4e-05,0,924,924,924,0,0,1,-8.23693130203,8.23693130203
128,2732,0.0015,0.01469,0.40384,1386,1386,1386,0,0,0,-8.23693130203,8.23693130203
127,2733,0.001419,0.014675,0.4896,1386,1386,1386,0,0,1,-8.23693130203,8.23693130203
2737,148,0.001651,0.015909,0.046948,373,373,373,0,0,1,-8.23693130203,8.23693130203
2737,149,0.001651,0.015909,0.046948,373,373,373,0,0,1,-8.23693130203,8.23693130203
2738,48,0.00188,0.02287,0.6432,831,831,831,0,0,1,-8.23693130203,8.23693130203
2738,49,0.00188,0.02287,0.6432,831,831,831,0,0,1,-8.23693130203,8.23693130203
82,2732,0.003519,0.039313,1.0336,1621,1621,1621,0,0,1,-8.23693130203,8.23693130203
43,23,0.01345,0.081141,0.141134,339,339,339,0,0,1,-8.23693130203,8.23693130203
26,90,0.009091,0.062401,0.111417,457,457,457,0,0,1,-8.23693130203,8.23693130203
27,91,0.00868,0.06405,0.096994,457,457,457,0,0,1,-8.23693130203,8.23693130203
146,30,0.016961,0.123659,0.196988,373,373,373,0,0,1,-8.23693130203,8.23693130203
135,34,0.00512,0.02618,0.029621,335,335,335,0,0,1,-8.23693130203,8.23693130203
134,20,0.01068,0.061961,0.094961,415,415,415,0,0,1,-8.23693130203,8.23693130203
165,21,0.014651,0.105891,0.170852,373,373,373,0,0,1,-8.23693130203,8.23693130203
41,109,0.01488,0.08161,0.114805,347,347,347,0,0,1,-8.23693130203,8.23693130203
40,91,0.011159,0.07231,0.103673,362,362,362,0,0,1,-8.23693130203,8.23693130203
179,83,0.008616,0.077645,0.122239,373,373,373,0,0,1,-8.23693130203,8.23693130203
203,166,0.01176,0.068289,0.102802,362,362,362,0,0,1,-8.23693130203,8.23693130203
194,166,0.016818,0.089091,0.129935,400,400,400,0,0,1,-8.23693130203,8.23693130203
193,165,0.013843,0.087025,0.134842,427,427,427,0,0,1,-8.23693130203,8.23693130203
207,168,0.01676,0.097169,0.148685,274,274,274,0,0,1,-8.23693130203,8.23693130203
43,12,0.01269,0.074979,0.130196,377,377,377,0,0,1,-8.23693130203,8.23693130203
198,18,0.014091,0.10413,0.15972,373,373,373,0,0,1,-8.23693130203,8.23693130203
100,55,0.003719,0.0438,0.100962,457,457,457,0,0,1,-8.23693130203,8.23693130203
163,82,0.00194,0.02056,0.51584,1316,1316,1316,0,0,1,-8.23693130203,8.23693130203
45,9,0.0015,0.01506,0.4032,1386,1386,1386,0,0,1,-8.23693130203,8.23693130203
185,151,0.00294,0.03463,0.9216,693,693,693,0,0,1,-8.23693130203,8.23693130203
121,57,0.00169,0.01994,0.50624,831,831,831,0,0,1,-8.23693130203,8.23693130203
29,93,0.00137,0.01625,0.41184,1386,1386,1386,0,0,1,-8.23693130203,8.23693130203
28,123,0.00231,0.02769,0.70144,1386,1386,1386,0,0,1,-8.23693130203,8.23693130203
25,192,0.00207,0.02474,0.664,831,831,831,0,0,1,-8.23693130203,8.23693130203
120,64,0.0015,0.01788,0.4512,831,831,831,0,0,1,-8.23693130203,8.23693130203
122,65,0.00469,0.05544,1.4048,831,831,831,0,0,1,-8.23693130203,8.23693130203
82,31,0.00331,0.03425,0.85888,1150,1150,1150,0,0,1,-8.23693130203,8.23693130203
92,28,0.00219,0.02369,0.59584,1316,1316,1316,0,0,1,-8.23693130203,8.23693130203
11,4,0.01674,0.09711,0.144232,461,461,461,0,0,1,-8.23693130203,8.23693130203
30,12,0.0057,0.0407,0.06021,373,373,373,0,0,1,-8.23693130203,8.23693130203
33,4,0.004419,0.032229,0.049852,392,392,392,0,0,1,-8.23693130203,8.23693130203
