fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax
639,1,0.005799,0.010615,0.0075,2441,2441,2441,0,0,1,-9.66355961304,9.66355961304
2771,2,0.002607,0.017462,0.0324,540,540,540,0,0,1,-9.66355961304,9.66355961304
2575,3,2.1e-05,0.000125,0.1386,737,737,737,0,0,1,-9.66355961304,9.66355961304
875,3,0.000145,0.001877,0.0635,2487,2487,2487,0,0,1,-9.66355961304,9.66355961304
1710,3,0.000319,0.003234,0.0838,1841,1841,1841,0,0,1,-9.66355961304,9.66355961304
46,3,2.1e-05,0.000125,0.1386,737,737,737,0,0,1,-9.66355961304,9.66355961304
1073,4,0.037541,0.100529,0.0011,284,284,284,0,0,1,-9.66355961304,9.66355961304
1533,4,0.090199,0.211388,0.0023,133,133,133,0,0,1,-9.66355961304,9.66355961304
1658,4,0.09801,0.267574,0,107,107,107,0,0,1,-9.66355961304,9.66355961304
1370,5,0.009383,0.019753,0,1194,1194,1194,0,0,1,-9.66355961304,9.66355961304
1370,6,0.001975,0.004444,0,5369,5369,5369,0,0,1,-9.66355961304,9.66355961304
199,7,0.006163,0.041067,0.0759,446,446,446,0,0,1,-9.66355961304,9.66355961304
880,7,0.000652,0.004369,0.0081,558,558,558,0,0,1,-9.66355961304,9.66355961304
1061,8,0.067019,0.137566,0.0037,193,193,193,0,0,1,-9.66355961304,9.66355961304
1223,8,0.032754,0.088939,0.0039,312,312,312,0,0,1,-9.66355961304,9.66355961304
1223,8,0.030184,0.080096,0.0053,345,345,345,0,0,1,-9.66355961304,9.66355961304
1371,10,0.009733,0.034089,0.0185,944,944,944,0,0,1,-9.66355961304,9.66355961304
147,11,0.000277,0.002015,0.003,288,288,288,0,0,1,-9.66355961304,9.66355961304
387,2571,0.00881,0.033995,0.0607,289,289,289,0,0,1,-9.66355961304,9.66355961304
437,2571,0.004642,0.019832,0.0354,255,255,255,0,0,1,-9.66355961304,9.66355961304
955,11,0.008861,0.03506,0.0623,288,288,288,0,0,1,-9.66355961304,9.66355961304
991,11,0.006993,0.032869,0.0557,255,255,255,0,0,1,-9.66355961304,9.66355961304
1774,2571,0.002173,0.008731,0.0152,3441,3441,3441,0,0,1,-9.66355961304,9.66355961304
1817,11,0.00077,0.003121,0.0051,9629,9629,9629,0,0,1,-9.66355961304,9.66355961304
2092,2571,0.004109,0.016138,0.0284,288,288,288,0,0,1,-9.66355961304,9.66355961304
2591,12,8.3e-05,0.000907,0.0202,1034,1034,1034,0,0,1,-9.66355961304,9.66355961304
419,12,0.000552,0.006726,0.0939,1786,1786,1786,0,0,1,-9.66355961304,9.66355961304
808,12,0.000512,0.008012,0.2455,2462,2462,2462,0,0,1,-9.66355961304,9.66355961304
1158,12,0.001107,0.00918,0.1906,1644,1644,1644,0,0,1,-9.66355961304,9.66355961304
148,2572,6.2e-05,0.000741,0.0173,1095,1095,1095,0,0,1,-9.66355961304,9.66355961304
808,12,0.000512,0.008019,0.2455,2462,2462,2462,0,0,1,-9.66355961304,9.66355961304
808,2572,0.001153,0.013123,0.1841,1433,1433,1433,0,0,1,-9.66355961304,9.66355961304
167,13,0.000158,0.000672,0.0719,331,331,331,0,0,1,-9.66355961304,9.66355961304
1463,13,4.5e-05,8.9e-05,0.002,268,268,268,0,0,1,-9.66355961304,9.66355961304
820,14,0.033258,0.090955,0.001,305,305,305,0,0,1,-9.66355961304,9.66355961304
465,15,0.071303,0.180902,0.0021,152,152,152,0,0,1,-9.66355961304,9.66355961304
878,15,0.071554,0.18191,0.0021,152,152,152,0,0,1,-9.66355961304,9.66355961304
2664,16,0.00478,0.028622,0.0547,455,455,455,0,0,1,-9.66355961304,9.66355961304
451,16,0.00478,0.028583,0.0547,455,455,455,0,0,1,-9.66355961304,9.66355961304
151,17,0.000257,0.000514,0.0294,53862,53862,53862,0,0,1,-9.66355961304,9.66355961304
987,18,0.000257,0.002153,0.2147,452,452,452,0,0,1,-9.66355961304,9.66355961304
1264,18,0.000277,0.000869,0.0931,481,481,481,0,0,1,-9.66355961304,9.66355961304
1903,19,0.000756,0.00252,0,11716,11716,11716,0,0,1,-9.66355961304,9.66355961304
1247,20,0.000237,0.00083,0.1863,268,268,268,0,0,1,-9.66355961304,9.66355961304
1301,20,0.000178,0.000612,0.1377,268,268,268,0,0,1,-9.66355961304,9.66355961304
59,21,0.002568,0.011753,0.0203,424,424,424,0,0,1,-9.66355961304,9.66355961304
1908,21,0.002568,0.011615,0.0228,290,290,290,0,0,1,-9.66355961304,9.66355961304
591,22,0.102293,0.226757,0.0025,122,122,122,0,0,1,-9.66355961304,9.66355961304
855,22,0.177551,0.405291,0.0046,68,68,68,0,0,1,-9.66355961304,9.66355961304
1199,22,0.088264,0.161566,0.0017,163,163,163,0,0,1,-9.66355961304,9.66355961304
820,23,0.043336,0.11867,0.001,234,234,234,0,0,1,-9.66355961304,9.66355961304
1059,23,0.067775,0.139834,0.001,191,191,191,0,0,1,-9.66355961304,9.66355961304
1691,23,0.047367,0.16125,0.0021,177,177,177,0,0,1,-9.66355961304,9.66355961304
1922,23,0.004031,0.016629,0.001,1726,1726,1726,0,0,1,-9.66355961304,9.66355961304
1377,24,9.9e-05,0.00077,0.078,379,379,379,0,0,1,-9.66355961304,9.66355961304
1377,2573,9.9e-05,0.00077,0.077,379,379,379,0,0,1,-9.66355961304,9.66355961304
1908,25,0.000514,0.003437,0.0061,290,290,290,0,0,1,-9.66355961304,9.66355961304
1914,25,0.005476,0.036879,0.1255,522,522,522,0,0,1,-9.66355961304,9.66355961304
59,25,0.000514,0.003457,0.0061,418,418,418,0,0,1,-9.66355961304,9.66355961304
1138,26,0.003477,0.01118,0.0187,304,304,304,0,0,1,-9.66355961304,9.66355961304
1409,26,0.000612,0.003121,0.0152,270,270,270,0,0,1,-9.66355961304,9.66355961304
2755,27,0.013857,0.035525,0.0004,775,775,775,0,0,1,-9.66355961304,9.66355961304
1514,28,2.4e-05,0.000144,0.0213,701,701,701,0,0,1,-9.66355961304,9.66355961304
1514,2574,7.1e-05,0.000162,0.0162,251,251,251,0,0,1,-9.66355961304,9.66355961304
249,29,0.068027,0.173091,0.002,159,159,159,0,0,1,-9.66355961304,9.66355961304
296,29,0.027211,0.068783,0.001,400,400,400,0,0,1,-9.66355961304,9.66355961304
