bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,2,0.0083,0.028,0.129,1005,1005,1005,0,0,1,-4.945175507,4.945175507
2,3,0.0298,0.085,0.0818,326,326,326,0,0,1,-4.945175507,4.945175507
3,4,0.0112,0.0366,0.038,767,767,767,0,0,1,-4.945175507,4.945175507
4,5,0.0625,0.132,0.0258,201,201,201,0,0,1,-4.945175507,4.945175507
4,6,0.043,0.148,0.0348,191,191,191,0,0,1,-4.945175507,4.945175507
6,7,0.02,0.102,0.0276,283,283,283,0,0,1,-4.945175507,4.945175507
6,8,0.0339,0.173,0.047,167,167,167,0,0,1,-4.945175507,4.945175507
8,9,0.0099,0.0505,0.0548,570,570,570,0,0,1,-4.945175507,4.945175507
9,10,0.0369,0.1679,0.044,171,171,171,0,0,1,-4.945175507,4.945175507
9,11,0.0258,0.0848,0.0218,331,331,331,0,0,1,-4.945175507,4.945175507
9,12,0.0648,0.295,0.0772,98,98,98,0,0,1,-4.945175507,4.945175507
9,13,0.0481,0.158,0.0406,178,178,178,0,0,1,-4.945175507,4.945175507
13,14,0.0132,0.0434,0.011,647,647,647,0,0,1,-4.945175507,4.945175507
13,15,0.0269,0.0869,0.023,323,323,323,0,0,1,-4.945175507,4.945175507
1,15,0.0178,0.091,0.0988,317,317,317,0,0,1,-4.945175507,4.945175507
1,16,0.0454,0.206,0.0546,140,140,140,0,0,1,-4.945175507,4.945175507
1,17,0.0238,0.108,0.0286,266,266,266,0,0,1,-4.945175507,4.945175507
3,15,0.0162,0.053,0.0544,530,530,530,0,0,1,-4.945175507,4.945175507
4,18,0,0.555,0,53,53,53,0.97,0,1,-4.945175507,4.945175507
4,18,0,0.43,0,69,69,69,0.978,0,1,-4.945175507,4.945175507
5,6,0.0302,0.0641,0.0124,414,414,414,0,0,1,-4.945175507,4.945175507
7,8,0.0139,0.0712,0.0194,405,405,405,0,0,1,-4.945175507,4.945175507
10,12,0.0277,0.1262,0.0328,228,228,228,0,0,1,-4.945175507,4.945175507
11,13,0.0223,0.0732,0.0188,384,384,384,0,0,1,-4.945175507,4.945175507
12,13,0.0178,0.058,0.0604,484,484,484,0,0,1,-4.945175507,4.945175507
12,16,0.018,0.0813,0.0216,353,353,353,0,0,1,-4.945175507,4.945175507
12,17,0.0397,0.179,0.0476,160,160,160,0,0,1,-4.945175507,4.945175507
14,15,0.0171,0.0547,0.0148,512,512,512,0,0,1,-4.945175507,4.945175507
18,19,0.461,0.685,0,36,36,36,0,0,1,-4.945175507,4.945175507
19,20,0.283,0.434,0,57,57,57,0,0,1,-4.945175507,4.945175507
21,20,0,0.7767,0,38,38,38,1.043,0,1,-4.945175507,4.945175507
21,22,0.0736,0.117,0,213,213,213,0,0,1,-4.945175507,4.945175507
22,23,0.0099,0.0152,0,1617,1617,1617,0,0,1,-4.945175507,4.945175507
23,24,0.166,0.256,0.0084,97,97,97,0,0,1,-4.945175507,4.945175507
24,25,0,1.182,0,25,25,25,1,0,1,-4.945175507,4.945175507
24,25,0,1.23,0,24,24,24,1,0,1,-4.945175507,4.945175507
24,26,0,0.0473,0,621,621,621,1.043,0,1,-4.945175507,4.945175507
26,27,0.165,0.254,0,97,97,97,0,0,1,-4.945175507,4.945175507
27,28,0.0618,0.0954,0,259,259,259,0,0,1,-4.945175507,4.945175507
28,29,0.0418,0.0587,0,408,408,408,0,0,1,-4.945175507,4.945175507
7,29,0,0.0648,0,453,453,453,0.967,0,1,-4.945175507,4.945175507
25,30,0.135,0.202,0,121,121,121,0,0,1,-4.945175507,4.945175507
30,31,0.326,0.497,0,50,50,50,0,0,1,-4.945175507,4.945175507
31,32,0.507,0.755,0,33,33,33,0,0,1,-4.945175507,4.945175507
32,33,0.0392,0.036,0,552,552,552,0,0,1,-4.945175507,4.945175507
34,32,0,0.953,0,31,31,31,0.975,0,1,-4.945175507,4.945175507
34,35,0.052,0.078,0.0032,313,313,313,0,0,1,-4.945175507,4.945175507
35,36,0.043,0.0537,0.0016,427,427,427,0,0,1,-4.945175507,4.945175507
36,37,0.029,0.0366,0,629,629,629,0,0,1,-4.945175507,4.945175507
37,38,0.0651,0.1009,0.002,245,245,245,0,0,1,-4.945175507,4.945175507
37,39,0.0239,0.0379,0,655,655,655,0,0,1,-4.945175507,4.945175507
36,40,0.03,0.0466,0,530,530,530,0,0,1,-4.945175507,4.945175507
22,38,0.0192,0.0295,0,834,834,834,0,0,1,-4.945175507,4.945175507
11,41,0,0.749,0,40,40,40,0.955,0,1,-4.945175507,4.945175507
41,42,0.207,0.352,0,72,72,72,0,0,1,-4.945175507,4.945175507
41,43,0,0.412,0,72,72,72,0,0,1,-4.945175507,4.945175507
38,44,0.0289,0.0585,0.002,450,450,450,0,0,1,-4.945175507,4.945175507
15,45,0,0.1042,0,282,282,282,0.955,0,1,-4.945175507,4.945175507
14,46,0,0.0735,0,400,400,400,0.9,0,1,-4.945175507,4.945175507
46,47,0.023,0.068,0.0032,409,409,409,0,0,1,-4.945175507,4.945175507
47,48,0.0182,0.0233,0,993,993,993,0,0,1,-4.945175507,4.945175507
48,49,0.0834,0.129,0.0048,191,191,191,0,0,1,-4.945175507,4.945175507
49,50,0.0801,0.128,0,195,195,195,0,0,1,-4.945175507,4.945175507
50,51,0.1386,0.22,0,113,113,113,0,0,1,-4.945175507,4.945175507
10,51,0,0.0712,0,412,412,412,0.93,0,1,-4.945175507,4.945175507
13,49,0,0.191,0,154,154,154,0.895,0,1,-4.945175507,4.945175507
29,52,0.1442,0.187,0,125,125,125,0,0,1,-4.945175507,4.945175507
52,53,0.0762,0.0984,0,236,236,236,0,0,1,-4.945175507,4.945175507
53,54,0.1878,0.232,0,99,99,99,0,0,1,-4.945175507,4.945175507
54,55,0.1732,0.2265,0,103,103,103,0,0,1,-4.945175507,4.945175507
11,43,0,0.153,0,192,192,192,0.958,0,1,-4.945175507,4.945175507
44,45,0.0624,0.1242,0.004,212,212,212,0,0,1,-4.945175507,4.945175507
40,56,0,1.195,0,25,25,25,0.958,0,1,-4.945175507,4.945175507
56,41,0.553,0.549,0,38,38,38,0,0,1,-4.945175507,4.945175507
56,42,0.2125,0.354,0,72,72,72,0,0,1,-4.945175507,4.945175507
39,57,0,1.355,0,22,22,22,0.98,0,1,-4.945175507,4.945175507
57,56,0.174,0.26,0,94,94,94,0,0,1,-4.945175507,4.945175507
38,49,0.115,0.177,0.003,139,139,139,0,0,1,-4.945175507,4.945175507
38,48,0.0312,0.0482,0,511,511,511,0,0,1,-4.945175507,4.945175507
9,55,0,0.1205,0,244,244,244,0.94,0,1,-4.945175507,4.945175507
