bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,10,0.00186,0.02155,0.05317,461,461,461,0,0,1,-6.16091306701,6.16091306701
2,3,0.00051,0.0275,0,400,400,400,1.07702,0,1,-6.16091306701,6.16091306701
2,17,0.00568,0.04215,0.0716,317,317,317,0,0,1,-6.16091306701,6.16091306701
3,14,0.00131,0.01547,0.41152,838,838,838,0,0,1,-6.16091306701,6.16091306701
3,70,0.0001,0.01,0,158.96,190.75,238.44,0,0,1,-6.16091306701,6.16091306701
4,5,1e-05,6e-05,0,1593,1593,1593,0,0,1,-6.16091306701,6.16091306701
6,4,0.00084,0.06858,0,250,250,250,0.9999,0,1,-6.16091306701,6.16091306701
4,65,0.00033,0.00388,0.10475,831,831,831,0,0,1,-6.16091306701,6.16091306701
4,77,0.0001,0.01,0,126.64,151.97,189.97,0,0,1,-6.16091306701,6.16091306701
5,12,0.0024,0.02795,0.75408,838,838,838,0,0,1,-6.16091306701,6.16091306701
5,16,0.00133,0.01553,0.41898,831,831,831,0,0,1,-6.16091306701,6.16091306701
5,68,0.0001,0.01,0,149.53,179.43,224.29,0,0,1,-6.16091306701,6.16091306701
23,6,0.00044,-0.00422,0,250,250,250,1.06772,0,1,-6.16091306701,6.16091306701
24,6,0.00496,0.06982,0,64.99,84.49,84.49,0.98438,0,1,-6.16091306701,6.16091306701
7,8,2e-05,0.00021,0,876,876,876,0,0,1,-6.16091306701,6.16091306701
7,10,0.02738,0.14254,0.20047,222,222,222,0,0,1,-6.16091306701,6.16091306701
25,7,0.00015,0.06524,0,160,160,160,1.07325,0,1,-6.16091306701,6.16091306701
8,17,0.01909,0.11277,0.16673,197,197,197,0,0,1,-6.16091306701,6.16091306701
26,8,0.00027,0.06715,0,160,160,160,1.08282,0,1,-6.16091306701,6.16091306701
9,10,2e-05,0.00021,0,876,876,876,0,0,1,-6.16091306701,6.16091306701
9,76,0.0001,0.01,0,83.7,98.6,125.55,0,0,1,-6.16091306701,6.16091306701
11,10,0.00076,0.0789,0,243.53,316.58,316.58,0.9999,0,1,-6.16091306701,6.16091306701
10,66,0.0001,0.01,0,83.7,98.6,125.55,0,0,1,-6.16091306701,6.16091306701
33,11,-0.00017,0.16709,0,260,312,390,0.94157,0,1,-6.16091306701,6.16091306701
11,75,0.0001,0.01,0,83.7,98.6,125.55,0,0,1,-6.16091306701,6.16091306701
12,69,0.0001,0.01,0,129.32,155.19,193.98,0,0,1,-6.16091306701,6.16091306701
13,14,1e-05,6e-05,0,1593,1593,1593,0,0,1,-6.16091306701,6.16091306701
13,15,0.0015,0.01768,0.46944,831,831,831,0,0,1,-6.16091306701,6.16091306701
52,13,0.00059,0.04206,0,330,330,330,1.04877,0,1,-6.16091306701,6.16091306701
