bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
101,102,0.003,0.014,0.461,175,193,200,0,0,1,-7.60734097217,7.60734097217
101,103,0.055,0.211,0.057,175,208,220,0,0,1,-7.60734097217,7.60734097217
101,105,0.022,0.085,0.023,175,208,220,0,0,1,-7.60734097217,7.60734097217
102,104,0.033,0.127,0.034,175,208,220,0,0,1,-7.60734097217,7.60734097217
102,106,0.05,0.192,0.052,175,208,220,0,0,1,-7.60734097217,7.60734097217
103,109,0.031,0.119,0.032,175,208,220,0,0,1,-7.60734097217,7.60734097217
103,124,0.002,0.084,0,400,510,600,1.015,0,1,-7.60734097217,7.60734097217
104,109,0.027,0.104,0.028,175,208,220,0,0,1,-7.60734097217,7.60734097217
105,110,0.023,0.088,0.024,175,208,220,0,0,1,-7.60734097217,7.60734097217
106,110,0.014,0.061,2.459,175,193,200,0,0,1,-7.60734097217,7.60734097217
107,108,0.016,0.061,0.017,175,208,220,0,0,1,-7.60734097217,7.60734097217
107,203,0.042,0.161,0.044,175,208,220,0,0,1,-7.60734097217,7.60734097217
108,109,0.043,0.165,0.045,175,208,220,0,0,1,-7.60734097217,7.60734097217
108,110,0.043,0.165,0.045,175,208,220,0,0,1,-7.60734097217,7.60734097217
109,111,0.002,0.084,0,400,510,600,1.03,0,1,-7.60734097217,7.60734097217
109,112,0.002,0.084,0,400,510,600,1.03,0,1,-7.60734097217,7.60734097217
110,111,0.002,0.084,0,400,510,600,1.015,0,1,-7.60734097217,7.60734097217
110,112,0.002,0.084,0,400,510,600,1.015,0,1,-7.60734097217,7.60734097217
111,113,0.006,0.048,0.1,500,600,625,0,0,1,-7.60734097217,7.60734097217
111,114,0.005,0.042,0.088,500,600,625,0,0,1,-7.60734097217,7.60734097217
112,113,0.006,0.048,0.1,500,600,625,0,0,1,-7.60734097217,7.60734097217
112,123,0.012,0.097,0.203,500,600,625,0,0,1,-7.60734097217,7.60734097217
113,123,0.011,0.087,0.182,500,600,625,0,0,1,-7.60734097217,7.60734097217
113,215,0.01,0.075,0.158,500,600,625,0,0,1,-7.60734097217,7.60734097217
114,116,0.005,0.059,0.082,500,600,625,0,0,1,-7.60734097217,7.60734097217
115,116,0.002,0.017,0.036,500,600,625,0,0,1,-7.60734097217,7.60734097217
115,121,0.006,0.049,0.103,500,600,625,0,0,1,-7.60734097217,7.60734097217
115,121,0.006,0.049,0.103,500,600,625,0,0,1,-7.60734097217,7.60734097217
115,124,0.007,0.052,0.109,500,600,625,0,0,1,-7.60734097217,7.60734097217
116,117,0.003,0.026,0.055,500,600,625,0,0,1,-7.60734097217,7.60734097217
116,119,0.003,0.023,0.049,500,600,625,0,0,1,-7.60734097217,7.60734097217
117,118,0.002,0.014,0.03,500,600,625,0,0,1,-7.60734097217,7.60734097217
117,122,0.014,0.105,0.221,500,600,625,0,0,1,-7.60734097217,7.60734097217
118,121,0.003,0.026,0.055,500,600,625,0,0,1,-7.60734097217,7.60734097217
118,121,0.003,0.026,0.055,500,600,625,0,0,1,-7.60734097217,7.60734097217
119,120,0.005,0.04,0.083,500,600,625,0,0,1,-7.60734097217,7.60734097217
119,120,0.005,0.04,0.083,500,600,625,0,0,1,-7.60734097217,7.60734097217
120,123,0.003,0.022,0.046,500,600,625,0,0,1,-7.60734097217,7.60734097217
