bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
5147,3097,0.0006,0.00616,0,823,5104,5104,0,0,1,-11.8401863096,11.8401863096
5147,8763,0.0005,0.0074,0,921,4259,4259,0,0,1,-11.8401863096,11.8401863096
2169,3124,0.00107,0.00626,0,476,4974,4974,0,0,1,-11.8401863096,11.8401863096
2169,3234,0.000841,0.0055,0,476,5678,5678,0,0,1,-11.8401863096,11.8401863096
3517,711,0.00143,0.01563,0,1645,2013,2013,0,0,1,-11.8401863096,11.8401863096
3517,4533,0.00146,0.01692,0,1711,2838,2838,0,0,1,-11.8401863096,11.8401863096
427,5425,7e-05,0.00057,0,1711,55004,55004,0,0,1,-11.8401863096,11.8401863096
427,4704,6e-05,0.00056,0,1514,56085,56085,0,0,1,-11.8401863096,11.8401863096
5960,7431,0.003349,0.01656,0,1870,1870,1870,0,0,1,-11.8401863096,11.8401863096
5960,3186,0.003409,0.016211,0,1907,1907,1907,0,0,1,-11.8401863096,11.8401863096
4481,7431,0.003479,0.01586,0,1946,1946,1946,0,0,1,-11.8401863096,11.8401863096
4481,3186,0.003099,0.017969,0,1733,1733,1733,0,0,1,-11.8401863096,11.8401863096
531,9203,0.00127,0.01842,0,823,1711,1711,0,0,1,-11.8401863096,11.8401863096
531,835,0.00126,0.01847,0,1547,1707,1707,0,0,1,-11.8401863096,11.8401863096
1656,118,0.0013,0.01808,0,1218,1743,1743,0,0,1,-11.8401863096,11.8401863096
1656,3449,0.00131,0.01765,0,1744,1785,1785,0,0,1,-11.8401863096,11.8401863096
5084,1809,0.00065,0.01311,0,2407,2407,2407,0,0,1,-11.8401863096,11.8401863096
5084,6398,0.00067,0.00974,0,2598,3236,3236,0,0,1,-11.8401863096,11.8401863096
5205,7833,0.00236,0.01418,0,553,2198,2198,0,0,1,-11.8401863096,11.8401863096
5205,7770,0.002169,0.015909,0,514,1968,1968,0,0,1,-11.8401863096,11.8401863096
354,1278,0.00027,0.00254,0,1349,12367,12367,0,0,1,-11.8401863096,11.8401863096
354,7617,0.00027,0.00259,0,1119,12131,12131,0,0,1,-11.8401863096,11.8401863096
2611,1278,0.00033,0.00302,0,1448,10398,10398,0,0,1,-11.8401863096,11.8401863096
2611,905,0.00029,0.00312,0,1613,10081,10081,0,0,1,-11.8401863096,11.8401863096
1842,6542,0.000289,0.00137,0,533,22560,22560,0,0,1,-11.8401863096,11.8401863096
1842,7622,0.000219,0.00263,0,11969,11969,11969,0,0,1,-11.8401863096,11.8401863096
2134,6542,0.000289,0.001341,0,457,23027,23027,0,0,1,-11.8401863096,11.8401863096
2134,8785,0.000229,0.00257,0,12243,12243,12243,0,0,1,-11.8401863096,11.8401863096
6613,6542,0.000841,0.00689,0,514,4551,4551,0,0,1,-11.8401863096,11.8401863096
6613,1651,0.000979,0.00586,0,495,5317,5317,0,0,1,-11.8401863096,11.8401863096
5773,6542,0.00014,0.0012,0,26146,26146,26146,0,0,1,-11.8401863096,11.8401863096
5773,7840,0.000211,0.001539,0,20335,20335,20335,0,0,1,-11.8401863096,11.8401863096
5214,6542,0.000401,0.004901,0,6424,6424,6424,0,0,1,-11.8401863096,11.8401863096
5214,7840,0.000219,0.00151,0,533,20703,20703,0,0,1,-11.8401863096,11.8401863096
8072,6542,0.000729,0.004539,0,495,6872,6872,0,0,1,-11.8401863096,11.8401863096
8072,2759,0.00062,0.00482,0,495,6500,6500,0,0,1,-11.8401863096,11.8401863096
2971,6069,0.00052,0.00407,0,1481,7699,7699,0,0,1,-11.8401863096,11.8401863096
2971,3445,0.00034,0.00502,0,1843,6278,6278,0,0,1,-11.8401863096,11.8401863096
7561,6069,0.00065,0.00698,0,1711,4506,4506,0,0,1,-11.8401863096,11.8401863096
7561,8825,0.00059,0.00806,0,1678,3909,3909,0,0,1,-11.8401863096,11.8401863096
6748,8864,0.00063,0.00464,0,495,6746,6746,0,0,1,-11.8401863096,11.8401863096
6748,5078,0.000599,0.005099,0,533,6153,6153,0,0,1,-11.8401863096,11.8401863096
4956,4785,0.00064,0.00307,0,10073,10073,10073,0,0,1,-11.8401863096,11.8401863096
4956,7667,0.000659,0.003,0,10284,10284,10284,0,0,1,-11.8401863096,11.8401863096
8619,6775,0.00053,0.00528,0,1086,5953,5953,0,0,1,-11.8401863096,11.8401863096
8619,8195,0.00056,0.0053,0,1283,5927,5927,0,0,1,-11.8401863096,11.8401863096
3107,4785,0.0018,0.007919,0,3890,3890,3890,0,0,1,-11.8401863096,11.8401863096
3107,7154,0.001651,0.00862,0,3600,3600,3600,0,0,1,-11.8401863096,11.8401863096
5437,6775,0.00045,0.00545,0,1382,5777,5777,0,0,1,-11.8401863096,11.8401863096
5437,905,0.00052,0.00476,0,1547,6597,6597,0,0,1,-11.8401863096,11.8401863096
2282,6876,0.01286,0.037421,0,799,799,799,0,0,1,-11.8401863096,11.8401863096
2282,5654,0.032397,0.123,0,249,249,249,0,0,1,-11.8401863096,11.8401863096
