fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax
39875,43708,0.049795,0.15047,0.0025,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39876,44106,0.00473964,0.05506,0.02232,397,397,397,0,0,1,-10.5618306325,10.5618306325
39877,43705,0.0137014,0.04906,0.00101,88.75,88.75,88.75,0,0,1,-10.5618306325,10.5618306325
39878,75668,0.00311321,0.04574,0.08857,660,660,660,0,0,1,-10.5618306325,10.5618306325
39878,76948,0.00239857,0.0199,0.03583,458,458,458,0,0,1,-10.5618306325,10.5618306325
39878,77384,0.0022425,0.01775,0.03535,458,458,458,0,0,1,-10.5618306325,10.5618306325
39879,43441,0.000993929,0.01159,0.00426,384,384,384,0,0,1,-10.5618306325,10.5618306325
39879,76813,0.00547071,0.01653,0.0044,148,148,148,0,0,1,-10.5618306325,10.5618306325
39880,75452,0.00416464,0.01714,0.00971,294,294,294,0,0,1,-10.5618306325,10.5618306325
39880,75520,0.0010925,0.01639,0.00529,434,434,434,0,0,1,-10.5618306325,10.5618306325
39881,43384,0.168861,0.47758,0.0091,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39881,43385,0.152334,0.43077,0.00821,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39882,43874,0.04002,0.11537,0.00211,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39882,43875,0.00699036,0.03807,0.00078,115,115,115,0,0,1,-10.5618306325,10.5618306325
39882,43877,0.0138246,0.06475,0.00111,100,100,100,0,0,1,-10.5618306325,10.5618306325
39883,43292,0.0718257,0.203,0.00387,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39883,43294,0.0895111,0.25811,0.00472,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39883,43398,0.176246,0.53302,0.00887,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39883,43554,0.131174,0.40161,0.00651,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39884,43409,0.0218993,0.10372,0.00173,100,100,100,0,0,1,-10.5618306325,10.5618306325
39884,43412,0.025415,0.07679,0.00128,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39884,43414,0.0300561,0.08493,0.00162,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39885,43761,0.194481,0.60279,0.00954,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39885,43901,0.0262036,0.09035,0.00115,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39885,43904,0.0578614,0.17708,0.00287,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39885,43988,0.114786,0.39191,0.00509,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39886,43390,0.0985796,0.3053,0.00483,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39886,43391,0.0671107,0.21594,0.00316,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39886,43394,0.0585432,0.18126,0.00287,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39886,43937,0.0790132,0.24467,0.00387,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39887,43562,0.0255054,0.07352,0.00134,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39887,44076,0.0810832,0.25378,0.00393,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39887,44077,0.0791118,0.2281,0.00417,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39888,43600,0.211025,0.58352,0.01166,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39888,43738,0.120118,0.36774,0.00596,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39889,43565,0.156991,0.40835,0.00923,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39889,43567,0.0918029,0.27363,0.00468,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39889,44015,0.0530479,0.1603,0.00266,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39889,44016,0.0825371,0.25559,0.00404,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39890,43755,0.00491214,0.04079,0.07351,458,458,458,0,0,1,-10.5618306325,10.5618306325
39890,76797,0.00680964,0.0852,0.16798,592,592,592,0,0,1,-10.5618306325,10.5618306325
39890,76953,0.00607036,0.05091,0.08997,458,458,458,0,0,1,-10.5618306325,10.5618306325
39891,42755,0.00161821,0.00589,0.00133,160,160,160,0,0,1,-10.5618306325,10.5618306325
39891,77043,0.0001725,0.00326,0.00221,813,813,813,0,0,1,-10.5618306325,10.5618306325
39892,43836,0.0240104,0.07433,0.00118,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39892,43851,0.00280929,0.00793,0.00015,86.25,86.25,86.25,0,0,1,-10.5618306325,10.5618306325
39892,43852,0.0106868,0.03647,0.00047,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
39893,41961,0.0108839,0.03288,0.00055,73.75,73.75,73.75,0,0,1,-10.5618306325,10.5618306325
