bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,0,0,0,-100,1,1,0,345,9,1.06,0.94
2,1,0,0,0,0,1,1,0,345,9,1.06,0.94
3,1,406.37,96.9,0,0,1,1,0,161,12,1.06,0.94
4,1,0,0,0,0,1,1,0,345,3,1.06,0.94
5,1,0,0,0,-50,1,1,0,345,8,1.06,0.94
6,2,0,0,0,0,1,1,0,22,9,1.06,0.94
7,1,0,0,0,0,1,1,0,345,9,1.06,0.94
8,1,398,0,0,0,1,1,0,115,12,1.06,0.94
9,1,0,0,0,0,1,1,0,345,8,1.06,0.94
10,1,226,0,0,0,1,1,0,230,12,1.06,0.94
11,1,0,0,0,0,1,1,0,230,10,1.06,0.94
12,1,193,0,0,0,1,1,0,115,12,1.06,0.94
13,1,204,0,0,0,1,1,0,345,12,1.06,0.94
14,1,381,0,0,0,1,1,0,161,12,1.06,0.94
15,1,-80,0,0,0,1,1,0,230,12,1.06,0.94
16,1,-54.2,0,0,0,1,1,0,161,12,1.06,0.94
17,1,-116.5,0,0,0,1,1,0,161,12,1.06,0.94
18,1,37.78,11.67,0,0,1,1,0,161,6,1.06,0.94
19,1,64.4,0,0,0,1,1,0,161,12,1.06,0.94
20,1,41.63,12.5,0,0,1,1,0,69,10,1.06,0.94
21,1,-69.8,0,0,0,1,1,0,161,12,1.06,0.94
22,1,19.1,5.27,0,0,1,1,0,161,6,1.06,0.94
23,1,63.5,0,0,0,1,1,0,161,12,1.06,0.94
24,1,0,0,0,0,1,1,0,161,6,1.06,0.94
25,1,0,0,0,-50,1,1,0,345,6,1.06,0.94
26,1,0,0,0,-50,1,1,0,345,1,1.06,0.94
27,1,355.85,57.9,0,0,1,1,0,345,12,1.06,0.94
28,1,42.25,13.17,0,0,1,1,0,161,6,1.06,0.94
29,1,31.09,9.03,0,0,1,1,0,161,6,1.06,0.94
30,1,111.15,32.52,0,15,1,1,0,161,6,1.06,0.94
31,1,72.5,0,0,0,1,1,0,161,12,1.06,0.94
32,1,57.88,15.06,0,20,1,1,0,161,6,1.06,0.94
33,1,49.61,15.06,0,20,1,1,0,161,6,1.06,0.94
34,1,15.57,5.25,0,3.2,1,1,0,161,1,1.06,0.94
35,1,59.83,14.63,0,5,1,1,0,161,1,1.06,0.94
36,1,35.1,8.68,0,3,1,1,0,161,2,1.06,0.94
37,1,0,0,0,0,1,1,0,345,11,1.06,0.94
38,1,16.21,4.08,0,1.5,1,1,0,161,2,1.06,0.94
39,1,0,0,0,0,1,1,0,345,6,1.06,0.94
40,1,58.08,17.6,0,0,1,1,0,161,1,1.06,0.94
41,1,43.05,12.8,0,0,1,1,0,161,1,1.06,0.94
42,1,0,0,0,0,1,1,0,345,2,1.06,0.94
43,1,41.5,0,0,0,1,1,0,161,12,1.06,0.94
44,1,17.92,3.71,0,0,1,1,0,161,2,1.06,0.94
45,1,21.99,5.41,0,1.9,1,1,0,161,2,1.06,0.94
46,1,71.73,22.3,0,26.2,1,1,0,161,10,1.06,0.94
47,1,5.29,1.56,0,0,1,1,0,161,2,1.06,0.94
48,1,37.08,22.86,0,0,1,1,0,161,10,1.06,0.94
49,1,7.49,1.78,0,0,1,1,0,161,2,1.06,0.94
50,1,99.7,0,0,0,1,1,0,161,12,1.06,0.94
51,1,0,0,0,0,1,1,0,161,3,1.06,0.94
52,1,239.65,42.8,0,0,1,1,0,161,3,1.06,0.94
53,1,0,0,0,0,1,1,0,161,10,1.06,0.94
54,1,77.25,29.57,0,0,1,1,0,161,10,1.06,0.94
55,1,0,0,0,0,1,1,0,161,1,1.06,0.94
56,1,27.78,7.26,0,3.2,1,1,0,161,7,1.06,0.94
57,1,53.25,15.61,0,0,1,1,0,161,1,1.06,0.94
58,1,0,0,0,0,1,1,0,230,10,1.06,0.94
59,1,92.73,27.05,0,0,1,1,0,230,10,1.06,0.94
60,1,244,0,0,0,1,1,0,115,12,1.06,0.94
61,1,0,0,0,0,1,1,0,230,10,1.06,0.94
62,1,-865.6,0,0,0,1,1,0,230,12,1.06,0.94
63,1,59.1,0,0,0,1,1,0,230,12,1.06,0.94
64,1,0,0,0,0,1,1,0,345,10,1.06,0.94
65,1,-26.3,0,0,0,1,1,0,345,12,1.06,0.94
66,1,0,0,0,-50,1,1,0,345,10,1.06,0.94
67,1,24.76,7.03,0,6,1,1,0,161,7,1.06,0.94
68,1,44.39,12.68,0,12,1,1,0,161,7,1.06,0.94
69,1,0,0,0,0,1,1,0,161,1,1.06,0.94
70,1,0,0,0,0,1,1,0,161,1,1.06,0.94
71,1,32.81,11.93,0,12,1,1,0,161,1,1.06,0.94
72,1,427,0,0,0,1,1,0,161,12,1.06,0.94
73,2,0,0,0,0,1,1,0,20,1,1.06,0.94
74,1,0,0,0,0,1,1,0,345,5,1.06,0.94
75,1,0,0,0,-50,1,1,0,345,8,1.06,0.94
76,2,0,0,0,0,1,1,0,24,1,1.06,0.94
