bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
4,826.2625,0,750,-750,1.003,1600,1,1500,152.525,0,0,0,0,0,0,0,0,0,0,1683.1216
6,676.27,0,619,-619,1.003,2100,1,1237,115.54,0,0,0,0,0,0,0,0,0,0,1938.1774
9,801.335,50.985,701.97,-600,1.003,4300,1,1199,403.67,0,0,0,0,0,0,0,0,0,0,4498.2554
11,910.065,-17.94,899.03,-934.91,1.003,4100,1,1396,424.13,0,0,0,0,0,0,0,0,0,0,3956.9636
13,771.5275,32.605,697.21,-632,1.003,3400,1,1264,279.055,0,0,0,0,0,0,0,0,0,0,3299.9353
15,1794.33,1.14,1405.28,-1403,1.003,5300,1,2806,782.66,0,0,0,0,0,0,0,0,0,0,5393.5254
18,535.1025,0,401,-401,1.003,2000,1,802,268.205,0,0,0,0,0,0,0,0,0,0,2074.4534
30,4307.6925,11.185,4070.83,-4048.46,1.003,8900,1,7101,1514.385,0,0,0,0,0,0,0,0,0,0,9757.0576
35,2666.82,1136.34,5544.98,-3272.3,1.003,9000,1,4609,724.64,0,0,0,0,0,0,0,0,0,0,8718.1563
36,845.7625,30.46,652.92,-592,1.003,3300,1,1184,507.525,0,0,0,0,0,0,0,0,0,0,3493.625
40,389.7125,0,385,-385,1.003,400,1,769,10.425,0,0,0,0,0,0,0,0,0,0,362.5961
43,515.7325,0,484,-484,1.003,650,1,968,63.465,0,0,0,0,0,0,0,0,0,0,673.957
45,1582.7125,0,1460,-1460,1.003,3600,1,2919,246.425,0,0,0,0,0,0,0,0,0,0,3528.4009
47,108.755,0.69,100.88,-99.5,1.003,220,1,182,35.51,0,0,0,0,0,0,0,0,0,0,233.6808
65,1257.9275,198.28,1553.56,-1157,1.003,5800,1,2313,202.855,0,0,0,0,0,0,0,0,0,0,5459.918
70,144.5525,-79.99,642.85,-802.83,1.003,2600,1,238,51.105,0,0,0,0,0,0,0,0,0,0,2377.3799
77,4464.77,0,3722.4,-3722.4,1.003,10400,1,7109,1820.54,0,0,0,0,0,0,0,0,0,0,11165.0508
79,6756.5525,0,6132,-6132,1.003,20000,1,12263,1250.105,0,0,0,0,0,0,0,0,0,0,18208.2246
103,1386.795,0,1358,-1358,1.003,1500,1,2716,57.59,0,0,0,0,0,0,0,0,0,0,1359.8911
112,795.78,0,694,-694,1.003,2100,1,1387,204.56,0,0,0,0,0,0,0,0,0,0,2247.1069
116,931.04,0,853,-853,1.003,1200,1,1706,156.08,0,0,0,0,0,0,0,0,0,0,1298.6926
118,3722.0375,0,4351.2,-4351.2,1.003,6900,1,6655,789.075,0,0,0,0,0,0,0,0,0,0,7386.77
138,730.6425,0,653,-653,1.003,2000,1,1305,156.285,0,0,0,0,0,0,0,0,0,0,2043.6079
140,2846.0725,0,2648,-2648,1.003,6400,1,5295,397.145,0,0,0,0,0,0,0,0,0,0,6145.2231
144,3097.5825,0,2948,-2948,1.003,3400,1,5896,299.165,0,0,0,0,0,0,0,0,0,0,3135.1221
148,778.4825,68.775,746.55,-609,1.003,3400,1,1217,339.965,0,0,0,0,0,0,0,0,0,0,3402.5374
149,1733.6925,0,1502,-1502,1.003,4400,1,3003,464.385,0,0,0,0,0,0,0,0,0,0,4251.854
159,873.28,697.35,10604.58,-9209.88,1.003,3300,1,1274,472.56,0,0,0,0,0,0,0,0,0,0,3483.0479
162,322.8975,-587.665,9359.49,-10534.82,1.003,900,1,564,81.795,0,0,0,0,0,0,0,0,0,0,839.6633
