bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,0,0,0,0,1,1,0,115,2,1.1,0.9
2,1,12.3,2.1,0,0,1,1,0,115,2,1.1,0.9
3,1,0,0,0,0,1,1,0,115,4,1.1,0.9
4,1,2.83,0.48,0,0,1,1,0,115,4,1.1,0.9
5,1,0,0,0,0,1,1,0,115,6,1.1,0.9
6,1,13.23,2.26,0,0,1,1,0,115,6,1.1,0.9
7,1,0,0,0,0,1,1,0,115,2,1.1,0.9
8,1,39.52,6.77,0,0,1,1,0,115,2,1.1,0.9
9,1,0,0,0,0,1,1,0,115,2,1.1,0.9
10,1,71.04,12.16,0,0,1,1,0,115,2,1.1,0.9
11,1,0,0,0,0,1,1,0,115,4,1.1,0.9
12,1,0.5,0.09,0,0,1,1,0,115,4,1.1,0.9
13,1,4.19,0.72,0,0,1,1,0,115,4,1.1,0.9
14,1,0,0,0,0,1,1,0,230,4,1.1,0.9
15,1,0,0,0,30,1,1,0,115,4,1.1,0.9
16,1,74.51,12.76,0,0,1,1,0,115,4,1.1,0.9
17,1,0,0,0,0,1,1,0,115,4,1.1,0.9
18,1,1.18,0.2,0,0,1,1,0,115,4,1.1,0.9
19,1,1.28,0.22,0,0,1,1,0,115,4,1.1,0.9
20,1,1.88,0.32,0,0,1,1,0,115,4,1.1,0.9
21,1,7.67,1.31,0,0,1,1,0,115,4,1.1,0.9
22,1,0,0,0,0,1,1,0,115,4,1.1,0.9
23,1,2.35,0.4,0,0,1,1,0,115,4,1.1,0.9
24,1,3.99,0.68,0,0,1,1,0,115,4,1.1,0.9
25,1,0,0,0,0,1,1,0,115,6,1.1,0.9
26,1,2.25,0.39,0,0,1,1,0,115,6,1.1,0.9
27,1,0,0,0,0,1,1,0,115,4,1.1,0.9
28,1,3.88,0.67,0,0,1,1,0,115,4,1.1,0.9
29,1,0,0,0,0,1,1,0,115,2,1.1,0.9
30,1,98.36,16.84,0,0,1,1,0,115,2,1.1,0.9
31,1,0,0,0,0,1,1,0,115,7,1.1,0.9
32,1,0.85,0.15,0,0,1,1,0,115,7,1.1,0.9
33,1,10.72,1.84,0,0,1,1,0,115,7,1.1,0.9
34,1,0,0,0,0,1,1,0,115,4,1.1,0.9
35,1,34.56,5.92,0,0,1,1,0,115,4,1.1,0.9
36,1,0,0,0,0,1,1,0,115,7,1.1,0.9
37,1,5.94,1.02,0,0,1,1,0,115,7,1.1,0.9
38,1,49.62,8.5,0,0,1,1,0,115,7,1.1,0.9
39,1,12.33,2.11,0,0,1,1,0,115,4,1.1,0.9
40,1,3.4,0.58,0,0,1,1,0,115,4,1.1,0.9
41,1,63.82,10.93,0,0,1,1,0,115,5,1.1,0.9
42,1,17.68,3.03,0,0,1,1,0,115,4,1.1,0.9
43,1,3.48,0.59,0,0,1,1,0,115,2,1.1,0.9
44,1,6.91,1.18,0,0,1,1,0,115,4,1.1,0.9
