bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
49,11.84,0,12,-12,1,5.44,1,23,0.68
50,9.34,0,9,-9,1,5.44,1,18,0.68
51,13.34,0,13,-13,1,5.44,1,26,0.68
52,14.84,0,15,-15,1,5.44,1,29,0.68
53,16.68,0,16,-16,1,10.88,1,32,1.36
65,239.125,0,218,-218,1,180.48,1,435,43.25
67,11.8525,0,12,-12,1,5.64,1,23,0.705
68,66.595,0,65,-65,1,33.5,1,129,4.19
69,32.595,0,31,-31,1,33.5,1,61,4.19
70,19.595,0,18,-18,1,33.5,1,35,4.19
71,34.595,0,33,-33,1,33.5,1,65,4.19
72,75.595,0,74,-74,1,33.5,1,147,4.19
73,42.595,0,41,-41,1,33.5,1,81,4.19
76,21.8,0,22,-22,1,4.8,1,43,0.6
77,4.18,0,4,-4,1,2.88,1,8,0.36
78,0,0,23,-23,1,21.6,0,45,2.7
79,0,0,9.16,-6,1,21.6,0,12,2.7
90,7.24,0,7,-7,1,3.84,1,14,0.48
91,8.875,0,9,-9,1,6,1,17,0.75
92,0,0,3.21,-3,1,7.56,0,5,0.945
94,37.85,0,37,-37,1,21.6,1,73,2.7
104,86.9,0,70,-70,1,118.8,1,140,33.8
105,142.7,0,104,-104,1,237.6,1,208,77.4
114,8.35,0,8,-8,1,2.04,1,16,0.7
115,140.375,0,107,-107,1,180,1,214,66.75
125,95.255,0,86,-86,1,156.06,1,171,19.51
126,119.755,0,110,-110,1,156.06,1,220,19.51
127,102.755,0,93,-93,1,156.06,1,186,19.51
135,270.98,0,238,-238,1,535.68,1,475,66.96
136,283.98,0,251,-251,1,535.68,1,501,66.96
147,155.1,0,132,-132,1,120.6,1,264,46.2
151,8.905,0,9,-9,1,6.48,1,17,0.81
152,51.2925,0,46,-46,1,92.67,1,91,11.585
153,120.2925,0,115,-115,1,92.67,1,229,11.585
154,74.7925,0,69,-69,1,92.67,1,138,11.585
155,93.2925,0,88,-88,1,92.67,1,175,11.585
161,0,0,107,-107,1,166.32,0,213,20.79
164,0,0,19,-19,1,14.4,0,37,1.8
165,0,0,53,-53,1,31.2,0,105,3.9
166,0,0,269,-269,1,11.28,0,537,1.41
167,23.705,0,23,-23,1,11.28,1,46,1.41
168,0,0,34,-34,1,11.28,0,68,1.41
169,0,0,32,-32,1,11.28,0,64,1.41
170,8.705,0,8,-8,1,11.28,1,16,1.41
182,70.8125,0,70,-70,1,21,1,139,2.625
183,51.995,0,50,-50,1,31.92,1,100,3.99
189,927.6875,0,885,-885,1,682.98,1,1770,85.375
196,0,0,34.36,-17,1,81,0,34,10.125
197,0,0,119,-119,1,81,0,238,10.125
