bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,0,0,0,0,1,1.03,0,220,1,1.11,0.95
2,1,0,0,0,0,1,1.03,0,220,1,1.11,0.95
3,1,0,0,0,0,1,1.03,0,220,1,1.11,0.95
4,1,0,0,0,0,1,1.03,0,220,1,1.11,0.95
5,1,0,0,0,0,1,1.03,0,220,1,1.11,0.95
6,1,0,0,0,0,1,1,0,400,1,1.05,0.95
7,1,0,0,0,0,1,1.03,0,220,1,1.11,0.95
8,1,0,0,0,0,1,1,0,400,1,1.05,0.95
9,1,0,0,0,0,1,1,0,400,1,1.05,0.95
10,2,12.75,9,0,0,1,1.03,0,220,1,1.11,0.95
11,1,0,0,0,0,1,1.03,0,220,1,1.11,0.95
12,1,0,0,0,0,1,1.03,0,220,1,1.11,0.95
13,1,0,0,0,0,1,1.03,0,220,1,1.11,0.95
14,1,0,0,0,0,1,1.03,0,220,1,1.11,0.95
15,1,0,0,0,0,1,1,0,400,1,1.05,0.95
16,2,57.22,100,0,0,1,1.03,0,220,1,1.11,0.95
17,2,80.28,150,0,0,1,1.03,0,220,1,1.11,0.95
18,3,159.52,350,0,0,1,1,0,400,1,1.05,0.95
19,1,0,0,0,0,1,1.03,0,220,1,1.11,0.95
20,1,0,0,0,0,1,1,0,400,1,1.05,0.95
21,1,0,0,0,0,1,1.03,0,220,1,1.11,0.95
22,1,0,0,0,0,1,1.03,0,220,1,1.11,0.95
23,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
24,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
25,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
26,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
27,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
28,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
29,2,27.09,60,0,0,1,1.03,0,220,2,1.11,0.95
30,2,27.09,60,0,0,1,1.03,0,220,2,1.11,0.95
31,2,21.87,50,0,0,1,1,0,400,2,1.05,0.95
32,1,0,0,0,0,1,1,0,400,2,1.05,0.95
33,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
34,1,0,0,0,0,1,1,0,400,2,1.05,0.95
35,1,0,0,0,0,1,1,0,400,2,1.05,0.95
36,1,0,0,0,0,1,1,0,400,2,1.05,0.95
37,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
38,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
39,1,0,0,0,0,1,1,0,400,2,1.05,0.95
40,1,0,0,0,0,1,1,0,400,2,1.05,0.95
41,2,12.5,30,0,0,1,1.03,0,220,2,1.11,0.95
42,2,12.5,30,0,0,1,1.03,0,220,2,1.11,0.95
43,2,25,60,0,0,1,1,0,400,2,1.05,0.95
44,2,25,60,0,0,1,1,0,400,2,1.05,0.95
45,2,166.65,75,0,0,1,1.03,0,220,2,1.11,0.95
46,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
47,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
48,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
49,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
50,1,0,0,0,0,1,1,0,400,2,1.05,0.95
51,1,0,0,0,0,1,1,0,400,2,1.05,0.95
52,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
53,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
54,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
55,1,0,0,0,0,1,1.03,0,220,2,1.11,0.95
56,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
57,1,23.96,10.96,0,0,1,1.03,0,220,3,1.11,0.95
58,1,22.92,5.79,0,0,1,1.03,0,220,3,1.11,0.95
59,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
60,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
61,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
62,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
63,2,38.96,52.69,0,0,1,1.03,0,220,3,1.11,0.95
64,2,36.88,55.32,0,0,1,1.03,0,220,3,1.11,0.95
65,1,13.96,2.02,0,0,1,1.03,0,220,3,1.11,0.95
66,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
67,2,62.97,92.1,0,0,1,1,0,400,3,1.05,0.95
68,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
69,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
70,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
71,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
72,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
73,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
74,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
75,1,0,0,0,0,1,1,0,400,3,1.05,0.95
76,1,0,0,0,0,1,1,0,400,3,1.05,0.95
77,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
78,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
79,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
80,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
81,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
82,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
83,2,16.67,22.97,0,0,1,1.03,0,220,3,1.11,0.95
84,2,16.46,22.27,0,0,1,1.03,0,220,3,1.11,0.95
85,2,10.42,17.01,0,0,1,1.03,0,220,3,1.11,0.95
86,2,10.42,16.66,0,0,1,1.03,0,220,3,1.11,0.95
87,1,11.56,16.22,0,0,1,1.03,0,220,3,1.11,0.95
88,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
89,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
90,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
91,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
92,1,0,0,0,0,1,1,0,400,3,1.05,0.95
93,2,10.42,16.39,0,0,1,1.03,0,220,3,1.11,0.95
94,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
95,2,7.18,8.15,0,0,1,1.03,0,220,3,1.11,0.95
96,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
97,2,9.06,5.26,0,0,1,1.03,0,220,3,1.11,0.95
98,1,0,0,0,0,1,1,0,400,3,1.05,0.95
99,1,0,0,0,0,1,1,0,400,3,1.05,0.95
100,1,0,0,0,0,1,1,0,400,3,1.05,0.95
101,1,0,0,0,0,1,1,0,400,3,1.05,0.95
102,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
103,2,18.86,23.76,0,0,1,1.03,0,220,3,1.11,0.95
104,2,35.12,46.11,0,0,1,1.03,0,220,3,1.11,0.95
105,2,35.22,62.95,0,0,1,1,0,400,3,1.05,0.95
106,1,0,0,0,0,1,1,0,400,3,1.05,0.95
107,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
108,1,0,0,0,0,1,1.03,0,220,3,1.11,0.95
109,2,1.04,22.36,0,0,1,1.03,0,220,3,1.11,0.95
110,2,1.04,22.18,0,0,1,1.03,0,220,3,1.11,0.95
111,2,27.62,18,0,0,1,1.03,0,220,4,1.11,0.95
112,1,0,0,0,0,1,1.03,0,220,4,1.11,0.95
113,1,0,0,0,0,1,1.03,0,220,4,1.11,0.95
114,1,0,0,0,0,1,1.03,0,220,4,1.11,0.95
115,1,0,0,0,0,1,1,0,400,4,1.05,0.95
116,1,0,0,0,0,1,1,0,400,4,1.05,0.95
117,1,0,0,0,0,1,1.03,0,220,4,1.11,0.95
118,1,0,0,0,0,1,1.03,0,220,4,1.11,0.95
119,1,0,0,0,0,1,1.03,0,220,4,1.11,0.95
120,1,0,0,0,0,1,1.03,0,220,4,1.11,0.95
121,1,0,0,0,0,1,1.03,0,220,4,1.11,0.95
122,1,0,0,0,0,1,1.03,0,220,4,1.11,0.95
123,2,5.73,7,0,0,1,1.03,0,220,4,1.11,0.95
124,2,9.16,17,0,0,1,1.03,0,220,4,1.11,0.95
