bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1001,1,0,0,0,0,10,1,0,500,1,1.1,0.9
1002,1,226.84,-37.47,0,0,10,1,0,345,1,1.1,0.9
1003,1,2825.79,366.86,0,0,10,1,0,230,1,1.1,0.9
1004,1,1362.09,5.52,0,0,10,1,0,345,1,1.1,0.9
1032,2,0,0,0,0,10,1,0,20,1,1.1,0.9
1034,2,0,0,0,0,10,1,0,20,1,1.1,0.9
1101,1,4527.37,-137.04,0,0,10,1,0,500,1,1.1,0.9
1102,1,231.55,23,0,0,10,1,0,345,1,1.1,0.9
1131,2,0,0,0,0,10,1,0,20,1,1.1,0.9
1201,1,166.99,-2.01,0,0,10,1,0,500,1,1.1,0.9
1202,1,1149.06,287.13,0,0,10,1,0,500,1,1.1,0.9
1232,2,0,0,0,0,10,1,0,20,1,1.1,0.9
1301,1,3549.46,352.83,0,0,10,1,0,500,1,1.1,0.9
1302,1,23.04,2.3,0,0,10,1,0,500,1,1.1,0.9
1303,1,8182.33,813.35,0,0,10,1,0,345,1,1.1,0.9
1331,2,0,0,0,0,10,1,0,20,1,1.1,0.9
1333,2,0,0,0,0,10,1,0,20,1,1.1,0.9
1401,1,8576.54,1524.59,0,0,10,1,0,500,1,1.1,0.9
1402,1,5366.63,-600.16,0,0,10,1,0,500,1,1.1,0.9
1403,1,0,0,0,0,10,1,0,230,1,1.1,0.9
1431,2,0,0,0,0,10,1,0,20,1,1.1,0.9
2000,1,2896.48,287.92,0,0,20,1,0,230,1,1.1,0.9
2030,2,0,0,0,0,20,1,0,20,1,1.1,0.9
2100,1,368.95,54.83,0,0,21,1,0,230,1,1.1,0.9
2130,2,0,0,0,0,21,1,0,20,1,1.1,0.9
2201,1,0,0,0,0,22,1,0,500,1,1.1,0.9
2202,1,2028.74,268.56,0,0,22,1,0,230,1,1.1,0.9
2203,1,2242.12,278.27,0,0,22,1,0,230,1,1.1,0.9
2233,2,0,0,0,0,22,1,0,20,1,1.1,0.9
2301,1,0,0,0,0,22,1,0,500,1,1.1,0.9
2302,1,0,0,0,0,22,1,0,230,1,1.1,0.9
2332,2,0,0,0,0,22,1,0,20,1,1.1,0.9
2400,1,1106.65,76.66,0,0,24,1,0,500,1,1.1,0.9
2401,1,1157.92,105.21,0,0,24,1,0,500,1,1.1,0.9
2402,1,1417.3,81.98,0,0,24,1,0,500,1,1.1,0.9
2403,1,1377.91,38.54,0,0,24,1,0,500,1,1.1,0.9
2404,1,0,0,0,0,24,1,0,500,1,1.1,0.9
2405,1,1082.23,22.9,0,0,24,1,0,230,1,1.1,0.9
2406,1,737.4,-40.75,0,0,24,1,0,230,1,1.1,0.9
2407,1,1732.77,-36.53,0,0,24,1,0,230,1,1.1,0.9
2408,1,1743.28,-72.62,0,0,24,1,0,230,1,1.1,0.9
2409,1,1601.78,-86.7,0,0,24,1,0,230,1,1.1,0.9
2410,1,2069.21,58.18,0,0,24,1,0,230,1,1.1,0.9
2411,1,1427.28,75.95,0,0,24,1,0,230,1,1.1,0.9
2438,2,0,0,0,0,24,1,0,20,1,1.1,0.9
2501,1,0,0,0,0,25,1,0,500,1,1.1,0.9
2502,1,2369.15,-91.91,0,0,25,1,0,230,1,1.1,0.9
2503,1,2422.4,201.99,0,0,25,1,0,230,1,1.1,0.9
2533,2,0,0,0,0,25,1,0,20,1,1.1,0.9
2600,1,-1863.9,0,0,0,90,1,0,500,1,1.1,0.9
2601,1,0,0,0,0,26,1,0,500,1,1.1,0.9
2602,1,130.28,12.96,0,0,26,1,0,500,1,1.1,0.9
2603,1,0,0,0,0,26,1,0,500,1,1.1,0.9
2604,1,2050.78,0,0,0,90,1,0,345,1,1.1,0.9
2605,1,0,0,0,0,26,1,0,287,1,1.1,0.9
2606,1,0,0,0,0,26,1,0,287,1,1.1,0.9
2607,1,0,0,0,0,26,1,0,287,1,1.1,0.9
2608,1,130.28,12.96,0,0,26,1,0,230,1,1.1,0.9
2609,1,175.88,26.8,0,0,26,1,0,230,1,1.1,0.9
2610,1,130.28,12.96,0,0,26,1,0,230,1,1.1,0.9
2611,1,130.28,12.96,0,0,26,1,0,230,1,1.1,0.9
2612,1,157.64,24.82,0,0,26,1,0,230,1,1.1,0.9
2613,1,416.91,64.53,0,0,26,1,0,230,1,1.1,0.9
2614,1,179.79,27.8,0,0,26,1,0,230,1,1.1,0.9
2615,1,1052.43,131.15,0,0,26,1,0,230,1,1.1,0.9
2616,1,152.43,23.83,0,0,26,1,0,230,1,1.1,0.9
2617,1,157.64,24.82,0,0,26,1,0,230,1,1.1,0.9
2618,1,881.3,-6.16,0,0,26,1,0,230,1,1.1,0.9
2619,1,-2773.83,0,0,0,90,1,0,230,1,1.1,0.9
2620,1,267.34,17.47,0,0,26,1,0,230,1,1.1,0.9
2621,1,235.49,-62.74,0,0,26,1,0,138,1,1.1,0.9
2630,2,0,0,0,0,26,1,0,20,1,1.1,0.9
2631,2,0,0,0,0,26,1,0,20,1,1.1,0.9
2634,2,0,0,0,0,90,1,0,20,1,1.1,0.9
2637,2,0,0,0,0,26,1,0,20,1,1.1,0.9
2638,2,0,0,0,0,26,1,0,20,1,1.1,0.9
2901,1,0,0,0,0,24,1,0,500,1,1.1,0.9
2902,1,0,0,0,0,24,1,0,500,1,1.1,0.9
3101,1,447.89,52.83,0,0,31,1,0,230,1,1.1,0.9
3102,1,209.26,24.93,0,0,31,1,0,230,1,1.1,0.9
3103,1,550.65,59.78,0,0,32,1,0,230,1,1.1,0.9
3104,1,406.77,40.13,0,0,31,1,0,115,1,1.1,0.9
3105,1,314.03,49.09,0,0,31,1,0,115,1,1.1,0.9
3133,2,0,0,0,0,32,1,0,20,1,1.1,0.9
3135,2,0,0,0,0,31,1,0,20,1,1.1,0.9
3201,1,606.91,97.85,0,0,32,1,0,230,1,1.1,0.9
3202,1,769.24,83.47,0,0,32,1,0,230,1,1.1,0.9
3203,1,862.31,158.48,0,0,32,1,0,230,1,1.1,0.9
3204,1,877.65,95.31,0,0,32,1,0,230,1,1.1,0.9
3205,1,716.59,77.78,0,0,32,1,0,230,1,1.1,0.9
3234,2,0,0,0,0,32,1,0,20,1,1.1,0.9
3301,1,0,0,0,0,32,1,0,500,1,1.1,0.9
3302,1,453.17,85.79,0,0,32,1,0,230,1,1.1,0.9
3303,1,820.72,150.72,0,0,32,1,0,230,1,1.1,0.9
3304,1,700.09,122.62,0,0,32,1,0,230,1,1.1,0.9
3305,1,564.71,61.22,0,0,32,1,0,230,1,1.1,0.9
3333,2,0,0,0,0,32,1,0,20,1,1.1,0.9
3401,1,731.88,135.91,0,0,34,1,0,230,1,1.1,0.9
3402,1,0,0,0,0,34,1,0,230,1,1.1,0.9
3403,1,677.1,73.58,0,0,34,1,0,230,1,1.1,0.9
3404,1,575.39,62.08,0,0,34,1,0,230,1,1.1,0.9
3405,1,589.09,63.72,0,0,34,1,0,230,1,1.1,0.9
3432,2,0,0,0,0,34,1,0,20,1,1.1,0.9
3433,2,0,0,0,0,34,1,0,20,1,1.1,0.9
3501,1,820.2,89.02,0,0,35,1,0,230,1,1.1,0.9
3531,2,0,0,0,0,35,1,0,20,1,1.1,0.9
3601,1,137.6,14.84,0,0,36,1,0,115,1,1.1,0.9
3631,2,0,0,0,0,36,1,0,20,1,1.1,0.9
3701,1,416.06,15.85,0,0,37,1,0,115,1,1.1,0.9
3731,2,0,0,0,0,37,1,0,20,1,1.1,0.9
3801,1,250.94,47.41,0,0,38,1,0,500,1,1.1,0.9
3802,1,0,0,0,0,38,1,0,500,1,1.1,0.9
3803,1,0,0,0,0,38,1,0,500,1,1.1,0.9
3804,1,293.48,55.32,0,0,38,1,0,230,1,1.1,0.9
3805,1,655.34,163.11,0,0,38,1,0,230,1,1.1,0.9
3806,1,380.02,41.37,0,0,38,1,0,230,1,1.1,0.9
3831,2,0,0,0,0,38,1,0,20,1,1.1,0.9
3835,2,0,0,0,0,38,1,0,20,1,1.1,0.9
3836,2,0,0,0,0,38,1,0,20,1,1.1,0.9
3891,1,0,0,0,0,38,1,0,500,1,1.1,0.9
3892,1,0,0,0,0,38,1,0,500,1,1.1,0.9
3893,1,0,0,0,0,38,1,0,500,1,1.1,0.9
3894,1,0,0,0,0,38,1,0,500,1,1.1,0.9
3895,1,0,0,0,0,38,1,0,500,1,1.1,0.9
3896,1,0,0,0,0,38,1,0,500,1,1.1,0.9
3897,1,0,0,0,0,38,1,0,500,1,1.1,0.9
3901,1,0,0,0,0,39,1,0,500,1,1.1,0.9
3902,1,200.77,38.25,0,0,39,1,0,500,1,1.1,0.9
3903,1,279.84,30.27,0,0,39,1,0,500,1,1.1,0.9
3904,1,0,0,0,0,39,1,0,500,1,1.1,0.9
3905,1,0,0,0,0,39,1,0,500,1,1.1,0.9
3906,1,0,0,0,0,39,1,0,500,1,1.1,0.9
3907,1,605.44,63.07,0,0,39,1,0,230,1,1.1,0.9
3908,1,262.82,24.72,0,0,39,1,0,230,1,1.1,0.9
3909,1,224.35,39.78,0,0,39,1,0,230,1,1.1,0.9
3910,1,317.36,34.44,0,0,39,1,0,230,1,1.1,0.9
3911,1,305.94,47.11,0,0,39,1,0,230,1,1.1,0.9
3912,1,174.5,-0.63,0,0,39,1,0,230,1,1.1,0.9
3913,1,432.46,43.44,0,0,39,1,0,230,1,1.1,0.9
3914,1,298.88,52.55,0,0,39,1,0,230,1,1.1,0.9
3915,1,333.92,53.4,0,0,39,1,0,230,1,1.1,0.9
3916,1,155,0,0,0,39,1,0,230,1,1.1,0.9
3917,1,312.57,43.99,0,0,39,1,0,230,1,1.1,0.9
3918,1,418.99,75.46,0,0,39,1,0,230,1,1.1,0.9
