bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
1032,743.5,0,1030,-1030,1,100,1,1487,0
1032,596,0,596,-596,1,100,1,1192,0
1034,226,0,2294,-2294,1,100,1,452,0
1034,613,0,918,-918,1,100,1,1226,0
1034,701,0,701,-701,1,100,1,1402,0
1131,889.5,0,890,-890,1,100,1,1779,0
1131,889.5,0,1916,-1916,1,100,1,1779,0
1131,926,0,926,-926,1,100,1,1852,0
1232,846,0,1208,-1208,1,100,1,1692,0
1232,696.5,0,697,-697,1,100,1,1393,0
1331,1258,0,1258,-1258,1,100,1,2516,0
1331,1290,0,1290,-1290,1,100,1,2580,0
1333,1348.5,0,1349,-1349,1,100,1,2697,0
1333,1315.5,0,2746,-2746,1,100,1,2631,0
1333,1443.5,0,1444,-1444,1,100,1,2887,0
1431,2405,0,3559,-3559,1,100,1,4810,0
1431,2405,0,2405,-2405,1,100,1,4810,0
1431,2574,0,2574,-2574,1,100,1,5148,0
2030,774.5,0,1070,-1070,1,100,1,1549,0
2030,814,0,814,-814,1,100,1,1628,0
2130,297,0,297,-297,1,100,1,594,0
2130,284,0,284,-284,1,100,1,568,0
2130,275.5,0,276,-276,1,100,1,551,0
2130,438,0,438,-438,1,100,1,876,0
2233,767.5,0,768,-768,1,100,1,1535,0
2233,636.5,0,637,-637,1,100,1,1273,0
2233,636.5,0,637,-637,1,100,1,1273,0
2332,613,0,613,-613,1,100,1,1226,0
2438,467,130.5,728,-467,1,100,1,934,0
2438,526,367,1902,-1168,1,100,1,1052,0
2438,438,624,2301,-1053,1,100,1,876,0
2438,960,0,960,-960,1,100,1,1920,0
2438,426.5,4.5,436,-427,1,100,1,853,0
2438,603,0,603,-603,1,100,1,1206,0
2438,491.5,380,1910,-1150,1,100,1,983,0
2438,-503,0,86.4,-86.4,1,100,1,0,-1006
2533,2414,0,2414,-2414,1,100,1,4828,0
2630,633.5,0,1346,-1346,1,100,1,1267,0
2631,894,0,894,-894,1,100,1,1788,0
2634,2088.5,0,2089,-2089,1,100,1,4177,0
2637,2332.5,0,2333,-2333,1,100,1,4665,0
2638,-445.5,0,191,-191,1,100,1,381,-1272
3133,560,0,560,-560,1,100,1,1120,0
3133,575.5,0,576,-576,1,100,1,1151,0
3135,210,14.5,239,-210,1,100,1,420,0
3135,202.5,0,203,-203,1,100,1,405,0
3234,795,0,795,-795,1,100,1,1590,0
3234,529.5,5,1244,-1234,1,100,1,1059,0
3234,477.5,0,478,-478,1,100,1,955,0
3234,751.5,0,752,-752,1,100,1,1503,0
3333,513.5,0,514,-514,1,100,1,1027,0
3333,446,0,446,-446,1,100,1,892,0
3432,85,0,547,-547,1,100,1,1094,-924
3433,463.5,0,464,-464,1,100,1,927,0
3433,483,188.5,939,-562,1,100,1,966,0
3531,305,202.5,1004,-599,1,100,1,610,0
3531,309.5,0,310,-310,1,100,1,619,0
3531,275.5,0,276,-276,1,100,1,551,0
3631,171.5,0,172,-172,1,100,1,343,0
3631,166.5,0,167,-167,1,100,1,333,0
3731,2030,0,2030,-2030,1,100,1,4060,0
3831,720.5,97.5,1175,-980,1,100,1,1441,0
3835,974.5,0,975,-975,1,100,1,1949,0
3835,-255,0,7.2,-7.2,1,100,1,0,-510
3836,666.5,0,667,-667,1,100,1,1333,0
3931,193.5,0,291.6,-291.6,1,100,1,387,0
3931,464.5,169,1284,-946,1,100,1,929,0
3932,919,115.5,1150,-919,1,100,1,1838,0
3933,547.5,0,548,-548,1,100,1,1095,0
3933,375,0,381.6,-381.6,1,100,1,750,0
3933,848,0,848,-848,1,100,1,1696,0
3933,636,107.5,1256,-1041,1,100,1,1272,0
3933,375,0,381.6,-381.6,1,100,1,750,0
3933,135,0,381.6,-381.6,1,100,1,719,-449
4039,862,0,862,-862,1,100,1,1724,0
4039,626.5,0,1459,-1459,1,100,1,1253,0
4039,550,0,844.8,-844.8,1,100,1,1100,0
4031,1252.5,0,1253,-1253,1,100,1,2505,0
4031,1304.5,0,1305,-1305,1,100,1,2609,0
4031,1252.5,0,1253,-1253,1,100,1,2505,0
4031,1304.5,0,1305,-1305,1,100,1,2609,0
4035,435.5,0,676.8,-676.8,1,100,1,871,0
4035,562.5,0,676.8,-676.8,1,100,1,1125,0
4035,530,0,1836,-1836,1,100,1,1060,0
4035,596.5,0,676.8,-676.8,1,100,1,1193,0
4131,677.5,0,6482,-6482,1,100,1,1355,0
4131,608,0,608,-608,1,100,1,1216,0
4132,134,0,1473,-1473,1,100,1,268,0
4132,513,0,2847,-2847,1,100,1,1026,0
4132,291,0,580,-580,1,100,1,582,0
4132,181.5,0,231,-231,1,100,1,363,0
4132,236.5,0,237,-237,1,100,1,473,0
4231,642,0,728,-728,1,100,1,1284,0
4231,621,0,659,-659,1,100,1,1242,0
4231,613,0,1808,-1808,1,100,1,1226,0
4231,520.5,0,521,-521,1,100,1,1041,0
4232,2744.5,0,2745,-2745,1,100,1,5489,0
4232,2858,0,2858,-2858,1,100,1,5716,0
4232,2858,0,2858,-2858,1,100,1,5716,0
5031,2863,0,2863,-2863,1,100,1,5726,0
5031,2749,0,4399,-4399,1,100,1,5498,0
5032,1474.5,0,2977,-2977,1,100,1,2949,0
5032,1474.5,0,2200,-2200,1,100,1,2949,0
