bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
1,43.5,0,40,-40,1,100,1,79,8
1,109.5,0,106,-106,1,100,1,211,8
1,41.3,0,38,-38,1,100,1,75,7.6
1,42.8,0,39,-39,1,100,1,78,7.6
2,98,0,94,-94,1,100,1,188,8
2,95,0,91,-91,1,100,1,182,8
2,91.8,0,88,-88,1,100,1,176,7.6
2,335.3,0,332,-332,1,100,1,663,7.6
7,221.25,0,215,-215,1,100,1,430,12.5
7,82.75,0,77,-77,1,100,1,153,12.5
7,303.75,0,298,-298,1,100,1,595,12.5
13,289.25,0,272,-272,1,100,1,544,34.5
13,288.25,0,271,-271,1,100,1,542,34.5
13,321.75,0,305,-305,1,100,1,609,34.5
14,0,0,252,-252,1,100,1,0,0
15,80.1,0,94.8,-94.8,1,100,1,159,1.2
15,103.6,0,103,-103,1,100,1,206,1.2
15,98.1,0,98,-98,1,100,1,195,1.2
15,81.6,0,94.8,-94.8,1,100,1,162,1.2
15,70.1,0,94.8,-94.8,1,100,1,139,1.2
15,116.575,0,103,-103,1,100,1,206,27.15
16,308.075,0,295,-295,1,100,1,589,27.15
18,216,4.5,200,-191,1,100,1,382,50
21,362.5,0,338,-338,1,100,1,675,50
22,113.5,0,111,-111,1,100,1,222,5
22,94.5,0,92,-92,1,100,1,184,5
22,75.5,0,73,-73,1,100,1,146,5
22,119,0,117,-117,1,100,1,233,5
22,110.5,0,108,-108,1,100,1,216,5
22,44,0,42,-42,1,100,1,83,5
23,224.075,0,211,-211,1,100,1,421,27.15
23,159.575,0,146,-146,1,100,1,292,27.15
23,226,0,191,-191,1,100,1,382,70
