fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax
35250,35260,0.000150811,0.00194905,0.124388,1725,1745,1745,0,0,1,-30,30
35250,36002,0.000832099,0.00610363,0.211852,795,795,795,0,0,1,-30,30
35250,36140,0.000568878,0.0095087,0.621987,2056,2056,2056,0,0,1,-30,30
35250,36372,0.000177755,0.00247061,0.157639,1813,1813,1813,0,0,1,-30,30
35251,35650,0.000761,0.014125,0.935594,2226,2226,2226,0,0,1,-30,30
35251,35799,0.000182,0.001332,0.04622,1795,1795,1795,0,0,1,-30,30
35252,35927,9e-05,0.001157,0.086753,2598,2598,2598,0,0,1,-30,30
35252,35953,0.000504,0.007407,0.288028,2158,2158,2158,0,0,1,-30,30
35252,36583,0.000318,0.002334,0.081,1695,1695,1695,0,0,1,-30,30
35253,35612,0.000340265,0.00249547,0.0865925,795,795,795,0,0,1,-30,30
35254,35441,0.000382434,0.00638885,0.417572,2056,2056,2056,0,0,1,-30,30
35254,36253,6.38767e-05,0.0018319,0.127441,3031,3031,3031,0,0,1,-30,30
35254,36254,0.000354548,0.00260022,0.090228,795,795,795,0,0,1,-30,30
35255,36439,0.000124363,0.00210112,0.0833872,1392,1392,1392,0,0,1,-30,30
35255,36483,8.59941e-05,0.00145286,0.0576583,1492,1495,1495,0,0,1,-30,30
35256,35555,0.00234781,0.0172483,0.600016,795,795,795,0,0,1,-30,30
35256,35768,0.00140625,0.0103194,0.35839,795,795,795,0,0,1,-30,30
35257,35570,0.00100008,0.00692294,0.270403,795,795,795,0,0,1,-30,30
35257,36471,0.00366664,0.0270069,0.943018,795,795,795,0,0,1,-30,30
35257,36515,0.000183274,0.0012683,0.0495164,795,795,795,0,0,1,-30,30
35257,36517,0.000964483,0.00707523,0.245602,795,795,795,0,0,1,-30,30
35258,36270,0.000563127,0.00389733,0.152178,795,795,795,0,0,1,-30,30
35258,36282,0.000178415,0.00123467,0.0482035,795,795,795,0,0,1,-30,30
35259,36363,0.00142425,0.0178051,0.00778544,388,388,388,0,0,1,-30,30
35259,75803,0.00379202,0.028179,0.0107464,261,261,261,0,0,1,-30,30
35259,75927,0.00038155,0.00530351,0.00291475,567,567,567,0,0,1,-30,30
35260,36372,5.01821e-05,0.000804285,0.0364889,1513,1531,1531,0,0,1,-30,30
35261,35509,0.015104,0.154089,0.354401,1366,1366,1366,0,0,1,-30,30
35261,36424,0.008505,0.053922,0.113089,1366,1366,1366,0,0,1,-30,30
35262,35594,0.000273541,0.00317949,0.134706,1113,1113,1113,0,0,1,-30,30
35262,35602,0.00029088,0.00255715,0.103085,933,933,933,0,0,1,-30,30
35263,35512,0.00349689,0.0259856,0.0099098,261,261,261,0,0,1,-30,30
35263,35515,0.00569399,0.0227869,0.00769752,175,175,175,0,0,1,-30,30
35263,35529,0.00184376,0.0199598,0.00840049,347,347,347,0,0,1,-30,30
35263,36490,0.012881,0.0420154,0.0111553,142,142,142,0,0,1,-30,30
35263,36493,0.016448,0.038182,0.011633,218,218,218,0,0,1,-30,30
35264,36361,0.00132066,0.0171893,0.0383339,579,579,579,0,0,1,-30,30
35264,75546,0.000405805,0.00729515,0.0146678,697,697,697,0,0,1,-30,30
35264,75902,0.00452141,0.029356,0.0584947,366,366,366,0,0,1,-30,30
35265,35266,1e-05,6.8e-05,0.002488,1795,1795,1795,0,0,1,-30,30
35265,35547,0.000675777,0.00711198,0.29594,1028,1028,1028,0,0,1,-30,30
35266,35432,0.000588114,0.00683769,0.289806,1113,1113,1113,0,0,1,-30,30
35266,35664,0.00107227,0.00786647,0.273096,795,795,795,0,0,1,-30,30
35267,35535,0.000572299,0.00639342,0.235543,1028,1028,1028,0,0,1,-30,30
35267,36031,0.00039414,0.00272765,0.106498,795,795,795,0,0,1,-30,30
35268,35806,0.000359929,0.004368,0.18682,1147,1147,1147,0,0,1,-30,30
35268,36170,0.00180109,0.0241358,0.930807,1177,1177,1177,0,0,1,-30,30
35269,35602,0.00517838,0.0361556,1.42977,795,795,795,0,0,1,-30,30
35269,36563,0.002797,0.020043,0.735365,1295,1295,1295,0,0,1,-30,30
35269,36583,0.000154,0.001531,0.05534,1288,1288,1288,0,0,1,-30,30
35270,35273,5.94931e-05,0.0004363,0.0151388,795,795,795,0,0,1,-30,30
35270,36589,0.00075701,0.00555263,0.192716,795,795,795,0,0,1,-30,30
35270,36590,2.03418e-05,0.000783785,0.0676148,4547,4547,4547,0,0,1,-30,30
35271,35431,0.000474531,0.00339214,0.124016,795,795,795,0,0,1,-30,30
35271,35612,0.00399549,0.0294537,1.0297,795,795,795,0,0,1,-30,30
35272,36006,0.0119685,0.0789642,0.153238,366,366,366,0,0,1,-30,30
35272,36575,0.00114468,0.00772336,0.0142206,366,366,366,0,0,1,-30,30
35273,36254,0.000834446,0.00596585,0.218158,795,795,795,0,0,1,-30,30
35274,36148,0.0251108,0.0631343,0.0163595,118,118,118,0,0,1,-30,30
35274,36489,0.047645,0.122563,0.0303744,118,118,118,0,0,1,-30,30
35274,75594,0.0248513,0.0576974,0.0175814,118,118,118,0,0,1,-30,30
35275,35701,0.00387771,0.0160101,0.00378792,159,159,159,0,0,1,-30,30
35275,75913,0.0120306,0.0658546,0.0205958,205,205,205,0,0,1,-30,30
35276,35717,0.00301914,0.00700817,0.00213504,118,118,118,0,0,1,-30,30
35276,35718,0.00528406,0.0132828,0.00344111,118,118,118,0,0,1,-30,30
35276,35730,0.00337672,0.0118152,0.00391544,159,159,159,0,0,1,-30,30
35276,35740,0.0133914,0.0359531,0.00814864,118,118,118,0,0,1,-30,30
35276,35746,0.00113186,0.00396034,0.00131241,159,159,159,0,0,1,-30,30
35277,36410,0.0426584,0.099079,0.0302042,118,118,118,0,0,1,-30,30
35277,75602,0.0143636,0.0502653,0.0166606,159,159,159,0,0,1,-30,30
35278,36589,0.000647036,0.00462556,0.169125,795,795,795,0,0,1,-30,30
35279,35435,0.0188642,0.0437934,0.0133434,118,118,118,0,0,1,-30,30
35279,75649,0.0122367,0.0343267,0.00883596,128,128,128,0,0,1,-30,30
35280,36523,0.0137595,0.0319411,0.00973149,118,118,118,0,0,1,-30,30
35281,36032,0.002243,0.005814,0.001759,228,228,228,0,0,1,-30,30
35281,36419,0.0173426,0.0486528,0.0125245,128,128,128,0,0,1,-30,30
35282,36300,0.00204859,0.0150437,0.523002,795,795,795,0,0,1,-30,30
35282,36519,0.000503418,0.00369217,0.128126,795,795,795,0,0,1,-30,30
35283,36508,0.0050614,0.0135881,0.00307953,118,118,118,0,0,1,-30,30
35283,36510,0.000427507,0.00116391,0.00025642,118,118,118,0,0,1,-30,30
35284,35565,0.00725927,0.0471538,0.0940215,366,366,366,0,0,1,-30,30
35284,36292,0.00323571,0.0218348,0.0402108,366,366,366,0,0,1,-30,30
35285,36537,0.0118066,0.0413111,0.000855633,85,85,85,0,0,1,-30,30
35285,36538,0.0765036,0.177604,0.00338214,59,59,59,0,0,1,-30,30
35286,35939,0.00524786,0.0368112,0.0627045,366,366,366,0,0,1,-30,30
35286,36495,0.00293262,0.019789,0.0364418,366,366,366,0,0,1,-30,30
35286,75953,0.00125009,0.0152311,0.0568203,834,834,834,0,0,1,-30,30
35287,35711,0.00555785,0.0194472,0.00644476,159,159,159,0,0,1,-30,30
35287,75667,0.0175592,0.0572792,0.0152093,142,142,142,0,0,1,-30,30
35288,36063,0.0720318,0.167221,0.00318436,59,59,59,0,0,1,-30,30
35288,36069,0.116319,0.352734,0.00390637,59,59,59,0,0,1,-30,30
35288,75573,0.254592,0.694011,0.00957051,59,59,59,0,0,1,-30,30
35288,75660,0.038692,0.116462,0.0022773,71,71,71,0,0,1,-30,30
35288,75993,0.128505,0.298392,0.00568368,59,59,59,0,0,1,-30,30
