bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
17,368.5,0,334,-334,1.03,233.2,1,667,70
18,108,23.5,120,-73,1.03,233.2,1,146,70
26,0,0,220,-141,1.03,430.5,0,281,145
26,521,0,449,-449,1.03,421.9,1,897,145
27,251.5,20.5,220,-179,1.03,421.9,1,358,145
27,277,7.5,220,-205,1.03,430.5,1,409,145
27,304,0,232,-232,1.03,430.5,1,463,145
28,0,0,388,-388,1,430.5,0,775,145
28,222,35,220,-150,1,430.5,1,299,145
28,496,0,424,-424,1,430.5,1,847,145
29,231.5,30.5,220,-159,1,430.5,1,318,145
29,338.5,0,266,-266,1,430.5,1,532,145
29,245.5,23.5,220,-173,1,430.5,1,346,145
43,154.25,0,121,-121,1.03,246.2,1,241,67.5
43,0,0,120,-20,1.03,275.3,0,28,135
43,0,0,120,-77,1.03,275.3,0,154,67.5
44,131.25,11,120,-98,1.03,255,1,195,67.5
44,112.25,20.5,120,-79,1.03,255,1,157,67.5
44,0,0,120,-39,1.03,255,0,78,67.5
45,0,0,350,-49,1,610.3,0,97,350
45,428,4.5,350,-341,1,610.3,1,681,175
55,129.5,11.5,120,-97,1.03,255,1,194,65
56,344,0,312,-312,1.03,255,1,623,65
56,0,0,120,-29,1.03,255,0,57,130
57,143.5,4.5,120,-111,1,255,1,222,65
58,0,0,120,-20,1,255,0,5,130
58,131.5,0,146.4,-146.4,1,255,1,198,65
58,0,0,120,-72,1,255,0,143,65
59,131.25,0,116,-116,1.03,69.3,1,231,31.5
78,123,8.5,105,-88,1.03,248.3,1,176,70
78,166,0,131,-131,1.03,248.3,1,262,70
79,0,0,105,-13,1.03,243.8,0,25,140
79,0,0,179,-179,1.03,248.3,0,357,70
79,137.5,1,105,-103,1.03,248.3,1,205,70
82,170.5,38,192,-116,1,425.8,1,231,110
82,191.5,18.5,174,-137,1,408.9,1,273,110
104,161.5,0,279.6,-279.6,1.03,251.8,1,263,60
105,0,0,113,-59,1.03,251.8,0,118,67
106,116.25,0,97,-97,1.03,150,1,193,39.5
107,77.75,15.6,90,-58.8,1.03,150,1,116,39.5
116,0,0,106,-106,1.03,150,0,212,45
117,61.5,23,90,-44,1.03,150,1,88,35
118,114,0,94,-94,1.03,129.3,1,188,40
125,142,0,199.2,-199.2,1.03,242.9,1,204,80
126,182.5,0,148,-148,1.03,240.2,1,295,70
126,0,0,80,-34,1.03,229.4,0,68,160
127,175.5,0,141,-141,1,238.5,1,281,70
127,124.5,7.5,100,-85,1,241.7,1,169,80
132,0,0,0,0,1.03,0,0,0,0
132,0,0,0,0,1.03,0,0,0,0
133,0,0,0,0,1.03,0,0,0,0
133,0,0,0,0,1.03,0,0,0,0
134,0,0,90,-31,1.03,150,0,61,51
134,122,0,97,-97,1.03,150,1,194,50
135,0,0,90,-14,1.03,150,0,28,102
146,60.5,0,53,-53,1.03,51.4,1,106,15
146,33.5,0,26,-26,1.03,51.4,1,52,15
147,0,0,90,-60,1.03,150,0,120,45
148,80,27.6,120,-64.8,1.03,252.4,1,115,45
148,0,0,120,-16,1.03,237.5,0,31,135
148,0,0,217,-217,1.03,237.5,0,433,67.5
148,94.5,24,120,-72,1.03,252.4,1,144,45
150,113,0,146.4,-146.4,1,252.4,1,181,45
151,193,0,273.6,-273.6,1,252.4,1,341,45
151,0,0,120,-88,1,252.4,0,176,45
155,93.5,25,120,-70,1.03,263.9,1,140,47
155,167.5,0,144,-144,1.03,263.9,1,288,47
155,0,0,194,-194,1.03,237.5,0,387,65
155,108,19,120,-82,1.03,287.3,1,164,52
156,0,0,120,-59,1.03,237.5,0,117,65
