bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,20.6,0,0,0,1,1,0,63,1,1.06349,0.93651
2,1,28.39,17.2,0,0,1,0.98889,0,225,1,1.08889,0.88889
3,1,0,0,0,0,1,1.05131,0,380,1,1.10263,1
4,1,0,0,0,0,1,1,0,63,1,1.07937,0.92063
5,1,0.54,0.1,0,0,1,0.94444,0,45,1,1,0.88889
6,1,-2.3,-20.6,0,0,1,0.94444,0,45,1,1,0.88889
7,1,110.5,-25.5,0,0,1,1.04222,0,225,1,1.08444,1
8,1,60.72,1.5,0,0,1,1.01587,0,63,1,1.06349,0.96825
9,1,0,0,0,-21,1,1,0,20,1,1.2,0.8
2966,1,0,0,0,-64,1,1,0,20,1,1.2,0.8
10,1,0,0,0,0,1,1.00334,0,150,1,1.10667,0.9
11,1,31.7,-8.7,0,0,1,1.01111,0,225,1,1.08889,0.93333
2571,1,59.36,9.9,0,0,1,1.01111,0,225,1,1.08889,0.93333
12,1,0,0,0,0,1,1.05263,0,380,1,1.10526,1
13,1,0,0,0,0,1,1.04534,0,225,1,1.09067,1
14,1,-4.1,3.7,0,0,1,1,0,63,1,1.06349,0.93651
15,1,9,-3.3,0,0,1,1,0,63,1,1.06349,0.93651
16,1,163.01,6.3,0,0,1,1.01111,0,225,1,1.08889,0.93333
17,1,47.55,6.9,0,0,1,1.04445,0,225,1,1.08889,1
18,1,61.13,13.4,0,0,1,1.04481,0,225,1,1.08962,1
19,2,0,0,0,0,1,1.00362,0,63,1,1.08661,0.92063
20,1,105.01,29.1,0,0,1,1.04445,0,225,1,1.08889,1
21,1,65.75,4,0,0,1,0.98889,0,225,1,1.08889,0.88889
22,1,4.6,-11.4,0,0,1,1.0045,0,63,1,1.07249,0.93651
23,1,33.3,-5.7,0,0,1,1,0,63,1,1.06349,0.93651
24,1,0,0,0,0,1,1.04445,0,225,1,1.08889,1
2573,1,0,0,0,0,1,1.04445,0,225,1,1.08889,1
25,1,24.45,5.6,0,0,1,0.98889,0,225,1,1.08889,0.88889
26,1,1,-8,0,0,1,1.04158,0,225,1,1.09649,0.98667
27,1,22,-5.6,0,0,1,1,0,63,1,1.06349,0.93651
28,1,-2.1,-0.1,0,0,1,1.04445,0,225,1,1.08889,1
2574,1,53.12,10,0,0,1,1.04445,0,225,1,1.08889,1
29,1,7.1,-2.6,0,0,1,1,0,63,1,1.06349,0.93651
30,1,3.5,-40,0,0,1,1.04445,0,225,1,1.08889,1
31,1,7.7,-1.8,0,0,1,1.00431,0,63,1,1.07211,0.93651
32,1,16.44,2.1,0,0,1,1,0,63,1,1.06349,0.93651
33,1,2.4,-0.4,0,0,1,0.94444,0,45,1,1,0.88889
34,1,-0,0,0,0,1,0.94444,0,45,1,1,0.88889
35,1,35.32,0.1,0,0,1,1.01587,0,63,1,1.06349,0.96825
36,1,0.7,-4.1,0,0,1,0.94444,0,45,1,1,0.88889
37,1,9.3,-5.3,0,0,1,1,0,63,1,1.06349,0.93651
39,1,78.4,-4.8,0,0,1,1.038,0,225,1,1.08934,0.98667
40,1,25.1,-3.3,0,0,1,0.98889,0,225,1,1.08889,0.88889
41,1,109.22,7.4,0,0,1,1.04222,0,225,1,1.08444,1
42,1,51.35,2.9,0,0,1,1.0001,0,63,1,1.0637,0.93651
43,1,0,0,0,0,1,1.01111,0,225,1,1.08889,0.93333
44,1,29,-10,0,0,1,1.01587,0,63,1,1.06349,0.96825
45,1,97.4,-3,0,0,1,1.04445,0,225,1,1.08889,1
46,1,0,0,0,0,1,1.05263,0,380,1,1.10526,1
2575,1,0,0,0,0,1,1.05263,0,380,1,1.10526,1
47,1,21.3,-2.6,0,0,1,1.00128,0,63,1,1.06606,0.93651
48,1,-0.3,0.8,0,0,1,1.00193,0,63,1,1.06735,0.93651
49,1,15.76,3.2,0,0,1,1.01587,0,63,1,1.06349,0.96825
2576,1,12.63,4.7,0,0,1,1.01587,0,63,1,1.06349,0.96825
50,1,0,0,0,0,1,1.04222,0,225,1,1.08444,1
