bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
24,146,10.5,140,-119,1.03,235.3,1,237,55
25,188.25,0,155,-155,1.03,235.3,1,309,67.5
37,296,0,236,-236,1.03,426,1,472,120
37,200,25,190,-140,1.03,426,1,280,120
38,191,29.5,190,-131,1.03,426,1,262,120
38,540,0,480,-480,1.03,426,1,960,120
39,223.5,13,190,-164,1.03,426,1,327,120
40,200.5,24.5,190,-141,1,426,1,281,120
40,226,12,190,-166,1,426,1,332,120
40,266,0,206,-206,1,426,1,412,120
41,265,0,205,-205,1,426,1,410,120
41,594.5,0,535,-535,1,426,1,1069,120
41,266.5,0,207,-207,1,426,1,413,120
57,404.5,0,377,-377,1.03,235,1,754,55
57,135.25,24,152,-104,1.03,235,1,208,62.5
58,153.25,13.5,149,-122,1.03,235,1,244,62.5
58,0,0,149,-76,1.03,235,0,152,60
58,254,0,227,-227,1.03,235,1,453,55
59,198.5,0,171,-171,1.03,235,1,342,55
60,550.75,0,487,-487,1,588,1,974,127.5
61,364.5,23,348,-302,1,588,1,604,125
70,161.25,0,129,-129,1.03,235,1,258,64.5
71,181.25,0,149,-149,1.03,235,1,298,64.5
71,0,0,99,-77,1.03,235,0,154,64.5
72,0,0,105,-11,1,235,0,2,129
72,206.75,0,175,-175,1,235,1,349,64.5
73,218.75,0,187,-187,1,235,1,373,64.5
73,186.25,0,154,-154,1,235,1,308,64.5
74,66,0,66,-66,1.03,120,1,132,0
94,140.75,10.5,131,-110,1.03,270.6,1,219,62.5
94,134,16,131,-99,1.03,270.6,1,198,70
95,117.5,23,131,-85,1.03,270.6,1,170,65
95,145.75,8,131,-115,1.03,270.6,1,229,62.5
95,115.5,24,131,-83,1.03,270.6,1,166,65
98,192.5,37.5,213,-138,1,426,1,275,110
98,471.5,0,417,-417,1,435.3,1,833,110
115,22.5,0,23,-23,1.03,12,1,45,0
115,15.5,0,16,-16,1.03,6,1,31,0
121,0,0,120,-61,1.03,270.6,0,122,60
122,154.5,0,125,-125,1.03,270.6,1,249,60
123,146,0,129,-129,1.03,150,1,257,35
124,259.5,0,242,-242,1.03,150,1,484,35
134,0,0,176,-176,1.03,150,0,351,35
135,72,8.2,80,-63.6,1.03,150,1,109,35
136,116.5,0,97,-97,1.03,117.5,1,193,40
144,135.75,16.5,135,-102,1.03,270.6,1,204,67.5
145,132.75,18,135,-99,1.03,270.6,1,198,67.5
145,288.75,0,255,-255,1.03,270.6,1,510,67.5
146,143.25,15,140,-110,1,270.6,1,219,67.5
146,150.75,10,137,-117,1,270.6,1,234,67.5
152,0,0,78,-78,1.03,150,0,155,-135
152,0,0,72,-29,1.03,150,0,51,-135
153,0,0,72,-42,1.03,150,0,84,-135
153,0,0,72,-29,1.03,150,0,52,-135
154,270,0,247,-247,1.03,150,1,493,47
155,160.5,0,137,-137,1.03,150,1,274,47
155,0,0,108,-108,1.03,150,0,216,47
169,0,0,30,-30,1.03,51.4,0,59,20
170,0,0,90,-72,1.03,150,0,143,40
170,0,0,43,-43,1.03,51.4,0,86,22.5
172,282,0,257,-257,1.03,252.4,1,514,50
172,0,0,111,-21,1.03,237.5,0,5,135
173,0,0,111,-35,1.03,237.5,0,70,67.5
173,0,0,102,-84,1.03,252.4,0,168,45
174,119,0,153.6,-153.6,1,252.4,1,193,45
175,125,0,103,-103,1,252.4,1,205,45
175,164.5,0,140,-140,1,252.4,1,279,50
180,104.5,21.5,127,-84,1.03,287.3,1,157,52
180,146.5,3,127,-121,1.03,287.3,1,241,52
181,234.5,0,205,-205,1.03,238.4,1,409,60
181,118,17.5,127,-92,1.03,287.3,1,184,52
182,114.5,27,145,-91,1.03,263.9,1,182,47
182,92,38,145,-69,1.03,263.9,1,137,47
183,117,8,103,-87,1,238.4,1,174,60
183,173,0,143,-143,1,238.4,1,286,60
191,228,0,191,-191,1.03,233.2,1,381,75
192,183.5,0,159.6,-159.6,1.03,233.2,1,292,75
192,0,0,104,-40,1.03,233.2,0,79,72.5
192,0,0,104,-30,1.03,233.2,0,59,145
193,337.5,4,294,-286,1,464,1,571,104
208,176.5,0,158,-158,1.03,218.3,1,315,38
240,123.5,0,224,-224,1,209,1,447,-200
240,-49.5,21.5,105,-62,1,209,1,101,-200
240,0,0,160,-100,1,209,0,45,-200
241,-10.5,30,160,-100,1,209,1,179,-200
244,120.625,3.5,100,-93,1.03,177.1,1,185,56.25
254,30.25,0,33.6,-33.6,1.035,78.8,1,49,11.5
254,59.25,0,53,-53,1.035,68.8,1,106,12.5
254,26.75,0,33.6,-33.6,1.035,68.8,1,41,12.5
254,42.25,0,41,-41,1.035,27.6,1,81,3.5
267,49.1125,0,49,-49,1.035,0.7,1,98,0.225
268,29.1125,0,29,-29,1.035,0.7,1,58,0.225
278,0,0,85,-85,1.035,10.3,0,170,2.925
279,0,0,5,0,1.035,10.3,0,0,5.85
295,21.75,0,22,-22,1.035,5,1,43,0.5
295,39.75,0,40,-40,1.035,5,1,79,0.5
295,42.75,0,43,-43,1.035,5,1,85,0.5
295,49.75,0,50,-50,1.035,5,1,99,0.5
310,235,0,304.8,-304.8,1.035,426,1,350,120
316,0,0,21,-21,1.035,4,0,42,0.5
316,0,0,11,-11,1.035,4,0,22,0.5
376,113.85,0,113,-113,1.035,8.4,1,225,2.7
379,20.575,0,21,-21,1.035,0.9,1,41,0.15
379,13.075,0,13,-13,1.035,0.9,1,26,0.15
379,49.075,0,49,-49,1.035,0.9,1,98,0.15
383,26.25,0,24,-24,1.035,31.3,1,47,5.5
383,33.25,0,31,-31,1.035,39,1,61,5.5
383,46.25,0,44,-44,1.035,40.6,1,88,4.5
384,72,0,67,-67,1.035,68.8,1,134,10
384,74.5,0,70,-70,1.035,68.8,1,139,10
385,52,0,50,-50,1.035,48.5,1,99,5
385,35,0,30,-30,1.035,68.8,1,60,10
387,51.25,0,45,-45,1.035,68.8,1,90,12.5
387,176.75,0,163,-163,1.035,147,1,326,27.5
388,167.75,0,162,-162,1.035,68.8,1,323,12.5
399,47,0,47,-47,1.035,3.8,1,93,1
433,52.8375,0,53,-53,1.035,1.9,1,105,0.675
455,210.25,0,207,-207,1.035,68.8,1,413,7.5
456,108.75,0,105,-105,1.035,68.8,1,210,7.5
457,46.25,7,57,-43,1.035,68.8,1,85,7.5
457,115.75,0,115,-115,1.035,87.5,1,230,1.5
458,85.25,0,82,-82,1.035,68.8,1,163,7.5
458,35.75,12.5,57,-32,1.035,68.8,1,64,7.5
478,108.5,29,137,-79,1.035,235.3,1,157,60
478,43.5,0,41,-41,1.035,48.5,1,81,6
479,125.5,0,123,-123,1.035,48.5,1,246,5
482,53.9,0,53,-53,1.035,5.6,1,106,1.8
500,41,0,41,-41,1.035,0.4,1,82,0
522,89.25,0,89,-89,1.035,8.4,1,177,1.5
527,42.1975,0,42,-42,1.035,4.6,1,83,1.395
532,79.25,0,79,-79,1.035,6.5,1,158,0.5
532,19.25,0,19,-19,1.035,6.5,1,38,0.5
532,21.25,0,21,-21,1.035,6.5,1,42,0.5
543,23.6075,0,23,-23,1.035,4.1,1,46,1.215
572,0,0,2,-1,1.035,4.6,0,1,2.88
597,33.25,0,33,-33,1.035,1.9,1,66,0.5
597,0,0,82,-82,1.035,1.9,0,163,0.5
603,92.25,0,92,-92,1.035,5.6,1,183,1.5
670,49.75,0,41,-41,1.035,62.5,1,81,18.5
670,28,0,26,-26,1.035,37.5,1,51,5
670,66,15.5,85,-54,1.035,150,1,107,25
670,48.5,24.5,85,-36,1.035,150,1,72,25
671,35,0,33,-33,1.035,37.5,1,65,5
671,43.5,0,41,-41,1.035,37.5,1,82,5
671,24.5,1.1,25,-22.8,1.035,37.5,1,44,5
671,73.5,14,85,-57,1.035,150,1,113,34
671,52.5,22.5,85,-40,1.035,150,1,80,25
692,64.815,0,65,-65,1.035,1.9,1,129,0.63
694,112.5,0,113,-113,1.035,3.8,1,225,0
700,52.75,0,51,-51,1.035,37.5,1,101,4.5
700,35.75,0,34,-34,1.035,37.5,1,67,4.5
701,42.75,0,41,-41,1.035,37.5,1,81,4.5
701,51.75,0,50,-50,1.035,37.5,1,99,4.5
701,79.25,0,77,-77,1.035,37.5,1,154,4.5
701,64.5,4,65,-57,1.035,121.3,1,114,15
702,29.25,0,27,-27,1.035,37.5,1,54,4.5
702,92.25,0,90,-90,1.035,37.5,1,180,4.5
702,28.25,0,26,-26,1.035,31.5,1,52,4.5
735,76.25,0,76,-76,1.035,5.3,1,152,0.5
735,24.25,0,24,-24,1.035,2,1,48,0.5
752,120.4,0,120,-120,1.035,5.8,1,239,1.8
766,40,0,40,-40,1.035,5.8,1,80,0
775,51,0,51,-51,1.035,4,1,102,0
798,82,0,82,-82,1.035,65,1,164,0
798,34,0,34,-34,1.035,65,1,68,0
801,0,0,4,-4,1.035,12.4,0,7,0
808,21.5,0,22,-22,1.035,4.7,1,43,0
809,16,0,16,-16,1.035,5.8,1,32,0
846,161,10,149,-129,1.035,235,1,257,65
847,146.5,15,149,-119,1.035,235,1,238,55
854,58.5,0,59,-59,1.035,3,1,117,0
860,46,0,46,-46,1.035,12.4,1,92,0
870,106.5,0,90,-90,1.035,167.6,1,180,33
870,63.5,0,55,-55,1.035,71.6,1,110,17
876,58.5,0,59,-59,1.035,8.3,1,117,0
890,109.5,0,110,-110,1.035,5.6,1,219,0
893,0,0,30,-30,1.035,3,0,59,0
908,32,0,32,-32,1.035,3,1,64,0
913,51.5,0,52,-52,1.035,0,1,103,0
918,0,0,34,-34,1.035,1,0,68,0
929,0,0,10,-10,1.035,2.1,0,19,0.67
934,185.25,0,153,-153,1.035,235,1,306,64.5
936,95,0,95,-95,1.035,36.8,1,190,0
939,0,0,8,-8,1.035,2.8,0,15,0.89
959,62.25,0,50,-50,1.035,100.8,1,100,24.5
965,0,0,129,-129,1.035,1.7,0,257,0
980,54.5,0,55,-55,1.035,9.5,1,109,0
982,0,0,4,-4,1.035,1.6,0,7,0.455
984,46.25,0,46,-46,1.035,5.9,1,92,0.5
989,140.5,0,141,-141,1.035,10.9,1,281,0
993,43.25,0,42,-42,1.035,52,1,84,2.5
993,0,0,23,-20,1.035,52,0,40,2.5
993,0,0,38,-38,1.035,24.5,0,75,-32
993,0,0,61,-61,1.035,24.5,0,122,-32
1008,0,0,26,-26,1.035,69,0,51,0
1008,102.5,0,80,-80,1.035,57.6,1,159,46
1009,103,0,82,-82,1.035,57.6,1,164,42
1009,0,0,10,-4,1.035,40,0,8,0
1021,18.5,0,19,-19,1.035,3.3,1,37,0
1049,44.0575,0,44,-44,1.035,3.8,1,87,1.115
1056,0,0,26,-26,1.035,25,0,52,0
1056,58,0,58,-58,1.035,25,1,116,0
1056,86,0,86,-86,1.035,31,1,172,0
1056,33,0,33,-33,1.035,31,1,66,0
1087,27.625,5,41.2,-31.2,1.035,92.9,1,50,5.25
1111,0,0,45,-16,1.035,63,0,31,20
1111,155,0,145,-145,1.035,69,1,289,21
1112,124,0,114,-114,1.035,69,1,227,21
1188,79,19.5,110,-71,1.035,149,1,142,16
1189,110,4,110,-102,1.035,149,1,204,16
1193,27.5,0,28,-28,1.035,16.8,1,55,0
1214,285,0,230,-230,1.035,426,1,460,110
1215,182.5,29.5,187,-128,1.035,426,1,255,110
1219,0,0,33,-33,1.035,6,0,65,0.5
1220,42.125,35,110,-40,1.035,169.4,1,67,17.25
1226,0,0,17,-17,1.035,12.8,0,34,0
1226,0,0,88,-88,1.035,12.5,0,175,0
1227,74.5,0,75,-75,1.035,20,1,149,0
1227,46.5,0,47,-47,1.035,20,1,93,0
1228,0,0,76,-76,1.035,19,0,151,0
1237,82.5,0,80,-80,1.035,32,1,159,6
1238,0,0,60,-60,1.035,32,0,119,6
1239,102,0,100,-100,1.035,32.2,1,199,5
1330,121,0,112,-112,1.035,62.5,1,223,19
1330,0,0,37.5,-17,1.035,62.5,0,33,19
1330,0,0,412,-412,1.035,62.5,0,824,19
1331,70.5,0,61,-61,1.035,62.5,1,122,19
1354,0,0,53,-53,1.035,25,0,106,5
1354,0,0,4,-4,1.035,25,0,8,5
1354,48.5,0,46,-46,1.035,25,1,92,5
1354,141,0,139,-139,1.035,25,1,277,5
1371,37.5,0,38,-38,1.035,25,1,75,0
1372,31,0,31,-31,1.035,25,1,62,0
1373,44.5,0,45,-45,1.035,25,1,89,0
1373,0,0,45,-45,1.035,6,0,90,0
1400,33.75,11.75,52.5,-29,1.035,87.5,1,57,10.5
1401,0,0,42,-12,1.035,62.5,0,24,20
1401,133.25,0,128,-128,1.035,87.5,1,256,10.5
