bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,3,0,0,0,0,1,1,0,135,1,1.05,0.95
2,2,43.02,12.7,0,0,1,1.025,0,135,1,1.1,0.95
3,1,4.76,1.2,0,0,1,1,0,135,1,1.05,0.95
4,1,15.07,1.6,0,0,1,1,0,135,1,1.05,0.95
5,1,186.73,19,0,0,1,1,0,135,1,1.05,0.95
6,1,0,0,0,0,1,1,0,135,1,1.05,0.95
7,1,45.2,10.9,0,0,1,1,0,135,1,1.05,0.95
8,1,59.47,30,0,0,1,1,0,135,1,1.05,0.95
9,1,0,0,0,0,1,1,0,135,1,1.05,0.95
10,1,11.5,2,0,5.26,1,1,0,135,1,1.05,0.95
11,1,0,0,0,0,1,1,0,135,1,1.05,0.95
12,1,22.2,7.5,0,0,1,1,0,135,1,1.05,0.95
13,2,0,0,0,0,1,1.025,0,135,1,1.1,0.95
14,1,12.29,1.6,0,0,1,1,0,135,1,1.05,0.95
15,1,16.25,2.5,0,0,1,1,0,135,1,1.05,0.95
16,1,6.94,1.8,0,0,1,1,0,135,1,1.05,0.95
17,1,17.84,5.8,0,0,1,1,0,135,1,1.05,0.95
18,1,6.34,0.9,0,0,1,1,0,135,1,1.05,0.95
19,1,18.83,3.4,0,0,1,1,0,135,1,1.05,0.95
20,1,4.36,0.7,0,0,1,1,0,135,1,1.05,0.95
21,1,34.69,11.2,0,0,1,1,0,135,1,1.05,0.95
22,2,0,0,0,0,1,1.025,0,135,1,1.1,0.95
23,2,6.34,1.6,0,0,1,1.025,0,135,1,1.1,0.95
24,1,17.25,6.7,0,25,1,1,0,135,1,1.05,0.95
25,1,0,0,0,0,1,1,0,135,1,1.05,0.95
26,1,6.94,2.3,0,0,1,1,0,135,1,1.05,0.95
27,2,0,0,0,0,1,1.025,0,135,1,1.1,0.95
28,1,0,0,0,0,1,1,0,135,1,1.05,0.95
29,1,4.76,0.9,0,0,1,1,0,135,1,1.05,0.95
30,1,21.01,1.9,0,0,1,1,0,135,1,1.05,0.95
