bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,3,0,0,0,0,1,1,0,132,1,1.06,0.94
2,2,36.08,12.7,0,0,1,1,0,132,1,1.06,0.94
3,1,3.99,1.2,0,0,1,1,0,132,1,1.06,0.94
4,1,12.64,1.6,0,0,1,1,0,132,1,1.06,0.94
5,2,156.64,19,0,0,1,1,0,132,1,1.06,0.94
6,1,0,0,0,0,1,1,0,132,1,1.06,0.94
7,1,37.91,10.9,0,0,1,1,0,132,1,1.06,0.94
8,2,49.89,30,0,0,1,1,0,132,1,1.06,0.94
9,1,0,0,0,0,1,1,0,1,1,1.06,0.94
10,1,9.64,2,0,19,1,1,0,33,1,1.06,0.94
11,2,0,0,0,0,1,1,0,11,1,1.06,0.94
12,1,18.62,7.5,0,0,1,1,0,33,1,1.06,0.94
13,2,0,0,0,0,1,1,0,11,1,1.06,0.94
14,1,10.31,1.6,0,0,1,1,0,33,1,1.06,0.94
15,1,13.64,2.5,0,0,1,1,0,33,1,1.06,0.94
16,1,5.82,1.8,0,0,1,1,0,33,1,1.06,0.94
17,1,14.97,5.8,0,0,1,1,0,33,1,1.06,0.94
18,1,5.32,0.9,0,0,1,1,0,33,1,1.06,0.94
19,1,15.8,3.4,0,0,1,1,0,33,1,1.06,0.94
20,1,3.66,0.7,0,0,1,1,0,33,1,1.06,0.94
21,1,29.1,11.2,0,0,1,1,0,33,1,1.06,0.94
22,1,0,0,0,0,1,1,0,33,1,1.06,0.94
23,1,5.32,1.6,0,0,1,1,0,33,1,1.06,0.94
24,1,14.47,6.7,0,4.3,1,1,0,33,1,1.06,0.94
25,1,0,0,0,0,1,1,0,33,1,1.06,0.94
26,1,5.82,2.3,0,0,1,1,0,33,1,1.06,0.94
27,1,0,0,0,0,1,1,0,33,1,1.06,0.94
28,1,0,0,0,0,1,1,0,132,1,1.06,0.94
29,1,3.99,0.9,0,0,1,1,0,33,1,1.06,0.94
30,1,17.63,1.9,0,0,1,1,0,33,1,1.06,0.94
