bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
22,206.5,0,179,-179,1.03,235,1,358,55
23,140.5,17,140,-106,1.03,235,1,211,70
35,0,0,190,-19,1.03,426,0,2,240
35,0,0,190,-54,1.03,426,0,107,240
35,223.5,13,190,-164,1.03,426,1,327,120
36,227.5,11,190,-168,1.03,426,1,335,120
36,231,9.5,190,-171,1.03,426,1,342,120
37,268.5,0,209,-209,1,426,1,417,120
37,243.5,3,190,-184,1,426,1,367,120
37,222,14,190,-162,1,426,1,324,120
38,207.5,21,190,-148,1,426,1,295,120
38,224,13,190,-164,1,426,1,328,120
38,222,14,190,-162,1,426,1,324,120
55,161,9,152,-134,1.03,235,1,267,55
55,0,0,152,-33,1.03,235,0,8,125
56,0,0,149,-71,1.03,235,0,141,62.5
56,151.5,2.5,149,-144,1.03,235,1,248,55
57,149,13.5,149,-122,1.03,235,1,243,55
57,395,0,365,-365,1.03,235,1,730,60
58,335.25,45.5,363,-272,1,588,1,543,127.5
59,242,84,348,-180,1,588,1,359,125
68,129.75,11,120,-98,1.03,235,1,195,64.5
69,120.25,16,120,-88,1.03,235,1,176,64.5
69,110.25,10.5,99,-78,1.03,235,1,156,64.5
70,0,0,120,-14,1,235,0,17,129
70,0,0,120,-65,1,235,0,129,64.5
71,137.25,0,189.6,-189.6,1,235,1,210,64.5
71,218.25,0,189.6,-189.6,1,235,1,372,64.5
92,166,1.5,134,-131,1.03,271,1,262,70
92,140.5,12.5,131,-106,1.03,271,1,211,70
93,0,0,131,-7,1.03,271,0,13,140
93,200.5,0,166,-166,1.03,271,1,331,70
93,170,0,135,-135,1.03,271,1,270,70
96,178.5,39.5,213,-134,1,426,1,267,90
96,268,0,223,-223,1,435,1,446,90
113,0,0,213,-213,1.03,12,0,426,0
113,0,0,25,-25,1.03,6,0,50,0
113,63,0,176.4,-176.4,1.03,26,1,126,0
119,132,0.6,120,-118.8,1.03,271,1,204,60
120,160.5,0,186,-186,1.03,271,1,261,60
121,136,0,119,-119,1.03,150,1,237,35
122,92,0,75,-75,1.03,150,1,149,35
132,0,0,79,-27,1.03,150,0,53,35
133,141,0,585.6,-585.6,1.03,150,1,247,35
134,181.5,0,162,-162,1.03,118,1,323,40
142,184.75,0,703.2,-703.2,1.03,271,1,302,67.5
143,246.25,0,258,-258,1.03,271,1,425,67.5
