bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,160.91,44.2,0,0,2,1,0,345,1,1.06,0.94
2,1,0,0,0,0,2,1,0,345,1,1.06,0.94
3,1,530.88,2.4,0,0,2,1,0,345,1,1.06,0.94
4,1,824.35,184,0,0,1,1,0,345,1,1.06,0.94
5,1,0,0,0,0,1,1,0,345,1,1.06,0.94
6,1,0,0,0,0,1,1,0,345,1,1.06,0.94
7,1,385.47,84,0,0,1,1,0,345,1,1.06,0.94
8,1,860.62,176.6,0,0,1,1,0,345,1,1.06,0.94
9,1,6.5,-66.6,0,0,1,1,0,345,1,1.06,0.94
10,1,0,0,0,0,1,1,0,345,1,1.06,0.94
11,1,0,0,0,0,1,1,0,345,1,1.06,0.94
12,1,14.06,88,0,0,1,1,0,345,1,1.06,0.94
13,1,0,0,0,0,1,1,0,345,1,1.06,0.94
14,1,0,0,0,0,1,1,0,345,1,1.06,0.94
15,1,527.58,153,0,0,3,1,0,345,1,1.06,0.94
16,1,542.42,32.3,0,0,3,1,0,345,1,1.06,0.94
17,1,0,0,0,0,2,1,0,345,1,1.06,0.94
18,1,260.49,30,0,0,2,1,0,345,1,1.06,0.94
19,1,0,0,0,0,3,1,0,345,1,1.06,0.94
20,1,1121.12,103,0,0,3,1,0,345,1,1.06,0.94
21,1,451.74,115,0,0,3,1,0,345,1,1.06,0.94
22,1,0,0,0,0,3,1,0,345,1,1.06,0.94
23,1,408.05,84.6,0,0,3,1,0,345,1,1.06,0.94
24,1,308.6,-92.2,0,0,3,1,0,345,1,1.06,0.94
25,1,369.31,47.2,0,0,2,1,0,345,1,1.06,0.94
26,1,229.17,17,0,0,2,1,0,345,1,1.06,0.94
27,1,463.28,75.5,0,0,2,1,0,345,1,1.06,0.94
28,1,339.63,27.6,0,0,3,1,0,345,1,1.06,0.94
29,1,467.41,26.9,0,0,3,1,0,345,1,1.06,0.94
30,2,0,0,0,0,2,1,0,345,1,1.06,0.94
31,3,15.17,4.6,0,0,1,1,0,345,1,1.06,0.94
32,2,0,0,0,0,1,1,0,345,1,1.06,0.94
33,2,0,0,0,0,3,1,0,345,1,1.06,0.94
34,2,0,0,0,0,3,1,0,345,1,1.06,0.94
35,2,0,0,0,0,3,1,0,345,1,1.06,0.94
36,2,0,0,0,0,3,1,0,345,1,1.06,0.94
37,2,0,0,0,0,2,1,0,345,1,1.06,0.94
38,2,0,0,0,0,3,1,0,345,1,1.06,0.94
39,2,1820.16,250,0,0,1,1,0,345,1,1.06,0.94
