bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,2,0,0,0,0,1,1,0,345,1,1.1,0.9
2,2,0,0,0,0,1,1,0,345,1,1.1,0.9
3,2,0,0,0,0,1,1,0,345,1,1.1,0.9
4,1,122.87,50.37,0,0,1,1,0,345,1,1.1,0.9
5,2,0,0,0,0,1,1,0,345,1,1.1,0.9
6,1,0,0,0,0,1,1,0,345,1,1.1,0.9
7,1,0,0,0,0,1,1,0,345,1,1.1,0.9
8,1,0,0,0,0,1,1,0,345,1,1.1,0.9
9,1,126.72,39.67,0,0,1,1,0,345,1,1.1,0.9
10,2,0,0,0,0,1,1,0,345,1,1.1,0.9
11,1,0,0,0,0,1,1,0,345,1,1.1,0.9
12,2,9.39,20,0,0,1,1,0,345,1,1.1,0.9
13,2,9.51,20,0,0,1,1,0,345,1,1.1,0.9
14,1,0,0,0,0,1,1,0,345,1,1.1,0.9
15,2,0,-13.01,0,0,1,1,0,345,1,1.1,0.9
16,1,0,0,0,0,1,1,0,345,1,1.1,0.9
17,1,0,0,0,94.26,1,1,0,345,1,1.1,0.9
18,2,14.63,30,0,0,1,1,0,345,1,1.1,0.9
19,2,29.01,60,0,0,1,1,0,345,1,1.1,0.9
20,2,46.32,64,0,0,1,1,0,500,1,1.1,0.9
21,1,175.56,-19.75,0,0,1,1,0,345,1,1.1,0.9
22,1,0,0,0,0,1,1,0,345,1,1.1,0.9
23,1,0,0,0,0,1,1,0,345,1,1.1,0.9
24,2,0,0,0,168.92,1,1,0,500,1,1.1,0.9
25,2,0,0,0,-33.19,1,1,0,345,1,1.1,0.9
26,1,124.91,53.02,0,0,1,1,0,345,1,1.1,0.9
27,1,0,0,0,0,1,1,0,345,1,1.1,0.9
28,1,0,0,0,0,1,1,0,345,1,1.1,0.9
29,1,33.71,-15.57,0,0,1,1,0,345,1,1.1,0.9
30,1,0,0,0,0,1,1,0,345,1,1.1,0.9
31,1,0,0,0,0,1,1,0,345,1,1.1,0.9
32,2,0,0,0,118.65,1,1,0,500,1,1.1,0.9
33,1,0,0,0,0,1,1,0,345,1,1.1,0.9
34,1,0,0,0,0,1,1,0,345,1,1.1,0.9
35,1,0,0,0,0,1,1,0,345,1,1.1,0.9
36,1,0,0,0,-16.94,1,1,0,345,1,1.1,0.9
37,1,70.55,42.37,0,2.23,1,1,0,345,1,1.1,0.9
38,1,0,0,0,5.87,1,1,0,345,1,1.1,0.9
39,1,0,0,0,2.56,1,1,0,345,1,1.1,0.9
40,1,0,0,0,6.7,1,1,0,345,1,1.1,0.9
41,1,0,0,0,40.02,1,1,0,16,1,1.1,0.9
42,1,6.97,1.6,0,0,1,1,0,138,1,1.1,0.9
43,1,4.69,1.4,0,0,1,1,0,138,1,1.1,0.9
44,2,65.54,21.02,0,0,1,1,0,138,1,1.1,0.9
45,2,93.92,34.03,0,0,1,1,0,138,1,1.1,0.9
46,1,4.57,0.5,0,0,1,1,0,138,1,1.1,0.9
47,1,0,0,0,0,1,1,0,138,1,1.1,0.9
48,1,8.06,1.3,0,0,1,1,0,138,1,1.1,0.9
49,1,6.73,0.6,0,0,1,1,0,138,1,1.1,0.9
50,1,5.05,0.6,0,0,1,1,0,138,1,1.1,0.9
51,1,0,0,0,0,1,1,0,138,1,1.1,0.9
52,1,7.57,1.2,0,0,1,1,0,138,1,1.1,0.9
53,1,10.58,1.6,0,0,1,1,0,138,1,1.1,0.9
54,1,4.81,0.2,0,0,1,1,0,138,1,1.1,0.9
55,1,33.76,7.77,0,0,1,1,0,138,1,1.1,0.9
56,1,0,0,0,0,1,1,0,138,1,1.1,0.9
57,1,9.98,1.8,0,0,1,1,0,138,1,1.1,0.9
58,1,0,0,0,0,1,1,0,138,1,1.1,0.9
59,2,7.34,2.7,0,0,1,1,0,138,1,1.1,0.9
60,1,9.62,0.2,0,0,1,1,0,138,1,1.1,0.9
61,1,0,0,0,0,1,1,0,138,1,1.1,0.9
62,1,4.45,1.2,0,0,1,1,0,138,1,1.1,0.9
63,1,28.05,3.27,0,0,1,1,0,138,1,1.1,0.9
64,2,2.71,0.71,0,-34.1,1,1,0,138,1,1.1,0.9
65,1,2.79,0.33,0,0,1,1,0,138,1,1.1,0.9
66,1,2.54,0.84,0,7.69,1,1,0,138,1,1.1,0.9
67,1,6.73,1.36,0,0,1,1,0,138,1,1.1,0.9
68,1,82.43,25.33,0,0,1,1,0,138,1,1.1,0.9
69,1,8,2.09,0,0,1,1,0,138,1,1.1,0.9
70,1,53.26,-14.07,0,0,1,1,0,138,1,1.1,0.9
71,1,135.16,66.23,0,0,1,1,0,138,1,1.1,0.9
72,1,0,0,0,0,1,1,0,138,1,1.1,0.9
73,1,15.24,2.2,0,0,1,1,0,138,1,1.1,0.9
74,1,9.64,1.37,0,0,1,1,0,138,1,1.1,0.9
75,1,29.74,10.74,0,0,1,1,0,138,1,1.1,0.9
76,1,20.66,4.84,0,0,1,1,0,138,1,1.1,0.9
77,1,8.87,2.63,0,0,1,1,0,138,1,1.1,0.9
78,1,0,0,0,0,1,1,0,138,1,1.1,0.9
79,1,19.96,4.42,0,0,1,1,0,138,1,1.1,0.9
80,2,1.22,3,0,0,1,1,0,138,1,1.1,0.9
81,1,0,0,0,0,1,1,0,138,1,1.1,0.9
82,2,3.68,1.89,0,-5.96,1,1,0,138,1,1.1,0.9
83,1,8.37,3.68,0,0,1,1,0,138,1,1.1,0.9
84,2,4.06,0.71,0,0,1,1,0,138,1,1.1,0.9
85,2,19.23,30.64,0,0,1,1,0,138,1,1.1,0.9
86,1,22.85,5.96,0,3.89,1,1,0,138,1,1.1,0.9
87,1,279.47,29.74,0,-60,1,1,0,138,1,1.1,0.9
88,1,13.97,3.77,0,0,1,1,0,138,1,1.1,0.9
89,1,15.36,5.64,0,0,1,1,0,138,1,1.1,0.9
90,1,28.1,-1.93,0,0,1,1,0,138,1,1.1,0.9
91,1,12.3,5.57,0,0,1,1,0,138,1,1.1,0.9
92,1,0,0,0,0,1,1,0,138,1,1.1,0.9
93,1,6.34,1.47,0,0,1,1,0,138,1,1.1,0.9
94,1,45.72,-10.43,0,0,1,1,0,138,1,1.1,0.9
95,1,0,0,0,0,1,1,0,138,1,1.1,0.9
96,1,0,0,0,0,1,1,0,138,1,1.1,0.9
97,1,4.31,0.21,0,0,1,1,0,138,1,1.1,0.9
98,2,5.36,5.71,0,0,1,1,0,138,1,1.1,0.9
99,2,7.72,5.23,0,12.01,1,1,0,138,1,1.1,0.9
100,1,18.49,4.72,0,0,1,1,0,138,1,1.1,0.9
101,1,15.92,4.72,0,0,1,1,0,138,1,1.1,0.9
102,1,0,0,0,0,1,1,0,138,1,1.1,0.9
103,1,29.57,11.73,0,0,1,1,0,138,1,1.1,0.9
104,1,11.52,4.22,0,-3.12,1,1,0,138,1,1.1,0.9
105,1,10.9,4.02,0,0,1,1,0,138,1,1.1,0.9
106,1,11.88,5.12,0,0,1,1,0,138,1,1.1,0.9
107,1,6.74,2.01,0,0,1,1,0,138,1,1.1,0.9
108,1,6.36,1.91,0,0,1,1,0,138,1,1.1,0.9
109,1,14.72,3.61,0,0,1,1,0,138,1,1.1,0.9
110,2,29.54,1.56,0,0,1,1,0,138,1,1.1,0.9
111,1,12.13,2.41,0,0,1,1,0,138,1,1.1,0.9
112,1,155.36,30.18,0,0,1,1,0,138,1,1.1,0.9
113,2,0,0,0,0,1,1,0,138,1,1.1,0.9
114,1,0,0,0,0,1,1,0,138,1,1.1,0.9
115,2,8.81,2.61,0,0,1,1,0,138,1,1.1,0.9
116,1,8.69,2.61,0,0,1,1,0,138,1,1.1,0.9
117,1,10.9,2.71,0,0,1,1,0,138,1,1.1,0.9
118,1,7.23,1.41,0,0,1,1,0,138,1,1.1,0.9
119,1,0,0,0,45,1,1,0,16,1,1.1,0.9
120,2,31.96,20.39,0,0,1,1,0,138,1,1.1,0.9
121,1,26.94,-4.46,0,0,1,1,0,138,1,1.1,0.9
122,1,3.8,1.41,0,0,1,1,0,138,1,1.1,0.9
123,1,0,0,0,0,1,1,0,138,1,1.1,0.9
124,2,0,0,0,0,1,1,0,138,1,1.1,0.9
125,1,10.77,2.91,0,0,1,1,0,138,1,1.1,0.9
126,1,6.61,2.31,0,0,1,1,0,138,1,1.1,0.9
127,1,5.75,2.11,0,0,1,1,0,138,1,1.1,0.9
128,2,11.52,3.71,0,0,1,1,0,138,1,1.1,0.9
129,1,15.92,4.22,0,0,1,1,0,138,1,1.1,0.9
130,1,11.02,5.52,0,0,1,1,0,138,1,1.1,0.9
131,1,17.05,11.8,0,0,1,1,0,138,1,1.1,0.9
132,2,14.7,9.44,0,0,1,1,0,138,1,1.1,0.9
133,2,0,0,0,0,1,1,0,138,1,1.1,0.9
134,1,10.9,3.82,0,0,1,1,0,138,1,1.1,0.9
