bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
39880,88,4.45,96.9,-88,1,100,1,176,0
39896,71.5,0,72,-72,1,100,1,143,0
39908,86,0,85,-85,1,100,1,169,3
39908,38.5,0.6,38.2,-37,1,100,1,74,3
40003,93,0,93,-93,1,100,1,185,1
40005,59.4325,0,53,-53,1,100,1,106,12.865
40005,86.02,0,77,-77,1,100,1,153,19.04
40008,116.5,0,112,-112,1,100,1,223,10
40015,68,0,64,-64,1,100,1,128,8
40015,35.5,0,32,-32,1,100,1,63,8
40015,44.5,0,41,-41,1,100,1,81,8
40015,50.5,0,50,-50,1,100,1,99,2
40015,20,10.75,40.5,-19,1,100,1,38,2
40056,26.5,0,45.6,-45.6,1,100,1,53,0
40070,38.625,6.55,49.1,-36,1,100,1,71,6.25
40070,77.5,0,75,-75,1,100,1,150,5
40081,60.25,0,60,-60,1,100,1,120,0.5
40145,54,0,52,-52,1,100,1,103,5
75435,210.75,0,831.6,-831.6,1,100,1,284,137.5
75437,493,0,431,-431,1,100,1,861,125
75439,294.5,0,280,-280,1,100,1,559,30
75440,52.25,31.3,135.4,-72.8,1,100,1,82,22.5
75442,114.5,0,115,-115,1,100,1,229,0
75444,203.5,0,174,-174,1,100,1,347,60
75444,234,0,204,-204,1,100,1,408,60
75444,148.25,0,135,-135,1,100,1,269,27.5
75446,100.5,0,101,-101,1,100,1,201,0
75448,274.25,0,251,-251,1,100,1,501,47.5
75448,321.75,0,298,-298,1,100,1,596,47.5
75448,114.75,29.85,158.7,-99,1,100,1,198,31.5
75450,174.5,0,175,-175,1,100,1,349,0
75451,75.5,0,76,-76,1,100,1,151,0
75454,49.5,0,66.1,-66.1,1,100,1,99,0
75457,79,0,153.6,-153.6,1,100,1,158,0
75458,90.5,0,91,-91,1,100,1,181,0
75459,87.25,10.05,91.1,-71,1,100,1,142,32.5
75459,151,20.05,169.1,-129,1,100,1,257,45
75459,224.5,44.1,282.9,-194.7,1,100,1,324,125
75461,42.5,0,967.2,-967.2,1,100,1,70,15
75465,33.5,0,49.6,-49.6,1,100,1,67,0
75466,95,0,95,-95,1,100,1,190,0
75467,74,0,74,-74,1,100,1,148,0
75468,60.5,0,61,-61,1,100,1,121,0
75470,99.5,0,171.6,-171.6,1,100,1,199,0
75482,24.5,0,112.8,-112.8,1,100,1,39,10
75482,21,0,112.8,-112.8,1,100,1,42,0
75484,106.5,0,105,-105,1,100,1,210,3
75484,59.5,0,58,-58,1,100,1,116,3
75484,79,0,78,-78,1,100,1,155,3
75486,81.5,0,74,-74,1,100,1,148,15
75486,97.5,0,90,-90,1,100,1,180,15
75486,109.5,0,102,-102,1,100,1,204,15
75488,49.5,0,54.2,-54.2,1,100,1,99,0
75493,66.25,0,132,-132,1,100,1,120,12.5
75493,127,0,132,-132,1,100,1,234,20
75493,330.75,69.65,446.8,-307.5,1,100,1,479,182.5
75493,328.5,54.8,351.5,-241.9,1,100,1,482,175
75497,94.5,0,93,-93,1,100,1,186,3
75497,219.5,0,218,-218,1,100,1,436,3
75497,125,0,124,-124,1,100,1,247,3
75500,120.78,0,118,-118,1,100,1,235,6.56
75500,212.725,0,189,-189,1,100,1,377,48.45
75502,46.28,0,43,-43,1,100,1,86,6.56
75502,42,0,39,-39,1,100,1,78,6
75503,86,0,79,-79,1,100,1,157,15
75503,60.25,0,57,-57,1,100,1,113,7.5
75507,77,6.3,89.6,-77,1,100,1,154,0
75511,131.5,0,132,-132,1,100,1,263,0
75513,101.25,9.4,108.8,-90,1,100,1,180,22.5
75513,19.5,-4.35,46.5,-55.2,1,100,1,29,10
75514,79,0,205.2,-205.2,1,100,1,151,7
75517,180.75,0,170,-170,1,100,1,339,22.5
75517,118.3,0,116,-116,1,100,1,232,4.6
75519,80.5,0,81,-81,1,100,1,161,0
75523,1437.4,0,1273,-1273,1,100,1,2546,328.8
75524,558.025,-12.4,593.2,-618,1,100,1,787,329.05
75529,122.75,0,1183.2,-1183.2,1,100,1,178,67.5
75529,273.5,0,1183.2,-1183.2,1,100,1,480,67
75533,419.525,0,2506.8,-2506.8,1,100,1,690,149.05
75537,1077,0,1040,-1040,1,100,1,2079,75
75537,1077,0,1040,-1040,1,100,1,2079,75
75538,719.5,0,687,-687,1,100,1,1373,66
75538,1252,0,1219,-1219,1,100,1,2438,66
75541,294.75,67.4,432.4,-297.6,1,100,1,427,162.5
75541,270.75,67.4,432.4,-297.6,1,100,1,379,162.5
75543,98.5,0,463.2,-463.2,1,100,1,137,60
75543,208,0,463.2,-463.2,1,100,1,356,60
75546,259.5,0,564,-564,1,100,1,399,120
75546,347,0,564,-564,1,100,1,574,120
75549,382,0,320,-320,1,100,1,639,125
75549,361.5,4.15,307.3,-299,1,100,1,598,125
75549,397,26.2,387.4,-335,1,100,1,669,125
75551,317,28.5,299,-242,1,100,1,484,150
75553,240.75,9.65,236.3,-217,1,100,1,434,47.5
75555,200.75,63.15,273.3,-147,1,100,1,279,122.5
75558,344.5,0,436.8,-436.8,1,100,1,589,100
75558,339.5,0,436.8,-436.8,1,100,1,524,155
75559,80.5,0,78,-78,1,100,1,156,5
75559,95.5,0,93,-93,1,100,1,186,5
75559,82.5,0,80,-80,1,100,1,160,5
75559,123,0,121,-121,1,100,1,241,5
75559,154.4,51.1,226.9,-124.7,1,100,1,234,74.8
