fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax
4644,1,0.005726,0.010482,0,2186,2186,2186,0,0,1,-30,30
5243,1,0.01284,0.025679,0,910,910,910,0,0,1,-30,30
1682,2,0.005799,0.010615,0.0075,2441,2441,2441,0,0,1,-30,30
1673,3,0.134039,0.309398,0.0035,91,91,91,0,0,1,-30,30
2302,3,0.049131,0.133283,0.0015,215,215,215,0,0,1,-30,30
694,4,0.025926,0.109136,0.0002,281,281,281,0,0,1,-30,30
3940,4,0.05,0.126914,0.0006,226,226,226,0,0,1,-30,30
5043,4,0.02321,0.097407,0.0016,315,315,315,0,0,1,-30,30
4414,5,0.040564,0.113631,0.0013,245,245,245,0,0,1,-30,30
2780,6,0.006047,0.020912,0.0222,1398,1398,1398,0,0,1,-30,30
2781,7,0.012472,0.032099,0.0061,884,884,884,0,0,1,-30,30
2468,8,0.002607,0.017462,0.0324,540,540,540,0,0,1,-30,30
471,9,0.053893,0.14258,0.0017,194,194,194,0,0,1,-30,30
11,10,0.000247,0.001235,0.0005,24078,24078,24078,0,0,1,-30,30
11,10,0.000247,0.001235,0.0002,24078,24078,24078,0,0,1,-30,30
30,11,0.039753,0.100988,0.0047,284,284,284,0,0,1,-30,30
2930,11,0.037654,0.096173,0.001,294,294,294,0,0,1,-30,30
2180,12,0.014613,0.060721,0.0008,487,487,487,0,0,1,-30,30
4018,12,0.034064,0.121139,0.0015,242,242,242,0,0,1,-30,30
4020,12,0.000242,0.000442,0.0004,60355,60355,60355,0,0,1,-30,30
115,13,2.1e-05,0.000125,0.1386,737,737,737,0,0,1,-30,30
2336,13,0.000145,0.001877,0.0635,2487,2487,2487,0,0,1,-30,30
4574,13,0.000319,0.003234,0.0838,1841,1841,1841,0,0,1,-30,30
116,13,2.1e-05,0.000125,0.1386,737,737,737,0,0,1,-30,30
1224,14,0.04,0.134198,0.0274,217,217,217,0,0,1,-30,30
2875,14,0.012222,0.052346,0.0026,565,565,565,0,0,1,-30,30
4592,14,0.007284,0.045432,0.0024,660,660,660,0,0,1,-30,30
4950,14,0.059963,0.154222,0.0236,184,184,184,0,0,1,-30,30
5229,14,0.018025,0.110988,0.0073,270,270,270,0,0,1,-30,30
2875,14,0.012222,0.052593,0.0032,562,562,562,0,0,1,-30,30
4592,14,0.007284,0.044938,0.0024,667,667,667,0,0,1,-30,30
2907,15,0.037541,0.100529,0.0011,284,284,284,0,0,1,-30,30
4126,15,0.090199,0.211388,0.0023,133,133,133,0,0,1,-30,30
4454,15,0.09801,0.267574,0,107,107,107,0,0,1,-30,30
251,16,0.071806,0.191484,0.0019,149,149,149,0,0,1,-30,30
339,16,0.119174,0.284958,0.0044,99,99,99,0,0,1,-30,30
5835,17,0.022346,0.061111,0.0029,457,457,457,0,0,1,-30,30
3728,18,0.009383,0.019753,0,1194,1194,1194,0,0,1,-30,30
5091,19,0.000252,0.000504,0,52398,52398,52398,0,0,1,-30,30
3728,20,0.001975,0.004444,0,5369,5369,5369,0,0,1,-30,30
1353,21,0.036296,0.099012,0.0045,282,282,282,0,0,1,-30,30
1598,21,0.032716,0.089136,0.0057,313,313,313,0,0,1,-30,30
1842,22,0.138574,0.351474,0.0058,81,81,81,0,0,1,-30,30
5020,22,0.094407,0.210456,0.0044,132,132,132,0,0,1,-30,30
1156,23,0.047115,0.117158,0.001,234,234,234,0,0,1,-30,30
2705,23,0.039557,0.120937,0.0132,233,233,233,0,0,1,-30,30
3425,23,0.022676,0.062484,0.0007,445,445,445,0,0,1,-30,30
144,24,0.064568,0.16716,0.0113,180,180,180,0,0,1,-30,30
1281,24,0.048605,0.128481,0.0062,235,235,235,0,0,1,-30,30
491,25,0.004815,0.02963,0.0016,1048,1048,1048,0,0,1,-30,30
2092,25,0.007309,0.04463,0.0073,710,710,710,0,0,1,-30,30
611,26,0.034321,0.145802,0.0073,199,199,199,0,0,1,-30,30
1865,26,0.004815,0.009753,0.0005,2731,2731,2731,0,0,1,-30,30
2604,26,0.049012,0.133704,0.0063,209,209,209,0,0,1,-30,30
2923,26,0.04642,0.126543,0.0058,221,221,221,0,0,1,-30,30
3339,26,0.046296,0.125926,0.006,222,222,222,0,0,1,-30,30
4629,26,0.053704,0.136753,0.0065,203,203,203,0,0,1,-30,30
2923,26,0.03358,0.120988,0.0062,237,237,237,0,0,1,-30,30
534,27,0.006163,0.041067,0.0759,446,446,446,0,0,1,-30,30
2349,27,0.000652,0.004369,0.0081,558,558,558,0,0,1,-30,30
2686,28,0.050945,0.131922,0.0015,216,216,216,0,0,1,-30,30
3893,28,0.058781,0.149005,0.0017,190,190,190,0,0,1,-30,30
2888,29,0.067019,0.137566,0.0037,193,193,193,0,0,1,-30,30
3321,29,0.032754,0.088939,0.0039,312,312,312,0,0,1,-30,30
3321,29,0.030184,0.080096,0.0053,345,345,345,0,0,1,-30,30
144,30,0.066049,0.187778,0.0099,161,161,161,0,0,1,-30,30
1553,30,0.065062,0.133704,0.0062,212,212,212,0,0,1,-30,30
4836,30,0.041728,0.106049,0.005,281,281,281,0,0,1,-30,30
150,31,0.009574,0.03875,0.0114,740,740,740,0,0,1,-30,30
3162,31,0.000171,0.000313,0.0002,82782,82782,82782,0,0,1,-30,30
3693,31,0.034266,0.09423,0.001,295,295,295,0,0,1,-30,30
4740,31,0.006803,0.028219,0,1018,1018,1018,0,0,1,-30,30
150,31,0.008566,0.037541,0.0121,767,767,767,0,0,1,-30,30
3730,32,0.009733,0.034089,0.0185,902,902,902,0,0,1,-30,30
368,34,0.000277,0.002015,0.003,288,288,288,0,0,1,-30,30
1016,33,0.00881,0.033995,0.0607,289,289,289,0,0,1,-30,30
1157,33,0.004642,0.019832,0.0354,255,255,255,0,0,1,-30,30
2582,34,0.008861,0.03506,0.0623,288,288,288,0,0,1,-30,30
2706,34,0.006993,0.032869,0.0557,255,255,255,0,0,1,-30,30
