bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
101,2,207.36,22,0,0,1,1,0,138,1,1.05,0.95
102,2,186.24,20,0,0,1,1,0,138,1,1.05,0.95
103,1,345.6,37,0,0,1,1,0,138,1,1.05,0.95
104,1,142.08,15,0,0,1,1,0,138,1,1.05,0.95
105,1,136.32,14,0,0,1,1,0,138,1,1.05,0.95
106,1,261.12,28,0,-100,1,1,0,138,1,1.05,0.95
107,2,240,25,0,0,1,1,0,138,1,1.05,0.95
108,1,328.32,35,0,0,1,1,0,138,1,1.05,0.95
109,1,336,36,0,0,1,1,0,138,1,1.05,0.95
110,1,374.4,40,0,0,1,1,0,138,1,1.05,0.95
111,1,0,0,0,0,1,1,0,230,1,1.05,0.95
112,1,0,0,0,0,1,1,0,230,1,1.05,0.95
113,3,508.81,54,0,0,1,1,0,230,1,1.05,0.95
114,2,372.48,39,0,0,1,1,0,230,1,1.05,0.95
115,2,608.65,64,0,0,1,1,0,230,1,1.05,0.95
116,2,192,20,0,0,1,1,0,230,1,1.05,0.95
117,1,0,0,0,0,1,1,0,230,1,1.05,0.95
118,2,639.37,68,0,0,1,1,0,230,1,1.05,0.95
119,1,347.52,37,0,0,1,1,0,230,1,1.05,0.95
120,1,245.76,26,0,0,1,1,0,230,1,1.05,0.95
121,2,0,0,0,0,1,1,0,230,1,1.05,0.95
122,2,0,0,0,0,1,1,0,230,1,1.05,0.95
123,2,0,0,0,0,1,1,0,230,1,1.05,0.95
124,1,0,0,0,0,1,1,0,230,1,1.05,0.95
201,2,207.36,22,0,0,2,1,0,138,2,1.05,0.95
202,2,186.24,20,0,0,2,1,0,138,2,1.05,0.95
203,1,345.6,37,0,0,2,1,0,138,2,1.05,0.95
204,1,142.08,15,0,0,2,1,0,138,2,1.05,0.95
205,1,136.32,14,0,0,2,1,0,138,2,1.05,0.95
206,1,261.12,28,0,-100,2,1,0,138,2,1.05,0.95
207,2,240,25,0,0,2,1,0,138,2,1.05,0.95
208,1,328.32,35,0,0,2,1,0,138,2,1.05,0.95
209,1,336,36,0,0,2,1,0,138,2,1.05,0.95
210,1,374.4,40,0,0,2,1,0,138,2,1.05,0.95
211,1,0,0,0,0,2,1,0,230,2,1.05,0.95
212,1,0,0,0,0,2,1,0,230,2,1.05,0.95
213,2,508.81,54,0,0,2,1,0,230,2,1.05,0.95
214,2,372.48,39,0,0,2,1,0,230,2,1.05,0.95
215,2,608.65,64,0,0,2,1,0,230,2,1.05,0.95
216,2,192,20,0,0,2,1,0,230,2,1.05,0.95
217,1,0,0,0,0,2,1,0,230,2,1.05,0.95
218,2,639.37,68,0,0,2,1,0,230,2,1.05,0.95
219,1,347.52,37,0,0,2,1,0,230,2,1.05,0.95
220,1,245.76,26,0,0,2,1,0,230,2,1.05,0.95
221,2,0,0,0,0,2,1,0,230,2,1.05,0.95
222,2,0,0,0,0,2,1,0,230,2,1.05,0.95
223,2,0,0,0,0,2,1,0,230,2,1.05,0.95
224,1,0,0,0,0,2,1,0,230,2,1.05,0.95
301,2,207.36,22,0,0,3,1,0,138,3,1.05,0.95
302,2,186.24,20,0,0,3,1,0,138,3,1.05,0.95
303,1,345.6,37,0,0,3,1,0,138,3,1.05,0.95
304,1,142.08,15,0,0,3,1,0,138,3,1.05,0.95
305,1,136.32,14,0,0,3,1,0,138,3,1.05,0.95
306,1,261.12,28,0,-100,3,1,0,138,3,1.05,0.95
307,2,240,25,0,0,3,1,0,138,3,1.05,0.95
308,1,328.32,35,0,0,3,1,0,138,3,1.05,0.95
309,1,336,36,0,0,3,1,0,138,3,1.05,0.95
310,1,374.4,40,0,0,3,1,0,138,3,1.05,0.95
311,1,0,0,0,0,3,1,0,230,3,1.05,0.95
312,1,0,0,0,0,3,1,0,230,3,1.05,0.95
313,2,508.81,54,0,0,3,1,0,230,3,1.05,0.95
314,2,372.48,39,0,0,3,1,0,230,3,1.05,0.95
315,2,608.65,64,0,0,3,1,0,230,3,1.05,0.95
316,2,192,20,0,0,3,1,0,230,3,1.05,0.95
317,1,0,0,0,0,3,1,0,230,3,1.05,0.95
318,2,639.37,68,0,0,3,1,0,230,3,1.05,0.95
319,1,347.52,37,0,0,3,1,0,230,3,1.05,0.95
320,1,245.76,26,0,0,3,1,0,230,3,1.05,0.95
321,2,0,0,0,0,3,1,0,230,3,1.05,0.95
322,2,0,0,0,0,3,1,0,230,3,1.05,0.95
323,2,0,0,0,0,3,1,0,230,3,1.05,0.95
324,1,0,0,0,0,3,1,0,230,3,1.05,0.95
325,1,0,0,0,0,3,1,0,230,3,1.05,0.95
