2,startup,shutdown,n,c2,c1,c0
2,0,0,3,0,48.144896,0
2,0,0,3,0,33.752152,0
2,0,0,3,0,18.944562,0
2,0,0,3,0,32.963567,0
2,0,0,3,0,34.582172,0
2,0,0,3,0,102.123377,0
2,0,0,3,0,27.491952,0
2,0,0,3,0,106.121938,0
2,0,0,3,0,42.422147,0
2,0,0,3,0,19.547479,0
2,0,0,3,0,19.340722,0
2,0,0,3,0,27.847851,0
2,0,0,3,0,16.555469,0
2,0,0,3,0,25.372493,0
2,0,0,3,0,26.375422,0
2,0,0,3,0,14.224446,0
2,0,0,3,0,41.806983,0
2,0,0,3,0,32.631964,0
2,0,0,3,0,24.120319,0
2,0,0,3,0,20.196291,0
2,0,0,3,0,67.893274,0
2,0,0,3,0,40.690715,0
2,0,0,3,0,24.756254,0
2,0,0,3,0,32.534667,0
2,0,0,3,0,31.107941,0
2,0,0,3,0,36.105459,0
2,0,0,3,0,111.472656,0
2,0,0,3,0,22.22303,0
2,0,0,3,0,9.538301,0
2,0,0,3,0,19.957222,0
2,0,0,3,0,19.521714,0
2,0,0,3,0,17.53672,0
2,0,0,3,0,50.147209,0
2,0,0,3,0,20.161061,0
2,0,0,3,0,30.649135,0
2,0,0,3,0,32.216573,0
2,0,0,3,0,5.143579,0
2,0,0,3,0,28.608411,0
2,0,0,3,0,47.435671,0
2,0,0,3,0,24.722854,0
2,0,0,3,0,114.458323,0
2,0,0,3,0,62.457256,0
2,0,0,3,0,23.320554,0
2,0,0,3,0,31.109769,0
2,0,0,3,0,28.71593,0
2,0,0,3,0,34.855361,0
2,0,0,3,0,7.046649,0
2,0,0,3,0,24.293749,0
2,0,0,3,0,23.344146,0
2,0,0,3,0,17.792717,0
2,0,0,3,0,26.890752,0
2,0,0,3,0,37.737199,0
2,0,0,3,0,38.039292,0
2,0,0,3,0,29.726025,0
2,0,0,3,0,41.536201,0
2,0,0,3,0,46.002594,0
2,0,0,3,0,18.286323,0
2,0,0,3,0,41.665073,0
2,0,0,3,0,30.265444,0
2,0,0,3,0,45.015219,0
2,0,0,3,0,31.330953,0
2,0,0,3,0,15.386487,0
2,0,0,3,0,101.914927,0
2,0,0,3,0,32.514558,0
2,0,0,3,0,36.29477,0
2,0,0,3,0,24.807489,0
2,0,0,3,0,23.295725,0
2,0,0,3,0,31.589696,0
2,0,0,3,0,9.952051,0
2,0,0,3,0,37.954064,0
2,0,0,3,0,48.191448,0
2,0,0,3,0,37.711424,0
2,0,0,3,0,10.804978,0
2,0,0,3,0,28.033588,0
2,0,0,3,0,27.152413,0
2,0,0,3,0,24.325875,0
2,0,0,3,0,21.823998,0
2,0,0,3,0,40.469758,0
2,0,0,3,0,28.593272,0
2,0,0,3,0,24.551931,0
2,0,0,3,0,26.129224,0
2,0,0,3,0,33.053251,0
2,0,0,3,0,26.278186,0
2,0,0,3,0,40.651028,0
2,0,0,3,0,87.617497,0
2,0,0,3,0,44.138695,0
2,0,0,3,0,29.848214,0
2,0,0,3,0,30.733565,0
2,0,0,3,0,41.482425,0
2,0,0,3,0,55.459703,0
2,0,0,3,0,26.505085,0
2,0,0,3,0,15.670212,0
2,0,0,3,0,36.975457,0
2,0,0,3,0,15.242647,0
2,0,0,3,0,16.025704,0
2,0,0,3,0,37.55691,0
2,0,0,3,0,117.356072,0
2,0,0,3,0,26.774912,0
2,0,0,3,0,31.390872,0
2,0,0,3,0,52.037941,0
2,0,0,3,0,44.179903,0
2,0,0,3,0,42.501955,0
2,0,0,3,0,28.316382,0
2,0,0,3,0,34.908855,0
2,0,0,3,0,15.814239,0
2,0,0,3,0,25.496477,0
2,0,0,3,0,104.731813,0
2,0,0,3,0,20.270435,0
2,0,0,3,0,45.930525,0
2,0,0,3,0,7.378171,0
2,0,0,3,0,20.668034,0
2,0,0,3,0,35.359581,0
2,0,0,3,0,107.620093,0
2,0,0,3,0,37.337555,0
2,0,0,3,0,17.315011,0
2,0,0,3,0,16.23562,0
2,0,0,3,0,30.604601,0
2,0,0,3,0,28.363783,0
2,0,0,3,0,16.0005,0
2,0,0,3,0,20.927762,0
2,0,0,3,0,20.734171,0
2,0,0,3,0,21.919716,0
2,0,0,3,0,28.633061,0
2,0,0,3,0,31.847313,0
2,0,0,3,0,28.689607,0
2,0,0,3,0,32.095756,0
2,0,0,3,0,12.590748,0
2,0,0,3,0,6.192791,0
2,0,0,3,0,26.395841,0
2,0,0,3,0,39.396239,0
2,0,0,3,0,47.118951,0
2,0,0,3,0,7.607693,0
2,0,0,3,0,20.753305,0
2,0,0,3,0,7.033043,0
2,0,0,3,0,47.432749,0
2,0,0,3,0,43.641911,0
2,0,0,3,0,27.601252,0
2,0,0,3,0,120.258328,0
2,0,0,3,0,38.083093,0
2,0,0,3,0,16.412766,0
2,0,0,3,0,24.081564,0
2,0,0,3,0,41.329283,0
2,0,0,3,0,27.329787,0
2,0,0,3,0,14.754364,0
2,0,0,3,0,46.438736,0
2,0,0,3,0,19.898489,0
2,0,0,3,0,43.716118,0
2,0,0,3,0,22.551616,0
2,0,0,3,0,56.07988,0
2,0,0,3,0,32.053825,0
2,0,0,3,0,27.044824,0
2,0,0,3,0,27.50963,0
2,0,0,3,0,22.569503,0
2,0,0,3,0,19.401918,0
2,0,0,3,0,37.494446,0
2,0,0,3,0,19.511724,0
2,0,0,3,0,15.775384,0
2,0,0,3,0,31.825257,0
2,0,0,3,0,108.230335,0
2,0,0,3,0,29.173886,0
2,0,0,3,0,34.373029,0
2,0,0,3,0,47.096869,0
2,0,0,3,0,30.927221,0
2,0,0,3,0,34.476474,0
2,0,0,3,0,17.075049,0
2,0,0,3,0,41.084275,0
2,0,0,3,0,36.997549,0
2,0,0,3,0,47.161573,0
2,0,0,3,0,9.834682,0
2,0,0,3,0,53.715422,0
2,0,0,3,0,34.061291,0
2,0,0,3,0,25.25541,0
2,0,0,3,0,55.8928,0
2,0,0,3,0,19.899324,0
2,0,0,3,0,31.421517,0
2,0,0,3,0,18.958013,0
2,0,0,3,0,23.103282,0
2,0,0,3,0,40.866196,0
2,0,0,3,0,31.300609,0
2,0,0,3,0,12.799906,0
2,0,0,3,0,32.800816,0
2,0,0,3,0,27.557401,0
2,0,0,3,0,33.259257,0
2,0,0,3,0,35.55761,0
2,0,0,3,0,26.911611,0
2,0,0,3,0,39.014432,0
2,0,0,3,0,1.07185,0
2,0,0,3,0,25.982049,0
2,0,0,3,0,8.151955,0
2,0,0,3,0,20.162431,0
2,0,0,3,0,33.135441,0
2,0,0,3,0,55.603662,0
2,0,0,3,0,118.220193,0
2,0,0,3,0,11.36738,0
2,0,0,3,0,33.10344,0
2,0,0,3,0,47.934404,0
