bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,2,51,27,0,0,1,1,0,138,1,1.06,0.94
2,1,20,9,0,0,1,1,0,138,1,1.06,0.94
3,1,39,10,0,0,1,1,0,138,1,1.06,0.94
4,2,39,12,0,0,1,1,0,138,1,1.06,0.94
5,1,0,0,0,-40,1,1,0,138,1,1.06,0.94
6,2,52,22,0,0,1,1,0,138,1,1.06,0.94
7,1,19,2,0,0,1,1,0,138,1,1.06,0.94
8,2,28,0,0,0,1,1,0,345,1,1.06,0.94
9,1,0,0,0,0,1,1,0,345,1,1.06,0.94
10,2,0,0,0,0,1,1,0,345,1,1.06,0.94
11,1,70,23,0,0,1,1,0,138,1,1.06,0.94
12,2,47,10,0,0,1,1,0,138,1,1.06,0.94
13,1,34,16,0,0,1,1,0,138,1,1.06,0.94
14,1,14,1,0,0,1,1,0,138,1,1.06,0.94
15,2,90,30,0,0,1,1,0,138,1,1.06,0.94
16,1,25,10,0,0,1,1,0,138,1,1.06,0.94
17,1,11,3,0,0,1,1,0,138,1,1.06,0.94
18,2,60,34,0,0,1,1,0,138,1,1.06,0.94
19,2,45,25,0,0,1,1,0,138,1,1.06,0.94
20,1,18,3,0,0,1,1,0,138,1,1.06,0.94
21,1,14,8,0,0,1,1,0,138,1,1.06,0.94
22,1,10,5,0,0,1,1,0,138,1,1.06,0.94
23,1,7,3,0,0,1,1,0,138,1,1.06,0.94
24,2,13,0,0,0,1,1,0,138,1,1.06,0.94
25,2,0,0,0,0,1,1,0,138,1,1.06,0.94
26,2,0,0,0,0,1,1,0,345,1,1.06,0.94
27,2,71,13,0,0,1,1,0,138,1,1.06,0.94
28,1,17,7,0,0,1,1,0,138,1,1.06,0.94
29,1,24,4,0,0,1,1,0,138,1,1.06,0.94
30,1,0,0,0,0,1,1,0,345,1,1.06,0.94
31,2,43,27,0,0,1,1,0,138,1,1.06,0.94
32,2,59,23,0,0,1,1,0,138,1,1.06,0.94
33,1,23,9,0,0,1,1,0,138,1,1.06,0.94
34,2,59,26,0,14,1,1,0,138,1,1.06,0.94
35,1,33,9,0,0,1,1,0,138,1,1.06,0.94
36,2,31,17,0,0,1,1,0,138,1,1.06,0.94
37,1,0,0,0,-25,1,1,0,138,1,1.06,0.94
38,1,0,0,0,0,1,1,0,345,1,1.06,0.94
39,1,27,11,0,0,1,1,0,138,1,1.06,0.94
40,2,66,23,0,0,1,1,0,138,1,1.06,0.94
41,1,37,10,0,0,1,1,0,138,1,1.06,0.94
42,2,96,23,0,0,1,1,0,138,1,1.06,0.94
43,1,18,7,0,0,1,1,0,138,1,1.06,0.94
44,1,16,8,0,10,1,1,0,138,1,1.06,0.94
45,1,53,22,0,10,1,1,0,138,1,1.06,0.94
46,2,28,10,0,10,1,1,0,138,1,1.06,0.94
47,1,34,0,0,0,1,1,0,138,1,1.06,0.94
48,1,20,11,0,15,1,1,0,138,1,1.06,0.94
49,2,87,30,0,0,1,1,0,138,1,1.06,0.94
50,1,17,4,0,0,1,1,0,138,1,1.06,0.94
51,1,17,8,0,0,1,1,0,138,1,1.06,0.94
52,1,18,5,0,0,1,1,0,138,1,1.06,0.94
53,1,23,11,0,0,1,1,0,138,1,1.06,0.94
54,2,113,32,0,0,1,1,0,138,1,1.06,0.94
55,2,63,22,0,0,1,1,0,138,1,1.06,0.94
56,2,84,18,0,0,1,1,0,138,1,1.06,0.94
