bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
4,994.085,-7.94,320.28,-336.16,1.003,1600,1,1683.12,305.05,0,0,0,0,0,0,0,0,0,0,1683.1216
6,1084.63,-30.87,378.83,-440.57,1.003,2100,1,1938.18,231.08,0,0,0,0,0,0,0,0,0,0,1938.1774
9,2652.8,141.81,701.97,-418.35,1.003,4300,1,4498.26,807.34,0,0,0,0,0,0,0,0,0,0,4498.2554
11,2402.61,-17.94,899.03,-934.91,1.003,4100,1,3956.96,848.26,0,0,0,0,0,0,0,0,0,0,3956.9636
13,1929.025,207.49,697.21,-282.23,1.003,3400,1,3299.94,558.11,0,0,0,0,0,0,0,0,0,0,3299.9353
15,3479.425,361.045,1405.28,-683.19,1.003,5300,1,5393.53,1565.32,0,0,0,0,0,0,0,0,0,0,5393.5254
18,1305.43,23.19,319,-272.62,1.003,2000,1,2074.45,536.41,0,0,0,0,0,0,0,0,0,0,2074.4534
30,6392.915,11.185,4070.83,-4048.46,1.003,8900,1,9757.06,3028.77,0,0,0,0,0,0,0,0,0,0,9757.0576
35,5083.72,1136.34,5544.98,-3272.3,1.003,9000,1,8718.16,1449.28,0,0,0,0,0,0,0,0,0,0,8718.1563
36,2254.335,129.4,652.92,-394.12,1.003,3300,1,3493.62,1015.05,0,0,0,0,0,0,0,0,0,0,3493.625
40,191.725,48.255,247.19,-150.68,1.003,400,1,362.6,20.85,0,0,0,0,0,0,0,0,0,0,362.5961
43,400.445,71.525,311.04,-167.99,1.003,650,1,673.96,126.93,0,0,0,0,0,0,0,0,0,0,673.957
45,2010.625,89.785,765.95,-586.38,1.003,3600,1,3528.4,492.85,0,0,0,0,0,0,0,0,0,0,3528.4009
47,152.35,0.69,100.88,-99.5,1.003,220,1,233.68,71.02,0,0,0,0,0,0,0,0,0,0,233.6808
65,2932.815,353.385,1553.56,-846.79,1.003,5800,1,5459.92,405.71,0,0,0,0,0,0,0,0,0,0,5459.918
70,1239.795,-79.99,642.85,-802.83,1.003,2600,1,2377.38,102.21,0,0,0,0,0,0,0,0,0,0,2377.3799
77,7403.065,135.05,2448.15,-2178.05,1.003,10400,1,11165.05,3641.08,0,0,0,0,0,0,0,0,0,0,11165.0508
79,10354.215,2358.21,6030.37,-1313.95,1.003,20000,1,18208.22,2500.21,0,0,0,0,0,0,0,0,0,0,18208.2246
103,737.535,-14.145,327.94,-356.23,1.003,1500,1,1359.89,115.18,0,0,0,0,0,0,0,0,0,0,1359.8911
112,1328.115,-16.82,421.05,-454.69,1.003,2100,1,2247.11,409.12,0,0,0,0,0,0,0,0,0,0,2247.1069
116,805.425,-7.445,275.09,-289.98,1.003,1200,1,1298.69,312.16,0,0,0,0,0,0,0,0,0,0,1298.6926
118,4482.46,1027.675,2735.8,-680.45,1.003,6900,1,7386.77,1578.15,0,0,0,0,0,0,0,0,0,0,7386.77
138,1178.09,-18.965,307.09,-345.02,1.003,2000,1,2043.61,312.57,0,0,0,0,0,0,0,0,0,0,2043.6079
140,3469.755,594.35,2149.72,-961.02,1.003,6400,1,6145.22,794.29,0,0,0,0,0,0,0,0,0,0,6145.2231
144,1866.725,262.135,856.6,-332.33,1.003,3400,1,3135.12,598.33,0,0,0,0,0,0,0,0,0,0,3135.1221
148,2041.235,252.83,746.55,-240.89,1.003,3400,1,3402.54,679.93,0,0,0,0,0,0,0,0,0,0,3402.5374
149,2590.31,-21.69,582.17,-625.55,1.003,4400,1,4251.85,928.77,0,0,0,0,0,0,0,0,0,0,4251.854
159,2214.085,697.35,10604.58,-9209.88,1.003,3300,1,3483.05,945.12,0,0,0,0,0,0,0,0,0,0,3483.0479
162,501.625,-587.665,9359.49,-10534.82,1.003,900,1,839.66,163.59,0,0,0,0,0,0,0,0,0,0,839.6633
