2,startup,shutdown,n,c2,c1,c0
2,0,0,3,0,23.55253,0
2,0,0,3,0,17.52574,0
2,0,0,3,0,50.253548,0
2,0,0,3,0,7.78454,0
2,0,0,3,0,7.164105,0
2,0,0,3,0,32.436958,0
2,0,0,3,0,31.156469,0
2,0,0,3,0,22.737499,0
2,0,0,3,0,19.952184,0
2,0,0,3,0,31.242137,0
2,0,0,3,0,24.807784,0
2,0,0,3,0,28.383968,0
2,0,0,3,0,34.755431,0
2,0,0,3,0,7.698014,0
2,0,0,3,0,105.404954,0
2,0,0,3,0,40.082606,0
2,0,0,3,0,25.63009,0
2,0,0,3,0,103.348768,0
2,0,0,3,0,6.769987,0
2,0,0,3,0,11.50831,0
2,0,0,3,0,37.856831,0
2,0,0,3,0,36.108116,0
2,0,0,3,0,49.860247,0
2,0,0,3,0,19.863282,0
2,0,0,3,0,28.216009,0
2,0,0,3,0,25.247027,0
2,0,0,3,0,39.435718,0
2,0,0,3,0,22.418634,0
2,0,0,3,0,25.395707,0
2,0,0,3,0,112.919983,0
2,0,0,3,0,29.447096,0
2,0,0,3,0,27.360187,0
2,0,0,3,0,43.054554,0
2,0,0,3,0,21.95488,0
2,0,0,3,0,21.935047,0
2,0,0,3,0,0,0
2,0,0,3,0,32.738635,0
2,0,0,3,0,24.642891,0
2,0,0,3,0,17.386501,0
2,0,0,3,0,25.623984,0
2,0,0,3,0,36.008261,0
2,0,0,3,0,33.638878,0
2,0,0,3,0,60.295192,0
2,0,0,3,0,115.784252,0
2,0,0,3,0,19.747758,0
2,0,0,3,0,139.406671,0
2,0,0,3,0,40.62684,0
2,0,0,3,0,33.390411,0
2,0,0,3,0,9.116809,0
2,0,0,3,0,22.599236,0
2,0,0,3,0,36.557379,0
2,0,0,3,0,29.600547,0
2,0,0,3,0,23.127115,0
2,0,0,3,0,19.029025,0
2,0,0,3,0,26.628665,0
2,0,0,3,0,23.06917,0
2,0,0,3,0,19.755158,0
2,0,0,3,0,111.468783,0
2,0,0,3,0,37.36433,0
2,0,0,3,0,29.305594,0
2,0,0,3,0,43.487946,0
2,0,0,3,0,18.009089,0
2,0,0,3,0,27.186796,0
2,0,0,3,0,0,0
2,0,0,3,0,39.855613,0
2,0,0,3,0,52.291471,0
2,0,0,3,0,32.821502,0
2,0,0,3,0,22.434142,0
2,0,0,3,0,35.060251,0
2,0,0,3,0,58.640953,0
2,0,0,3,0,40.111583,0
2,0,0,3,0,10.724076,0
2,0,0,3,0,29.604602,0
2,0,0,3,0,7.148098,0
2,0,0,3,0,14.12028,0
2,0,0,3,0,32.489744,0
2,0,0,3,0,32.920521,0
2,0,0,3,0,28.879314,0
2,0,0,3,0,7.795262,0
2,0,0,3,0,14.49579,0
2,0,0,3,0,33.529629,0
2,0,0,3,0,14.148633,0
2,0,0,3,0,22.360086,0
2,0,0,3,0,23.153973,0
2,0,0,3,0,32.076694,0
2,0,0,3,0,31.799668,0
2,0,0,3,0,48.375219,0
2,0,0,3,0,20.048511,0
2,0,0,3,0,13.581555,0
2,0,0,3,0,31.58479,0
2,0,0,3,0,45.195796,0
2,0,0,3,0,39.759127,0
2,0,0,3,0,14.530332,0
2,0,0,3,0,15.136833,0
2,0,0,3,0,42.828324,0
2,0,0,3,0,14.38957,0
2,0,0,3,0,38.966466,0
2,0,0,3,0,15.486578,0
2,0,0,3,0,41.492611,0
2,0,0,3,0,28.466295,0
2,0,0,3,0,27.25565,0
2,0,0,3,0,24.837547,0
2,0,0,3,0,28.019241,0
2,0,0,3,0,11.786936,0
2,0,0,3,0,29.985739,0
2,0,0,3,0,28.815976,0
2,0,0,3,0,37.698432,0
2,0,0,3,0,48.831293,0
2,0,0,3,0,32.211888,0
2,0,0,3,0,105.104656,0
2,0,0,3,0,37.879273,0
2,0,0,3,0,33.634935,0
2,0,0,3,0,30.107834,0
2,0,0,3,0,37.793235,0
2,0,0,3,0,31.239418,0
2,0,0,3,0,28.663274,0
2,0,0,3,0,24.405861,0
2,0,0,3,0,38.01667,0
2,0,0,3,0,32.247846,0
2,0,0,3,0,24.38896,0
2,0,0,3,0,11.81616,0
2,0,0,3,0,29.852868,0
2,0,0,3,0,28.252173,0
2,0,0,3,0,102.698216,0
2,0,0,3,0,23.707527,0
2,0,0,3,0,26.935133,0
2,0,0,3,0,19.266401,0
2,0,0,3,0,27.88954,0
2,0,0,3,0,20.456741,0
2,0,0,3,0,26.092954,0
2,0,0,3,0,37.210311,0
2,0,0,3,0,27.338561,0
2,0,0,3,0,7.157129,0
2,0,0,3,0,38.956112,0
2,0,0,3,0,40.642352,0
2,0,0,3,0,18.781578,0
2,0,0,3,0,43.330859,0
2,0,0,3,0,31.905335,0
2,0,0,3,0,9.594434,0
2,0,0,3,0,25.215165,0
2,0,0,3,0,114.365663,0
2,0,0,3,0,24.14915,0
2,0,0,3,0,24.948779,0
