bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
1,18,5,10,0,1,100,1,20,16
1,18,5,10,0,1,100,1,20,16
1,45.6,2.5,30,-25,1,100,1,76,15.2
1,45.6,2.5,30,-25,1,100,1,76,15.2
2,18,5,10,0,1,100,1,20,16
2,18,5,10,0,1,100,1,20,16
2,45.6,2.5,30,-25,1,100,1,76,15.2
2,45.6,2.5,30,-25,1,100,1,76,15.2
7,62.5,30,60,0,1,100,1,100,25
7,62.5,30,60,0,1,100,1,100,25
7,62.5,30,60,0,1,100,1,100,25
13,133,40,80,0,1,100,1,197,69
13,133,40,80,0,1,100,1,197,69
13,133,40,80,0,1,100,1,197,69
14,0,75,200,-50,1,100,1,0,0
15,7.2,3,6,0,1,100,1,12,2.4
15,7.2,3,6,0,1,100,1,12,2.4
15,7.2,3,6,0,1,100,1,12,2.4
15,7.2,3,6,0,1,100,1,12,2.4
15,7.2,3,6,0,1,100,1,12,2.4
15,104.65,15,80,-50,1,100,1,155,54.3
16,104.65,15,80,-50,1,100,1,155,54.3
18,250,75,200,-50,1,100,1,400,100
21,250,75,200,-50,1,100,1,400,100
22,30,3,16,-10,1,100,1,50,10
22,30,3,16,-10,1,100,1,50,10
22,30,3,16,-10,1,100,1,50,10
22,30,3,16,-10,1,100,1,50,10
22,30,3,16,-10,1,100,1,50,10
22,30,3,16,-10,1,100,1,50,10
23,104.65,15,80,-50,1,100,1,155,54.3
23,104.65,15,80,-50,1,100,1,155,54.3
23,245,62.5,150,-25,1,100,1,350,140
