bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
3,1,151,48.8,0,4.69,0,1,0,220,5,1.1,0.9
4,1,171.41,23.4,0,2.1,0,1,0,220,5,1.1,0.9
10,1,134,24.7,0,12.44,0,1,0,220,5,1.1,0.9
15,1,59.67,26.7,0,12.84,0,1,0,220,4,1.1,0.9
21,1,161.2,39.3,0,30.71,0,1,0,220,5,1.1,0.9
22,1,0,-0,0,0.85,0,1,0,220,5,1.1,0.9
26,1,167.3,54.8,0,110.54,0,1,0,380,5,1.1,0.9
29,1,152.9,49.4,0,27.65,0,1,0,380,5,1.1,0.9
32,2,0,0,0,0,0,1,0,220,4,1.1,0.9
33,2,0,0,0,0,0,1,0,220,4,1.1,0.9
38,1,42.75,12.8,0,13.3,0,1,0,220,8,1.1,0.9
39,2,0,0,0,0,0,1,0,150,10,1.1,0.9
42,1,20.82,7.9,0,26.89,0,1,0,380,4,1.1,0.9
44,1,-0,0,0,7.27,0,1,0,220,5,1.1,0.9
51,2,0,0,0,0,0,1,0,220,4,1.1,0.9
52,1,127.6,31.8,0,20.51,0,1,0,150,8,1.1,0.9
53,1,48.65,16.1,0,7.14,0,1,0,220,5,1.1,0.9
58,1,0,0,0,2.31,0,1,0,380,5,1.1,0.9
59,1,119.2,20.7,0,3.31,0,1,0,220,5,1.1,0.9
69,1,62.87,20.5,0,1.15,0,1,0,150,8,1.1,0.9
71,1,126.3,42.4,0,55.24,0,1,0,150,8,1.1,0.9
72,1,6.91,-4.6,0,5.75,0,1,0,220,4,1.1,0.9
75,1,38.74,6.1,0,1.17,0,1,0,220,4,1.1,0.9
76,1,22.13,10.7,0,14.21,0,1,0,220,8,1.1,0.9
77,1,-0,-0,0,0.73,0,1,0,220,4,1.1,0.9
89,1,0,0,0.199111,4.530599,0,1,0,380,2,1.1,0.9
90,1,363.25,115.39,0,3.95,0,1,0,220,5,1.1,0.9
91,1,-0,0,0,0.02,0,1,0,150,8,1.1,0.9
96,1,-8.4,28.66,0,3.49,0,1,0,220,5,1.1,0.9
113,1,-0,-0,0,6.532711,0,1,0,380,5,1.1,0.9
115,1,0,-0,0,4.21,0,1,0,220,5,1.1,0.9
118,1,704.53,-35.33,0,13.102834,0,1,0,380,5,1.1,0.9
124,2,0,0,0,0,0,1,0,220,5,1.1,0.9
128,1,23.73,12.7,0,0.52,0,1,0,220,5,1.1,0.9
