bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
32,8.1,0.675,5.91,-4.56,1,100,1,16.2,0
33,2.69,0.595,2.27,-1.08,1,100,1,5.38,0
39,20,5.31,17.76,-7.14,1,100,1,40,0
51,-46.335,0.645,5.48,-4.19,1,100,1,100,-192.67
124,666.665,133.865,440.32,-172.59,1,100,1,1000,333.33
150,80,27.275,77.09,-22.54,1,100,1,160,0
179,-69.465,0.46,52.64,-51.72,1,100,1,100,-238.93
194,200,38.33,130.19,-53.53,1,100,1,300,100
201,2.685,0.6,2.27,-1.07,1,100,1,5.37,0
221,-53.59,59.31,183.92,-65.3,1,100,1,100,-207.18
299,1066.665,231.27,721.25,-258.71,1,100,1,1600,533.33
338,60,18.19,55.54,-19.16,1,100,1,120,0
352,1333.335,314.335,926.35,-297.68,1,100,1,2000,666.67
389,60,19.445,56.73,-17.84,1,100,1,120,0
413,140,37.14,124.12,-49.84,1,100,1,280,0
440,60,18.36,55.73,-19.01,1,100,1,120,0
442,23.1,0.51,1.95,-0.93,1,100,1,100,-53.8
453,270,91.415,257.23,-74.4,1,100,1,540,0
489,-21.6,0.73,6.28,-4.82,1,100,1,100,-143.2
516,400,77.56,261.79,-106.67,1,100,1,600,200
564,15.555,-0.44,18.47,-19.35,1,100,1,100,-68.89
583,-130,5.425,17.88,-7.03,1,100,1,100,-360
615,20,4.65,17.09,-7.79,1,100,1,40,0
616,320,68.37,217.9,-81.16,1,100,1,480,160
618,533.335,106.035,351.18,-139.11,1,100,1,800,266.67
628,90,23.55,78.79,-31.69,1,100,1,180,0
639,19.2,48.31,135.52,-38.9,1,100,1,100,-61.6
642,138.045,-1.45,90.13,-93.03,1,100,1,276.09,0
682,40,13.855,38.77,-11.06,1,100,1,80,0
686,35.57,0.245,34.75,-34.26,1,100,1,100,-28.86
698,200,38.015,129.94,-53.91,1,100,1,300,100
709,32.65,0.7,22.23,-20.83,1,100,1,65.3,0
739,333.335,59.76,212.97,-93.45,1,100,1,500,166.67
749,120,30.925,105.69,-43.84,1,100,1,240,0
751,150,44.85,136.94,-47.24,1,100,1,300,0
757,60,13.945,51.3,-23.41,1,100,1,120,0
776,-24.265,5.715,18.16,-6.73,1,100,1,100,-148.53
778,16.79,1.505,12.37,-9.36,1,100,1,33.58,0
780,40,12.555,37.43,-12.32,1,100,1,80,0
795,40,11.855,36.75,-13.04,1,100,1,80,0
803,-9.465,24.245,74.03,-25.54,1,100,1,100,-118.93
807,1333.335,251.75,864.47,-360.97,1,100,1,2000,666.67
823,1333.335,314.185,926.68,-298.31,1,100,1,2000,666.67
849,8.785,0.77,6.45,-4.91,1,100,1,17.57,0
