2,startup,shutdown,n,c2,c1,c0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,22.409835,0
2,0,0,3,0,46.100054,0
2,0,0,3,0,54.164939,0
2,0,0,3,0,27.238416,0
2,0,0,3,0,38.430722,0
2,0,0,3,0,7.698908,0
2,0,0,3,0,26.754128,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,30.597916,0
2,0,0,3,0,30.758666,0
2,0,0,3,0,19.292281,0
2,0,0,3,0,49.861855,0
2,0,0,3,0,35.842363,0
2,0,0,3,0,34.955965,0
2,0,0,3,0,22.762722,0
2,0,0,3,0,0,0
2,0,0,3,0,35.375974,0
2,0,0,3,0,0,0
2,0,0,3,0,33.868524,0
2,0,0,3,0,29.031265,0
2,0,0,3,0,28.391517,0
2,0,0,3,0,1.000203,0
2,0,0,3,0,27.278538,0
2,0,0,3,0,49.15571,0
2,0,0,3,0,24.062655,0
2,0,0,3,0,31.016664,0
2,0,0,3,0,49.721799,0
2,0,0,3,0,21.291665,0
2,0,0,3,0,31.437031,0
2,0,0,3,0,50.842869,0
2,0,0,3,0,28.01046,0
2,0,0,3,0,39.828572,0
2,0,0,3,0,35.650779,0
2,0,0,3,0,32.621266,0
2,0,0,3,0,39.657688,0
2,0,0,3,0,41.223312,0
2,0,0,3,0,39.064721,0
2,0,0,3,0,116.939409,0
2,0,0,3,0,34.336562,0
2,0,0,3,0,38.274878,0
2,0,0,3,0,23.466762,0
2,0,0,3,0,7.509959,0
2,0,0,3,0,26.682965,0
2,0,0,3,0,28.434868,0
2,0,0,3,0,35.126651,0
2,0,0,3,0,51.062397,0
2,0,0,3,0,29.992015,0
2,0,0,3,0,103.987496,0
2,0,0,3,0,38.825689,0
2,0,0,3,0,6.843072,0
2,0,0,3,0,29.772562,0
2,0,0,3,0,62.427103,0
2,0,0,3,0,20.811515,0
2,0,0,3,0,26.50789,0
2,0,0,3,0,31.587517,0
2,0,0,3,0,29.759924,0
2,0,0,3,0,36.179055,0
2,0,0,3,0,36.908367,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,32.961473,0
2,0,0,3,0,94.758209,0
