fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax
1,31,0.0013,0.0099,0.02132,260,312,390,0,0,1,-30,30
3,7,0.07479,0.29968,0,260,312,390,0,0,1,-30,30
3,10,1.0352,0.9,0,260,312,390,0,0,1,-30,30
3,28,0.03978,0.26486,0,260,312,390,0,0,1,-30,30
3,29,1.0789,0.9,0,260,312,390,0,0,1,-30,30
3,33,0.13857,0.28969,0,260,312,390,0,0,1,-30,30
3,44,0.07496,0.30013,0,260,312,390,0,0,1,-30,30
4,9,0.39394,0.9,0,260,312,390,0,0,1,-30,30
4,15,0.0111,0.16469,0,260,312,390,0,0,1,-30,30
4,33,0.05555,0.36498,0,260,312,390,0,0,1,-30,30
5,9,0.29041,0.5542,0,260,312,390,0,0,1,-30,30
5,47,0.15248,0.33587,0,260,312,390,0,0,1,-30,30
6,16,0.0042,0.0253,0.0485,260,312,390,0,0,1,-30,30
6,54,0.0046,0.0315,0.059,420.23,504.27,630.34,0,0,1,-30,30
7,28,-0.0656,0.84873,0,260,312,390,0,0,1,-30,30
7,33,0.15749,0.77703,0,260,312,390,0,0,1,-30,30
7,44,0.0162,0.1815,0,260,312,390,0,0,1,-30,30
8,10,-0.0598,0.2664,0,260,312,390,0,0,1,-30,30
8,29,-0.0578,0.27321,0,260,312,390,0,0,1,-30,30
8,34,0.01979,0.0496,0,260,312,390,0,0,1,-30,30
9,10,0.46671,0.9,0,260,312,390,0,0,1,-30,30
9,15,0.39058,0.9,0,260,312,390,0,0,1,-30,30
9,29,0.50043,0.9,0,260,312,390,0,0,1,-30,30
9,33,0.98041,0.9,0,260,312,390,0,0,1,-30,30
9,34,0.54064,0.64634,0,260,312,390,0,0,1,-30,30
9,47,0.14495,0.27334,0,260,312,390,0,0,1,-30,30
10,28,0.48924,0.9,0,260,312,390,0,0,1,-30,30
10,29,0.0009,0.0003,0,260,312,390,0,0,1,-30,30
10,33,0.95414,0.9,0,260,312,390,0,0,1,-30,30
10,34,0.01526,0.02962,0,260,312,390,0,0,1,-30,30
11,47,0.16551,0.4737,0,260,312,390,0,0,1,-30,30
