bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
22,165.5,50.5,162,-61,1.03,235,1,221,110
23,170,57.5,140,-25,1.03,235,1,200,140
35,0,0,190,-19,1.03,426,0,370,240
35,0,0,190,-19,1.03,426,0,370,240
35,305,85.5,190,-19,1.03,426,1,370,240
36,305,85.5,190,-19,1.03,426,1,370,240
36,305,85.5,190,-19,1.03,426,1,370,240
37,305,85.5,190,-19,1,426,1,370,240
37,305,85.5,190,-19,1,426,1,370,240
37,305,85.5,190,-19,1,426,1,370,240
38,305,85.5,190,-19,1,426,1,370,240
38,305,85.5,190,-19,1,426,1,370,240
38,305,85.5,190,-19,1,426,1,370,240
55,162.5,59.5,152,-33,1.03,235,1,215,110
55,0,0,152,-33,1.03,235,0,220,125
56,0,0,149,-33,1.03,235,0,225,125
56,167.5,58,149,-33,1.03,235,1,225,110
57,167.5,58,149,-33,1.03,235,1,225,110
57,172.5,58,149,-33,1.03,235,1,225,120
58,395,158,363,-47,1,588,1,535,255
59,405,124,348,-100,1,588,1,560,250
68,177,53,120,-14,1.03,235,1,225,129
69,177,53,120,-14,1.03,235,1,225,129
69,177,44.5,99,-10,1.03,235,1,225,129
70,0,0,120,-14,1,235,0,225,129
70,0,0,120,-14,1,235,0,225,129
71,177,44.5,99,-10,1,235,1,225,129
71,177,53,120,-14,1,235,1,225,129
92,180,63.5,134,-7,1.03,271,1,220,140
92,182.5,62.5,131,-6,1.03,271,1,225,140
93,0,0,131,-6,1.03,271,0,225,140
93,182.5,62.5,131,-6,1.03,271,1,225,140
93,182.5,62.5,131,-6,1.03,271,1,225,140
96,281.5,91.5,213,-30,1,426,1,383,180
96,280,90.5,212,-31,1,435,1,380,180
113,0,0,0,0,1.03,12,0,12,0
113,0,0,0,0,1.03,6,0,6,0
113,10.5,0,0,0,1.03,26,1,21,0
119,172.5,55,120,-10,1.03,271,1,225,120
120,172.5,55,120,-10,1.03,271,1,225,120
121,95,36,73,-1,1.03,150,1,120,70
122,95,36,73,-1,1.03,150,1,120,70
132,0,0,79,0,1.03,150,0,120,70
