bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
10071,169.25,0,103,-103,1.03,285,1,204.6,133.9
10079,454.9,1862.5,4000,-275,1,2031,1,549.9,359.9
10080,9.6,0,6,-6,1,119,1,11.6,7.6
10090,518.7,0,314,-314,1,806,1,627,410.4
10094,700.7,0,424,-424,1,970,1,847,554.4
10095,681.65,0,621,-621,1,1439,1,1241.5,121.8
10100,1601.6,0,968,-968,1,2202,1,1936,1267.2
10104,682.5,0,413,-413,1,939,1,825,540
10115,354.9,0,215,-215,1,492,1,429,280.8
10116,354.9,0,215,-215,1,492,1,429,280.8
10118,1365,0,825,-825,1,1876,1,1650,1080
10126,536.9,0,325,-325,1,786,1,649,424.8
10129,2093,0,1265,-1265,1,2974,1,2530,1656
10132,737.1,0,446,-446,1,1014,1,891,583.2
10139,819,0,495,-495,1,1143,1,990,648
10140,1228.5,0,743,-743,1,1705,1,1485,972
10141,1547,0,935,-935,1,2125,1,1870,1224
10146,145.6,0,88,-88,1.03,224,1,176,115.2
10150,254.8,0,154,-154,1,427,1,308,201.6
10171,106.95,0,65,-65,1,715,1,129.3,84.6
10176,241.4,0,146,-146,1,346,1,291.8,191
10177,241.4,0,146,-146,1,346,1,291.8,191
10186,438.65,0,268,-268,1.03,618,1,534.6,342.7
10187,438.65,0,268,-268,1.03,618,1,534.6,342.7
10188,439.55,0,266,-266,1,618,1,531.3,347.8
10189,412.65,0,272,-272,1,620,1,542.3,283
10190,486.05,0,301,-301,1,683,1,600.6,371.5
10191,485.15,0,300,-300,1,682,1,599.5,370.8
10192,179.55,0,124,-124,1.03,281,1,247.5,111.6
10194,103.9,0,72,-72,1,184,1,143,64.8
10196,136.5,0,83,-83,1,215,1,165,108
10223,62.75,0,63,-63,1,189,1,125.5,0
10225,175.3,0,137,-137,1.035,333,1,272.8,77.8
10226,87.7,0,71,-71,1.035,198,1,140.8,34.6
10227,14.55,0,9,-9,1.035,191,1,17.6,11.5
10228,23.65,0,15,-15,1.035,135,1,28.6,18.7
10229,50.05,0,31,-31,1.035,85,1,60.5,39.6
10230,0.05,0,1,-1,1.035,132,1,0.1,0
10232,14.2,0,9,-9,1.035,64,1,17.2,11.2
10233,57.35,0,35,-35,1.035,79,1,69.3,45.4
10234,4.55,0,3,-3,1.035,115,1,5.5,3.6
10235,36.4,0,22,-22,1.035,83,1,44,28.8
10236,151.05,0,92,-92,1.035,219,1,182.6,119.5
10237,63.7,0,39,-39,1.035,121,1,77,50.4
10238,78.25,0,48,-48,1.035,179,1,94.6,61.9
10239,79.15,0,48,-48,1.035,109,1,95.7,62.6
10240,0.05,0,1,-1,1.035,128,1,0.1,0
10246,184.75,0,112,-112,1.035,262,1,223.3,146.2
10247,129.2,0,79,-79,1.035,215,1,156.2,102.2
10248,154.7,0,94,-94,1.035,241,1,187,122.4
10249,161.8,0,98,-98,1.035,225,1,195.6,128
10250,473.2,0,286,-286,1.035,650,1,572,374.4
10251,473.2,0,286,-286,1.035,650,1,572,374.4
10252,473.2,0,286,-286,1.035,650,1,572,374.4
10253,237.5,0,144,-144,1.035,341,1,287.1,187.9
10254,433.15,0,262,-262,1.035,598,1,523.6,342.7
10255,152.9,0,93,-93,1.035,210,1,184.8,121
10256,354.9,0,215,-215,1.035,489,1,429,280.8
10257,177.45,0,108,-108,1.035,250,1,214.5,140.4
10258,163.8,0,99,-99,1.035,230,1,198,129.6
10259,358.55,0,217,-217,1.035,519,1,433.4,283.7
10260,537.8,0,326,-326,1.035,741,1,650.1,425.5
10261,765.55,0,476,-476,1.035,1100,1,951.5,579.6
10262,765.55,0,476,-476,1.035,1100,1,951.5,579.6
10263,85.55,0,52,-52,1.035,121,1,103.4,67.7
10264,354.9,0,215,-215,1.035,489,1,429,280.8
10265,354.9,0,215,-215,1.035,496,1,429,280.8
10266,4.55,0,3,-3,1.035,72,1,5.5,3.6
10267,5.45,0,4,-4,1.035,120,1,6.6,4.3
10268,26.4,0,16,-16,1.035,37,1,31.9,20.9
10269,179.95,0,146,-146,1.035,338,1,291.5,68.4
10270,0.05,0,1,-1,1.035,40,1,0.1,0
10271,197.45,0,120,-120,1.035,286,1,238.7,156.2
10272,30.95,0,19,-19,1.035,116,1,37.4,24.5
10273,209.3,0,127,-127,1.035,321,1,253,165.6
10274,143.35,0,113,-113,1.035,317,1,225.5,61.2
10275,65.8,0,55,-55,1.035,125,1,110,21.6
10276,135.6,0,82,-82,1.035,189,1,163.9,107.3
10277,101.9,0,62,-62,1.035,225,1,123.2,80.6
10278,163.8,0,99,-99,1.035,233,1,198,129.6
10279,163.8,0,99,-99,1.035,233,1,198,129.6
10281,3.65,0,3,-3,1.035,20,1,4.4,2.9
10282,172.7,0,144,-144,1.035,357,1,287.1,58.3
10284,594.7,0,386,-386,1.035,919,1,771.1,418.3
10285,0.05,0,1,-1,1.035,132,1,0.1,0
10288,26.4,0,16,-16,1.035,63,1,31.9,20.9
10289,17.4,0,18,-18,1.035,41,1,34.1,0.7
10290,35.5,0,22,-22,1.035,49,1,42.9,28.1
10291,7.3,0,5,-5,1.035,71,1,8.8,5.8
10292,394.95,0,239,-239,1.035,638,1,477.4,312.5
10293,24.55,0,15,-15,1.035,46,1,29.7,19.4
10294,10,0,7,-7,1.035,74,1,12.1,7.9
10295,192,0,117,-117,1.035,299,1,232.1,151.9
10296,249.35,0,151,-151,1.035,461,1,301.4,197.3
24,165.5,31,111,-49,1.03,235.3,1,221,110
25,167.5,39,100,-22,1.03,235.3,1,200,135
