bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
2,2,0,0,0,0,1,0.975,0,138,1,1.05,0.9
3,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
4,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
5,1,0,0,0,0,1,0.975,0,138,1,1.05,0.9
6,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
7,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
8,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
9,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
10,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
11,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
12,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
13,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
14,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
15,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
16,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
17,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
18,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
19,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
20,2,0,0,0,0,1,0.975,0,138,1,1.05,0.9
21,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
22,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
23,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
24,2,0,0,0,0,1,0.975,0,138,1,1.05,0.9
25,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
26,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
27,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
28,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
29,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
30,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
31,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
32,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
33,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
34,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
35,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
36,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
37,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
38,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
39,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
40,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
41,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
42,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
43,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
44,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
45,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
46,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
47,1,0,0,0,0,1,0.975,0,138,1,1.05,0.9
48,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
49,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
50,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
51,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
52,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
53,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
54,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
55,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
56,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
57,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
58,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
59,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
60,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
61,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
62,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
63,2,0,0,0,0,1,0.975,0,138,1,1.05,0.9
64,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
65,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
66,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
67,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
68,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
69,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
70,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
71,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
72,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
73,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
74,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
75,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
76,2,0,0,0,0,1,0.975,0,138,1,1.05,0.9
77,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
78,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
79,2,0,0,0,0,1,0.975,0,138,1,1.05,0.9
80,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
81,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
82,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
83,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
84,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
85,1,0,0,0,0,1,0.975,0,138,1,1.05,0.9
86,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
87,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
88,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
89,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
90,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
91,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
92,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
93,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
94,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
95,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
96,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
97,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
98,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
99,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
100,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
101,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
102,2,0,0,0,0,1,0.975,0,138,1,1.05,0.9
103,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
104,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
105,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
106,1,0,0,0,0,1,0.975,0,138,1,1.05,0.9
107,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
108,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
109,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
110,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
111,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
112,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
113,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
114,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
115,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
116,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
117,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
118,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
119,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
120,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
121,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
122,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
123,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
124,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
125,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
126,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
127,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
128,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
129,2,0,0,0,0,1,0.975,0,69,1,1.05,0.9
130,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
131,1,0,0,0,0,1,0.975,0,69,1,1.05,0.9
132,1,6.04,2.174,0,0,1,0.975,0,69,1,1.05,0.9
133,1,5.09,0.731,0,0,1,0.975,0,69,1,1.05,0.9
134,1,8.531,0.858,0,0,1,0.975,0,69,1,1.05,0.9
135,1,4.563,0.663,0,0,1,0.975,0,69,1,1.05,0.9
136,1,11.135,1.989,0,0,1,0.975,0,69,1,1.05,0.9
137,1,4.504,0.653,0,0,1,0.975,0,69,1,1.05,0.9
138,1,7.244,0.731,0,0,1,0.975,0,69,1,1.05,0.9
139,1,8.853,0.897,0,0,1,0.975,0,69,1,1.05,0.9
140,1,4.456,0.448,0,0,1,0.975,0,69,1,1.05,0.9
141,1,7.595,1.092,0,0,1,0.975,0,69,1,1.05,0.9
142,1,4.144,0.741,0,0,1,0.975,0,69,1,1.05,0.9
143,1,7.761,0.78,0,0,1,0.975,0,69,1,1.05,0.9
144,1,7.215,1.287,0,0,1,0.975,0,69,1,1.05,0.9
145,1,5.684,1.014,0,0,1,0.975,0,69,1,1.05,0.9
146,1,3.559,0.517,0,0,1,0.975,0,69,1,1.05,0.9
147,1,13.299,1.921,0,0,1,0.975,0,69,1,1.05,0.9
148,1,3.139,0.322,0,0,1,0.975,0,69,1,1.05,0.9
149,1,3.18,0.887,0,0,1,0.975,0,69,1,1.05,0.9
150,1,3.286,0.478,0,0,1,0.975,0,69,1,1.05,0.9
151,1,4.173,0.419,0,0,1,0.975,0,69,1,1.05,0.9
152,1,7.03,1.258,0,0,1,0.975,0,69,1,1.05,0.9
153,1,6.045,1.082,0,0,1,0.975,0,69,1,1.05,0.9
154,1,6.25,0.634,0,0,1,0.975,0,69,1,1.05,0.9
155,1,7.059,1.014,0,0,1,0.975,0,69,1,1.05,0.9
156,1,3.452,0.351,0,0,1,0.975,0,69,1,1.05,0.9
157,1,8.151,1.18,0,0,1,0.975,0,69,1,1.05,0.9
158,1,6.367,0.917,0,0,1,0.975,0,69,1,1.05,0.9
159,1,15.229,2.194,0,0,1,0.975,0,69,1,1.05,0.9
160,1,34.544,6.172,0,0,1,0.975,0,69,1,1.05,0.9
161,1,8.414,1.501,0,0,1,0.975,0,69,1,1.05,0.9
162,1,22.942,2.321,0,0,1,0.975,0,69,1,1.05,0.9
163,1,12.607,2.252,0,0,1,0.975,0,69,1,1.05,0.9
164,1,5.333,0.955,0,0,1,0.975,0,69,1,1.05,0.9
165,1,8.736,1.56,0,0,1,0.975,0,69,1,1.05,0.9
166,1,4.865,0.488,0,0,1,0.975,0,69,1,1.05,0.9
167,1,3.92,0.702,0,0,1,0.975,0,69,1,1.05,0.9
168,1,13.709,1.385,0,0,1,0.975,0,69,1,1.05,0.9
169,1,12.11,1.745,0,0,1,0.975,0,69,1,1.05,0.9
170,1,24.638,2.486,0,0,1,0.975,0,69,1,1.05,0.9
171,1,2.038,0.292,0,0,1,0.975,0,69,1,1.05,0.9
172,1,5.324,0.536,0,0,1,0.975,0,69,1,1.05,0.9
173,1,6.474,0.653,0,0,1,0.975,0,69,1,1.05,0.9
174,1,3.627,0.526,0,0,1,0.975,0,69,1,1.05,0.9
175,1,5.762,0.585,0,0,1,0.975,0,69,1,1.05,0.9
176,1,5.304,0.77,0,0,1,0.975,0,69,1,1.05,0.9
177,1,18.71,2.701,0,0,1,0.975,0,69,1,1.05,0.9
178,1,2.827,0.283,0,0,1,0.975,0,69,1,1.05,0.9
179,1,8.034,1.433,0,0,1,0.975,0,69,1,1.05,0.9
180,1,4.329,0.624,0,0,1,0.975,0,69,1,1.05,0.9
181,1,3.871,0.556,0,0,1,0.975,0,69,1,1.05,0.9
182,1,9.126,1.316,0,0,1,0.975,0,69,1,1.05,0.9
183,1,9.662,1.394,0,0,1,0.975,0,69,1,1.05,0.9
184,1,4.856,0.868,0,0,1,0.975,0,69,1,1.05,0.9
185,1,1.404,0.146,0,0,1,0.975,0,69,1,1.05,0.9
186,1,4.504,0.653,0,0,1,0.975,0,69,1,1.05,0.9
187,1,8.892,1.589,0,0,1,0.975,0,69,1,1.05,0.9
188,1,3.559,0.361,0,0,1,0.975,0,69,1,1.05,0.9
189,1,2.72,0.39,0,0,1,0.975,0,69,1,1.05,0.9
190,1,7.595,1.355,0,0,1,0.975,0,69,1,1.05,0.9
191,1,4.085,0.41,0,0,1,0.975,0,69,1,1.05,0.9
192,1,2.623,0.263,0,0,1,0.975,0,69,1,1.05,0.9
193,1,8.492,0.858,0,0,1,0.975,0,69,1,1.05,0.9
194,1,12.363,1.248,0,0,1,0.975,0,69,1,1.05,0.9
195,1,4.651,0.829,0,0,1,0.975,0,69,1,1.05,0.9
196,1,5.324,0.77,0,0,1,0.975,0,69,1,1.05,0.9
197,1,4.992,0.887,0,0,1,0.975,0,69,1,1.05,0.9
198,1,7.381,1.316,0,0,1,0.975,0,69,1,1.05,0.9
199,1,3.89,0.565,0,0,1,0.975,0,69,1,1.05,0.9
200,1,9.643,1.726,0,0,1,0.975,0,69,1,1.05,0.9
201,1,5.977,1.063,0,0,1,0.975,0,69,1,1.05,0.9
202,1,3.022,0.536,0,0,1,0.975,0,69,1,1.05,0.9
203,1,3.549,0.634,0,0,1,0.975,0,69,1,1.05,0.9
204,1,8.18,1.462,0,0,1,0.975,0,69,1,1.05,0.9
205,1,6.757,0.975,0,0,1,0.975,0,69,1,1.05,0.9
206,1,2.096,0.215,0,0,1,0.975,0,69,1,1.05,0.9
207,1,6.289,1.121,0,0,1,0.975,0,69,1,1.05,0.9
208,1,3.491,0.507,0,0,1,0.975,0,69,1,1.05,0.9
209,1,4.817,0.858,0,0,1,0.975,0,69,1,1.05,0.9
210,1,10.667,1.901,0,0,1,0.975,0,69,1,1.05,0.9
211,1,3.871,0.556,0,0,1,0.975,0,69,1,1.05,0.9
212,1,4.036,0.41,0,0,1,0.975,0,69,1,1.05,0.9
213,1,2.847,0.283,0,0,1,0.975,0,69,1,1.05,0.9
214,1,5.177,0.926,0,0,1,0.975,0,69,1,1.05,0.9
215,1,3.725,0.536,0,0,1,0.975,0,69,1,1.05,0.9
216,1,1.54,0.634,0,0,1,0.975,0,69,1,1.05,0.9
217,1,12.441,1.258,0,0,1,0.975,0,69,1,1.05,0.9
218,1,3.481,0.507,0,0,1,0.975,0,69,1,1.05,0.9
219,1,3.783,0.673,0,0,1,0.975,0,69,1,1.05,0.9
220,1,2.418,0.429,0,0,1,0.975,0,69,1,1.05,0.9
221,1,5.099,0.517,0,0,1,0.975,0,69,1,1.05,0.9
222,1,15.434,2.223,0,0,1,0.975,0,69,1,1.05,0.9
223,1,1.823,0.322,0,0,1,0.975,0,69,1,1.05,0.9
224,1,2.087,0.302,0,0,1,0.975,0,69,1,1.05,0.9
225,1,6.991,0.702,0,0,1,0.975,0,69,1,1.05,0.9
226,1,6.952,1.004,0,0,1,0.975,0,69,1,1.05,0.9
227,1,1.862,0.332,0,0,1,0.975,0,69,1,1.05,0.9
228,1,4.154,0.595,0,0,1,0.975,0,69,1,1.05,0.9
229,1,7.293,1.307,0,0,1,0.975,0,69,1,1.05,0.9
230,1,7.04,1.258,0,0,1,0.975,0,69,1,1.05,0.9
231,1,6.338,0.917,0,0,1,0.975,0,69,1,1.05,0.9
232,1,9.565,0.965,0,0,1,0.975,0,69,1,1.05,0.9
233,1,6.991,1.004,0,0,1,0.975,0,69,1,1.05,0.9
234,1,30.576,4.417,0,0,1,0.975,0,69,1,1.05,0.9
235,1,8.434,1.501,0,0,1,0.975,0,69,1,1.05,0.9
236,1,3.325,0.595,0,0,1,0.975,0,69,1,1.05,0.9
237,1,24.395,2.467,0,0,1,0.975,0,69,1,1.05,0.9
238,1,5.285,0.536,0,0,1,0.975,0,69,1,1.05,0.9
239,1,7.283,1.297,0,0,1,0.975,0,69,1,1.05,0.9
240,1,6.708,0.673,0,0,1,0.975,0,69,1,1.05,0.9
241,1,5.372,0.955,0,0,1,0.975,0,69,1,1.05,0.9
242,1,3.52,0.351,0,0,1,0.975,0,69,1,1.05,0.9
243,1,7.03,1.258,0,0,1,0.975,0,69,1,1.05,0.9
244,1,3.598,0.361,0,0,1,0.975,0,69,1,1.05,0.9
245,1,5.051,0.897,0,0,1,0.975,0,69,1,1.05,0.9
246,1,1.9,0.878,0,0,1,0.975,0,69,1,1.05,0.9
247,1,9.955,1.774,0,0,1,0.975,0,69,1,1.05,0.9
248,1,1.26,0.468,0,0,1,0.975,0,138,1,1.05,0.9
249,1,10.208,1.823,0,0,1,0.975,0,69,1,1.05,0.9
250,1,3.822,0.683,0,0,1,0.975,0,69,1,1.05,0.9
251,1,3.28,0.907,0,0,1,0.975,0,69,1,1.05,0.9
252,1,3.96,1.433,0,0,1,0.975,0,69,1,1.05,0.9
253,1,5.987,0.868,0,0,1,0.975,0,69,1,1.05,0.9
254,1,5.596,0.994,0,0,1,0.975,0,69,1,1.05,0.9
255,1,6.669,0.965,0,0,1,0.975,0,69,1,1.05,0.9
256,1,3.491,0.351,0,0,1,0.975,0,69,1,1.05,0.9
257,1,15.951,2.847,0,0,1,0.975,0,69,1,1.05,0.9
258,1,3.5,0.351,0,0,1,0.975,0,69,1,1.05,0.9
259,1,2.857,0.507,0,0,1,0.975,0,69,1,1.05,0.9
