2,startup,shutdown,n,c2,c1,c0
2,0,0,3,0,34.01833,0
2,0,0,3,0,14.169489,0
2,0,0,3,0,23.018748,0
2,0,0,3,0,36.544528,0
2,0,0,3,0,18.699304,0
2,0,0,3,0,24.732738,0
2,0,0,3,0,38.459628,0
2,0,0,3,0,21.294905,0
2,0,0,3,0,33.879274,0
2,0,0,3,0,30.040749,0
2,0,0,3,0,11.868019,0
2,0,0,3,0,38.013323,0
2,0,0,3,0,57.755194,0
2,0,0,3,0,20.955397,0
2,0,0,3,0,41.358554,0
2,0,0,3,0,24.946092,0
2,0,0,3,0,20.86863,0
2,0,0,3,0,23.425268,0
2,0,0,3,0,17.228792,0
2,0,0,3,0,116.659165,0
2,0,0,3,0,43.616773,0
2,0,0,3,0,31.315769,0
2,0,0,3,0,43.01333,0
2,0,0,3,0,118.488919,0
2,0,0,3,0,24.946496,0
2,0,0,3,0,30.176601,0
2,0,0,3,0,18.176637,0
2,0,0,3,0,27.605738,0
2,0,0,3,0,23.8999,0
2,0,0,3,0,15.467216,0
2,0,0,3,0,105.413705,0
2,0,0,3,0,105.135197,0
2,0,0,3,0,47.183438,0
2,0,0,3,0,16.381577,0
2,0,0,3,0,45.387429,0
2,0,0,3,0,29.230218,0
2,0,0,3,0,37.861028,0
2,0,0,3,0,39.277503,0
2,0,0,3,0,46.423125,0
2,0,0,3,0,36.942541,0
2,0,0,3,0,100.817086,0
2,0,0,3,0,45.065421,0
2,0,0,3,0,20.009863,0
2,0,0,3,0,27.841706,0
2,0,0,3,0,16.897706,0
2,0,0,3,0,34.237697,0
2,0,0,3,0,95.098545,0
2,0,0,3,0,6.44618,0
2,0,0,3,0,37.480683,0
2,0,0,3,0,47.561033,0
2,0,0,3,0,27.008941,0
2,0,0,3,0,33.404921,0
2,0,0,3,0,38.318274,0
2,0,0,3,0,105.413929,0
2,0,0,3,0,42.525338,0
2,0,0,3,0,33.427654,0
2,0,0,3,0,101.030008,0
2,0,0,3,0,34.121036,0
2,0,0,3,0,35.738304,0
2,0,0,3,0,7.034986,0
2,0,0,3,0,34.644063,0
2,0,0,3,0,17.712178,0
2,0,0,3,0,54.580014,0
2,0,0,3,0,35.537215,0
2,0,0,3,0,27.741251,0
2,0,0,3,0,23.26421,0
2,0,0,3,0,45.170915,0
2,0,0,3,0,23.646357,0
2,0,0,3,0,31.675463,0
2,0,0,3,0,28.944582,0
2,0,0,3,0,47.49379,0
2,0,0,3,0,23.017204,0
2,0,0,3,0,17.768797,0
2,0,0,3,0,26.33676,0
2,0,0,3,0,42.284317,0
2,0,0,3,0,36.806588,0
2,0,0,3,0,46.060103,0
2,0,0,3,0,25.11727,0
2,0,0,3,0,36.948013,0
2,0,0,3,0,22.071519,0
2,0,0,3,0,31.94982,0
2,0,0,3,0,35.932776,0
2,0,0,3,0,52.426528,0
2,0,0,3,0,20.617686,0
2,0,0,3,0,25.034441,0
2,0,0,3,0,43.168729,0
2,0,0,3,0,11.291275,0
2,0,0,3,0,23.026445,0
2,0,0,3,0,19.492604,0
2,0,0,3,0,39.998259,0
2,0,0,3,0,33.478323,0
2,0,0,3,0,41.738114,0
2,0,0,3,0,26.618034,0
2,0,0,3,0,25.671854,0
2,0,0,3,0,21.356345,0
2,0,0,3,0,20.991881,0
2,0,0,3,0,22.257707,0
2,0,0,3,0,41.741286,0
2,0,0,3,0,18.692814,0
2,0,0,3,0,50.544652,0
2,0,0,3,0,38.55426,0
2,0,0,3,0,13.936755,0
2,0,0,3,0,42.051636,0
2,0,0,3,0,27.097263,0
2,0,0,3,0,107.996893,0
2,0,0,3,0,34.873074,0
2,0,0,3,0,32.143842,0
2,0,0,3,0,95.67903,0
2,0,0,3,0,51.08461,0
2,0,0,3,0,48.375747,0
2,0,0,3,0,135.23841,0
2,0,0,3,0,35.389108,0
2,0,0,3,0,18.72144,0
2,0,0,3,0,102.24456,0
2,0,0,3,0,44.538821,0
2,0,0,3,0,26.674243,0
2,0,0,3,0,97.940159,0
2,0,0,3,0,121.327601,0
2,0,0,3,0,25.358864,0
2,0,0,3,0,34.693301,0
2,0,0,3,0,16.20078,0
2,0,0,3,0,35.009557,0
2,0,0,3,0,48.662458,0
2,0,0,3,0,27.582743,0
2,0,0,3,0,17.082825,0
2,0,0,3,0,99.251941,0
2,0,0,3,0,28.932327,0
2,0,0,3,0,21.556969,0
2,0,0,3,0,29.643795,0
2,0,0,3,0,15.778189,0
2,0,0,3,0,29.934834,0
2,0,0,3,0,42.955993,0
2,0,0,3,0,28.429944,0
2,0,0,3,0,24.541088,0
2,0,0,3,0,31.151164,0
2,0,0,3,0,32.533861,0
2,0,0,3,0,20.9929,0
2,0,0,3,0,34.019176,0
2,0,0,3,0,41.683132,0
2,0,0,3,0,21.595456,0
2,0,0,3,0,30.53651,0
2,0,0,3,0,30.978552,0
2,0,0,3,0,60.309374,0
2,0,0,3,0,50.127172,0
2,0,0,3,0,23.804996,0
2,0,0,3,0,103.888135,0
2,0,0,3,0,16.414005,0
2,0,0,3,0,44.338124,0
2,0,0,3,0,38.483821,0
2,0,0,3,0,27.539997,0
2,0,0,3,0,5.764857,0
2,0,0,3,0,24.295203,0
2,0,0,3,0,39.63888,0
2,0,0,3,0,122.808844,0
2,0,0,3,0,22.317076,0
2,0,0,3,0,10.697315,0
2,0,0,3,0,110.126915,0
2,0,0,3,0,107.099554,0
2,0,0,3,0,11.397005,0
2,0,0,3,0,35.388843,0
2,0,0,3,0,32.053849,0
2,0,0,3,0,29.25283,0
2,0,0,3,0,11.180959,0
2,0,0,3,0,41.375782,0
2,0,0,3,0,114.778673,0
2,0,0,3,0,29.540266,0
2,0,0,3,0,21.408639,0
2,0,0,3,0,44.554404,0
2,0,0,3,0,118.968338,0
2,0,0,3,0,28.786295,0
2,0,0,3,0,29.612032,0
2,0,0,3,0,107.498585,0
2,0,0,3,0,27.229507,0
2,0,0,3,0,32.93079,0
2,0,0,3,0,31.85483,0
2,0,0,3,0,41.572166,0
2,0,0,3,0,35.076258,0
2,0,0,3,0,45.643443,0
2,0,0,3,0,30.709151,0
2,0,0,3,0,41.876874,0
2,0,0,3,0,23.850696,0
2,0,0,3,0,36.915998,0
2,0,0,3,0,9.640348,0
2,0,0,3,0,23.515752,0
2,0,0,3,0,25.63343,0
2,0,0,3,0,37.853951,0
2,0,0,3,0,22.043766,0
2,0,0,3,0,31.410565,0
2,0,0,3,0,23.715808,0
2,0,0,3,0,37.743915,0
2,0,0,3,0,21.492971,0
2,0,0,3,0,63.534478,0
2,0,0,3,0,44.427651,0
2,0,0,3,0,31.62013,0
2,0,0,3,0,34.10763,0
2,0,0,3,0,23.508294,0
2,0,0,3,0,39.861158,0
2,0,0,3,0,36.941739,0
2,0,0,3,0,34.18636,0
2,0,0,3,0,30.13074,0
2,0,0,3,0,49.899305,0
2,0,0,3,0,24.197615,0
2,0,0,3,0,126.430728,0
2,0,0,3,0,42.456432,0
2,0,0,3,0,12.977333,0
2,0,0,3,0,101.575367,0
2,0,0,3,0,34.980737,0
2,0,0,3,0,25.658409,0
2,0,0,3,0,27.243662,0
2,0,0,3,0,27.956644,0
2,0,0,3,0,36.052626,0
2,0,0,3,0,102.12243,0
2,0,0,3,0,44.195159,0
2,0,0,3,0,25.289209,0
2,0,0,3,0,25.202172,0
2,0,0,3,0,30.487998,0
2,0,0,3,0,32.494321,0
2,0,0,3,0,13.808245,0
2,0,0,3,0,43.873518,0
2,0,0,3,0,21.690796,0
2,0,0,3,0,23.968561,0
2,0,0,3,0,25.836563,0
2,0,0,3,0,43.849759,0
2,0,0,3,0,28.374786,0
2,0,0,3,0,39.866579,0
2,0,0,3,0,113.062373,0
2,0,0,3,0,11.611271,0
2,0,0,3,0,38.064027,0
2,0,0,3,0,47.976183,0
2,0,0,3,0,30.712578,0
2,0,0,3,0,13.581853,0
2,0,0,3,0,23.70758,0
2,0,0,3,0,41.506848,0
2,0,0,3,0,26.706791,0
2,0,0,3,0,33.558043,0
2,0,0,3,0,31.028499,0
2,0,0,3,0,42.884804,0
2,0,0,3,0,28.572031,0
2,0,0,3,0,16.650305,0
2,0,0,3,0,37.300649,0
2,0,0,3,0,53.575968,0
2,0,0,3,0,39.91211,0
2,0,0,3,0,50.074979,0
2,0,0,3,0,57.146776,0
2,0,0,3,0,52.816379,0
2,0,0,3,0,35.299747,0
2,0,0,3,0,22.934121,0
2,0,0,3,0,34.598494,0
2,0,0,3,0,45.056013,0
2,0,0,3,0,51.352622,0
2,0,0,3,0,28.465388,0
2,0,0,3,0,20.830157,0
2,0,0,3,0,24.903471,0
2,0,0,3,0,41.674865,0
2,0,0,3,0,31.575875,0
2,0,0,3,0,9.834996,0
2,0,0,3,0,25.342779,0
2,0,0,3,0,32.827224,0
2,0,0,3,0,48.234092,0
2,0,0,3,0,47.050362,0
2,0,0,3,0,13.971343,0
2,0,0,3,0,37.965744,0
2,0,0,3,0,19.210844,0
2,0,0,3,0,26.521176,0
2,0,0,3,0,20.611287,0
2,0,0,3,0,26.993596,0
2,0,0,3,0,55.257233,0
2,0,0,3,0,49.023737,0
2,0,0,3,0,113.295508,0
2,0,0,3,0,49.922161,0
2,0,0,3,0,26.964751,0
2,0,0,3,0,17.792976,0
2,0,0,3,0,20.50597,0
2,0,0,3,0,101.821771,0
2,0,0,3,0,0,0
2,0,0,3,0,40.159746,0
2,0,0,3,0,11.886174,0
2,0,0,3,0,114.806918,0
2,0,0,3,0,31.265324,0
2,0,0,3,0,29.955955,0
2,0,0,3,0,100.004835,0
2,0,0,3,0,49.695569,0
2,0,0,3,0,25.08151,0
2,0,0,3,0,41.385452,0
2,0,0,3,0,14.121871,0
2,0,0,3,0,26.360412,0
2,0,0,3,0,19.552186,0
2,0,0,3,0,112.281673,0
2,0,0,3,0,30.737971,0
2,0,0,3,0,52.343198,0
2,0,0,3,0,24.226923,0
2,0,0,3,0,30.627733,0
2,0,0,3,0,21.993795,0
2,0,0,3,0,37.156067,0
2,0,0,3,0,34.831011,0
2,0,0,3,0,6.623075,0
2,0,0,3,0,21.048467,0
2,0,0,3,0,33.869183,0
2,0,0,3,0,11.819747,0
2,0,0,3,0,32.505334,0
2,0,0,3,0,16.348951,0
2,0,0,3,0,21.237974,0
2,0,0,3,0,24.617972,0
2,0,0,3,0,49.747665,0
2,0,0,3,0,23.918876,0
2,0,0,3,0,37.359457,0
2,0,0,3,0,65.976933,0
2,0,0,3,0,27.247906,0
2,0,0,3,0,2.420571,0
2,0,0,3,0,43.678593,0
2,0,0,3,0,37.215239,0
2,0,0,3,0,34.678545,0
2,0,0,3,0,105.735737,0
2,0,0,3,0,115.203537,0
2,0,0,3,0,1.389076,0
2,0,0,3,0,44.080154,0
2,0,0,3,0,32.439084,0
2,0,0,3,0,33.221474,0
2,0,0,3,0,118.208222,0
2,0,0,3,0,41.569477,0
2,0,0,3,0,18.452696,0
2,0,0,3,0,39.605368,0
2,0,0,3,0,29.335692,0
2,0,0,3,0,23.377354,0
2,0,0,3,0,44.716905,0
2,0,0,3,0,32.699162,0
2,0,0,3,0,30.58868,0
2,0,0,3,0,48.749378,0
2,0,0,3,0,115.746292,0
2,0,0,3,0,27.853926,0
2,0,0,3,0,42.838136,0
2,0,0,3,0,26.018354,0
2,0,0,3,0,19.99634,0
2,0,0,3,0,19.099048,0
2,0,0,3,0,39.487357,0
2,0,0,3,0,42.839147,0
2,0,0,3,0,114.853364,0
2,0,0,3,0,25.405821,0
2,0,0,3,0,117.088505,0
2,0,0,3,0,36.970645,0
2,0,0,3,0,115.349811,0
2,0,0,3,0,30.71139,0
2,0,0,3,0,108.770174,0
2,0,0,3,0,33.137138,0
2,0,0,3,0,20.85942,0
2,0,0,3,0,36.86772,0
2,0,0,3,0,49.58478,0
2,0,0,3,0,19.149538,0
2,0,0,3,0,25.499907,0
2,0,0,3,0,19.165287,0
2,0,0,3,0,32.594985,0
2,0,0,3,0,37.938335,0
2,0,0,3,0,49.160765,0
2,0,0,3,0,48.460003,0
2,0,0,3,0,20.082506,0
2,0,0,3,0,38.293039,0
2,0,0,3,0,35.43025,0
2,0,0,3,0,38.253287,0
2,0,0,3,0,45.012706,0
2,0,0,3,0,13.038341,0
2,0,0,3,0,18.875099,0
2,0,0,3,0,22.594382,0
2,0,0,3,0,57.078239,0
2,0,0,3,0,24.728961,0
2,0,0,3,0,33.743345,0
2,0,0,3,0,7.846695,0
2,0,0,3,0,25.032137,0
2,0,0,3,0,25.940979,0
2,0,0,3,0,12.222197,0
2,0,0,3,0,21.283019,0
2,0,0,3,0,31.965723,0
2,0,0,3,0,11.206963,0
2,0,0,3,0,36.016352,0
2,0,0,3,0,17.091498,0
2,0,0,3,0,50.633929,0
2,0,0,3,0,44.056189,0
2,0,0,3,0,15.057498,0
2,0,0,3,0,125.920265,0
2,0,0,3,0,14.460281,0
2,0,0,3,0,29.492239,0
2,0,0,3,0,28.377902,0
2,0,0,3,0,23.509762,0
