bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
272,34.463,7.856,18.01,-2.298,1,46.9,1,46.9,22.026
275,0,0,326.858,-72.832,1,888.2,0,888.2,146.11
276,643.217,127.013,326.858,-72.832,1,888.2,1,888.2,398.234
277,16.691,4.1875,9.6,-1.225,1,25,1,25,8.382
277,13.858,4.1875,9.6,-1.225,1,25,1,25,2.716
277,17.3305,4.1875,9.6,-1.225,1,25,1,25,9.661
277,16.8255,4.1875,9.6,-1.225,1,25,1,25,8.651
280,118.674,31.581,80.778,-17.616,1,158.7,1,158.7,78.648
281,0,0,80.778,-17.616,1,158.7,0,158.7,68.611
284,135.035,43.2495,110.623,-24.124,1,217.33,1,217.333,52.737
285,136.374,43.2495,110.623,-24.124,1,217.33,1,217.333,55.415
286,143.288,43.2495,110.623,-24.124,1,217.33,1,217.333,69.243
287,0,0,110.623,-24.124,1,217.33,0,217.333,64.598
288,0,0,110.623,-24.124,1,217.33,0,217.333,52.424
289,122.406,43.2495,110.623,-24.124,1,217.33,1,217.333,27.479
292,0.28,0.0835,0.192,-0.025,1,0.5,1,0.5,0.06
292,0.313,0.0835,0.192,-0.025,1,0.5,1,0.5,0.126
294,0,0,9.162,-1.998,1,18,0,18,5.517
297,130.6165,35.515,90.84,-19.81,1,178.47,1,178.467,82.766
298,132.5635,35.515,90.84,-19.81,1,178.47,1,178.467,86.66
299,0,0,90.84,-19.81,1,178.47,0,178.467,63.99
300,121.061,35.515,90.84,-19.81,1,178.47,1,178.467,63.655
301,0,0,90.84,-19.81,1,178.47,0,178.467,54.225
302,121.1655,35.515,90.84,-19.81,1,178.47,1,178.467,63.864
303,42.106,11.306,25.92,-3.308,1,67.5,1,67.5,16.712
303,40.629,11.306,25.92,-3.308,1,67.5,1,67.5,13.758
306,0,0,3.262,-0.854,1,7,0,7,1.745
306,3.891,1.204,3.262,-0.854,1,7,1,7,0.782
307,22.668,5.645,12.941,-1.651,1,33.7,1,33.7,11.636
307,24.2095,5.645,12.941,-1.651,1,33.7,1,33.7,14.719
307,0,0,12.941,-1.651,1,33.7,0,33.7,6.952
311,0,0,428.597,-95.503,1,1164.67,0,1164.667,186.084
312,809.527,166.547,428.597,-95.503,1,1164.67,1,1164.667,454.387
313,806.4555,166.547,428.597,-95.503,1,1164.67,1,1164.667,448.244
316,237.492,66.191,169.302,-36.92,1,332.62,1,332.617,142.367
317,0,0,169.302,-36.92,1,332.62,0,332.617,38.676
318,184.7845,66.191,169.302,-36.92,1,332.62,1,332.617,36.952
319,209.1735,66.191,169.302,-36.92,1,332.62,1,332.617,85.73
320,0,0,169.302,-36.92,1,332.62,0,332.617,130.581
321,0,0,169.302,-36.92,1,332.62,0,332.617,84.68
324,0,0,61.08,-13.32,1,120,0,120,31.702
325,86.33,23.88,61.08,-13.32,1,120,1,120,52.66
326,88.9155,23.88,61.08,-13.32,1,120,1,120,57.831
327,0,0,61.08,-13.32,1,120,0,120,55.972
328,84.224,23.88,61.08,-13.32,1,120,1,120,48.448
329,70.3275,23.88,61.08,-13.32,1,120,1,120,20.655
330,0.6295,0.172,0.466,-0.122,1,1,1,1,0.259
330,0.5715,0.172,0.466,-0.122,1,1,1,1,0.143
330,0.674,0.172,0.466,-0.122,1,1,1,1,0.348
330,0.7045,0.172,0.466,-0.122,1,1,1,1,0.409
334,42.423,11.868,32.154,-8.418,1,69,1,69,15.846
335,0,0,32.154,-8.418,1,69,0,69,12.549
338,174.097,46.7355,119.539,-26.068,1,234.85,1,234.85,113.344
339,165.63,46.7355,119.539,-26.068,1,234.85,1,234.85,96.41
340,0,0,119.539,-26.068,1,234.85,0,234.85,83.983
341,164.3445,46.7355,119.539,-26.068,1,234.85,1,234.85,93.839
343,0,0,83.569,-21.879,1,179.33,0,179.333,41.662
344,108.947,30.845,83.569,-21.879,1,179.33,1,179.333,38.561
345,0,0,83.569,-21.879,1,179.33,0,179.333,80.146
346,33.0455,9.6515,24.687,-5.384,1,48.5,1,48.5,17.591
346,35.5875,9.6515,24.687,-5.384,1,48.5,1,48.5,22.675
347,0,0,28.8,-3.675,1,75,0,75,36.562
347,54.1725,12.5625,28.8,-3.675,1,75,1,75,33.345
347,52.459,12.5625,28.8,-3.675,1,75,1,75,29.918
350,17.738,4.824,11.059,-1.411,1,28.8,1,28.8,6.676
351,21.4925,4.824,11.059,-1.411,1,28.8,1,28.8,14.185
351,19.996,4.824,11.059,-1.411,1,28.8,1,28.8,11.192
351,19.417,4.824,11.059,-1.411,1,28.8,1,28.8,10.034
354,71.5885,21.89,55.99,-12.21,1,110,1,110,33.177
356,22.006,5.081,11.648,-1.486,1,30.33,1,30.333,13.679
356,17.979,5.081,11.648,-1.486,1,30.33,1,30.333,5.625
356,0,0,11.648,-1.486,1,30.33,0,30.333,12.388
357,13.687,3.6465,9.879,-2.586,1,21.2,1,21.2,6.174
358,36.4625,8.819,20.218,-2.58,1,52.65,1,52.65,20.275
358,38.8985,8.819,20.218,-2.58,1,52.65,1,52.65,25.147
358,36.023,8.819,20.218,-2.58,1,52.65,1,52.65,19.396
358,0,0,20.218,-2.58,1,52.65,0,52.65,15.946
359,0,0,14.048,-3.064,1,27.6,0,27.6,11.587
359,20.4465,5.492,14.048,-3.064,1,27.6,1,27.6,13.293
362,392.1035,121.346,328.763,-86.071,1,705.5,1,705.5,78.707
363,391.8455,121.346,328.763,-86.071,1,705.5,1,705.5,78.191
364,0,0,328.763,-86.071,1,705.5,0,705.5,259.966
365,495.8065,121.346,328.763,-86.071,1,705.5,1,705.5,286.113
367,11.3645,3.4335,7.872,-1.005,1,20.5,1,20.5,2.229
368,14.7755,3.4335,7.872,-1.005,1,20.5,1,20.5,9.051
368,0,0,7.872,-1.005,1,20.5,0,20.5,6.32
369,0,0,7.872,-1.005,1,20.5,0,20.5,9.565
371,178.966,48.8825,132.437,-34.672,1,284.2,1,284.2,73.732
372,209.049,48.8825,132.437,-34.672,1,284.2,1,284.2,133.898
375,15.8795,4.975,12.725,-2.775,1,25,1,25,6.759
378,148.7015,46.123,117.973,-25.727,1,231.77,1,231.775,65.628
379,149.218,46.123,117.973,-25.727,1,231.77,1,231.775,66.661
380,131.406,46.123,117.973,-25.727,1,231.77,1,231.775,31.037
381,172.6965,46.123,117.973,-25.727,1,231.77,1,231.775,113.618
382,0,0,2.842,-0.363,1,7.4,0,7.4,3.554
382,5.1625,1.2395,2.842,-0.363,1,7.4,1,7.4,2.925
382,4.139,1.2395,2.842,-0.363,1,7.4,1,7.4,0.878
382,4.7965,1.2395,2.842,-0.363,1,7.4,1,7.4,2.193
384,0,0,5.76,-0.735,1,15,0,15,5.179
384,11.1675,2.5125,5.76,-0.735,1,15,1,15,7.335
384,9.073,2.5125,5.76,-0.735,1,15,1,15,3.146
384,8.689,2.5125,5.76,-0.735,1,15,1,15,2.378
386,47.404,11.2785,25.856,-3.299,1,67.33,1,67.333,27.475
386,48.736,11.2785,25.856,-3.299,1,67.33,1,67.333,30.139
386,39.1825,11.2785,25.856,-3.299,1,67.33,1,67.333,11.032
386,46.2705,11.2785,25.856,-3.299,1,67.33,1,67.333,25.208
386,39.964,11.2785,25.856,-3.299,1,67.33,1,67.333,12.595
