bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
4,0,0,0,0,1.0111115,100,0,12,0
4,0,0,0,0,1.0111115,100,0,10,0
5,4.55,0,0,0,1.0079355,100,1,9.1,0
11,0,0,0,0,1.000001,100,0,28,0
11,0,0,0,0,1.000001,100,0,18,0
17,4.1,0,0,0,1.022224,100,1,8.2,0
19,0,0,0,0,0.999999,100,0,1.2,0
22,0,0,0,0,1.0158755,100,0,10,0
24,0,0,0,0,1.033333,100,0,16.1,0
24,17.75,0,0,0,1.033333,100,1,35.5,0
25,18,0,0,0,1.022222,100,1,36,0
25,0,0,0,0,1.022222,100,0,27.2,0
40,0,0,0,0,1.027779,100,0,8,0
47,8,0,9.5,-9.5,0.999999,100,1,16,0
47,0,-1.81,9.5,-9.5,0.999999,100,0,16,0
48,11.5,0,0,0,1.000001,100,1,23,0
48,12,0,0,0,1.000001,100,1,24,0
57,6.5,0.95,1,0.9,1.0000025,100,1,13,0
64,0,0,0,0,0.9888895,100,0,24,0
64,13.8,0,0,0,0.9888895,100,1,27.6,0
69,15.02,0,0,0,1.0079355,100,1,30.04,0
70,11.5,0,0,0,1.0158755,100,1,23,0
85,0,0,0,0,0.999999,100,0,6.68,0
86,4.6,0,0,0,1.022224,100,1,9.2,0
102,23,6,21,-9,1.0158755,100,1,46,0
122,6,1.5,5,-2,1.0158755,100,1,12,0
124,4.5,0,0,0,1.022224,100,1,9,0
125,13,0,0,0,1.0158755,100,1,26,0
125,6,0,0,0,1.0158755,100,1,12,0
132,8.5,0,3,-3,1.000001,100,1,17,0
132,0,1,1,-1,1.000001,100,0,4,0
132,0,1.99,3,-3,1.000001,100,0,14,0
132,0,1.99,3,-3,1.000001,100,0,14,0
137,0,-0.57,0.8,-0.8,1.015872,100,0,18,0
137,9,0,0.8,-0.8,1.015872,100,1,18,0
155,0,-1.75,1.76,-1.76,1.0000025,100,0,5.3,0
158,8.95,-1.5,10,-13,0.9444445,100,1,17.9,0
158,0,-2.57,10,-13,0.9444445,100,0,17.9,0
177,0,-1.56,10,-4,1,100,0,30,0
190,0,-1.41,8,-8,1.0000025,100,0,11,0
190,0,-1.41,2,-2,1.0000025,100,0,11,0
192,0,-2.63,14,-14,0.9444445,100,0,30,0
194,0,0,0,0,1.0000025,100,0,23.5,0
196,7.5,0.95,1,0.9,1.0000025,100,1,15,0
196,7.5,0.95,1,0.9,1.0000025,100,1,15,0
219,5.97,0,0,0,1.022224,100,1,11.94,0
226,0,0,2,0,1,100,0,6,0
229,3.75,0,0,0,1.0079355,100,1,7.5,0
238,16.75,0,0,0,1.000001,100,1,33.5,0
238,12.15,0,0,0,1.000001,100,1,24.3,0
240,0,0,0,0,1.022224,100,0,8,0
240,18,0,0,0,1.022224,100,1,36,0
248,0,0,2,0,0.999999,100,0,1,0
248,0,-2.77,10,-10,0.999999,100,0,31,0
248,0,-2.77,10,-10,0.999999,100,0,31,0
248,0,-2.77,10,-10,0.999999,100,0,31,0
258,0,-1.94,10,-10,1.0000025,100,0,26,0
258,0,0.23,10,-10,1.0000025,100,0,26,0
260,15,0.95,1,0.9,1.000001,100,1,30,0
263,4,0,4,-4,1.0000025,100,1,8,0
271,0,0,0,0,1.0000025,100,0,12.6,0
284,0,-2.78,6.1,-6.2,0.999999,100,0,11.6,0
297,0,0,0,0,0.9888895,100,0,25.3,0
298,0,0,0,0,1.0158755,100,0,12,0
307,7.5,0,9,-9,0.999999,100,1,15,0
314,12.9,0,0,0,1.000001,100,1,25.8,0
314,24.8,0,0,0,1.000001,100,1,49.6,0
319,0,0,0,0,1.0000025,100,0,0,-7
319,0,0,0,0,1.0000025,100,0,0,-7
321,5.4,0,0.1,-0.1,1.0000025,100,1,10.8,0
327,0,-0.57,4,-4,0.999999,100,0,11,0
334,0,0.13,13,-9,1.015872,100,0,25,0
335,12.5,2,13,-9,1.0233335,100,1,25,0
338,6.5,-0.5,5,-6,1.0000025,100,1,13,0
340,0,-1.82,10,-10,1.0000025,100,0,21,0
340,0,-0.1,0.1,-0.1,1.0000025,100,0,2,0
347,0,0,0,0,1.027779,100,0,2.3,0
347,9.75,0,0,0,1.027779,100,1,19.5,0
350,0,0,0,0,1.022222,100,0,22,0
358,0,1.84,30,-30,1.0000025,100,0,30,0
359,6,0,0,0,1.0158755,100,1,12,0
359,6,0,0,0,1.0158755,100,1,12,0
366,65,16.5,59,-26,1.046665,100,1,130,0
393,0,0,0,0,1.0000025,100,0,2.7,0
412,5,0,0,0,1.022224,100,1,10,0
412,5.75,0,0,0,1.022224,100,1,11.5,0
432,0,0,0,0,1.0000025,100,0,12,0
441,0,1.33,10.96,-11.99,1.0000025,100,0,34.25,0
448,0,0.71,8,-9,1.015872,100,0,25,0
463,0,0,0,0,1.0079355,100,0,2.4,0
463,8,0,0,0,1.0079355,100,1,16,0
465,14,1.5,6,-3,0.985555,100,1,27,1
465,14,1.5,6,-3,0.985555,100,1,27,1
467,24.5,4.5,19,-10,1.0079355,100,1,48,1
471,0,-2.86,6,-6,0.999999,100,0,10,0
471,0,-5.4,5.4,-5.4,0.999999,100,0,9,0
480,0,-2.66,17,-16,0.999999,100,0,27,0
480,0,-2.66,17,-16,0.999999,100,0,27,0
480,0,-2.66,17,-16,0.999999,100,0,27,0
492,0,-0.74,8,-17,1.033334,100,0,23.4,0
509,0,0.34,2,-2,0.999999,100,0,4,0
518,0,0,0,0,1.015874,100,0,10,0
519,6,0,0,0,1.022224,100,1,12,0
529,0,-1.62,4.8,-4.8,0.999999,100,0,8,0
529,0,-1.62,4.8,-4.8,0.999999,100,0,8,0
529,4,0,4.8,-4.8,0.999999,100,1,8,0
535,6,0,0,0,1.022224,100,1,12,0
535,12,0,0,0,1.022224,100,1,24,0
544,4.5,1.95,2,1.9,1.0000025,100,1,9,0
547,0,0,2,0,1.0000025,100,0,12,0
569,6,0,0,0,1.0158755,100,1,12,0
569,15,0,0,0,1.0158755,100,1,30,0
569,5.75,0,0,0,1.0158755,100,1,11.5,0
582,8,1.5,7,-4,1.0000005,100,1,16,0
584,4.5,0,0,0,1.0158755,100,1,9,0
585,4.75,0,5.7,-5.7,0.999999,100,1,9.5,0
588,0,0.1,0.1,-0.1,1.000001,100,0,1,0
592,0,0.82,10,-10,1.0000025,100,0,21,0
599,0,0.03,1,-1,1.015872,100,0,6.1,0
609,22.5,0,45,-45,0.975,100,1,45,0
609,0,-1.04,45,-45,0.975,100,0,45,0
