2,startup,shutdown,n,c2,c1,c0
2,0,0,3,0,10.258323,0
2,0,0,3,0,35.739304,0
2,0,0,3,0,25.382856,0
2,0,0,3,0,22.57053,0
2,0,0,3,0,24.410748,0
2,0,0,3,0,37.397266,0
2,0,0,3,0,14.602967,0
2,0,0,3,0,6.171706,0
2,0,0,3,0,26.392883,0
2,0,0,3,0,29.720369,0
2,0,0,3,0,35.601645,0
2,0,0,3,0,19.829521,0
2,0,0,3,0,15.01068,0
2,0,0,3,0,9.860522,0
2,0,0,3,0,11.144193,0
2,0,0,3,0,0.348478,0
2,0,0,3,0,45.48034,0
2,0,0,3,0,48.260283,0
2,0,0,3,0,28.185912,0
2,0,0,3,0,32.876654,0
2,0,0,3,0,29.050011,0
2,0,0,3,0,17.693424,0
2,0,0,3,0,28.179452,0
2,0,0,3,0,16.78295,0
2,0,0,3,0,34.077711,0
2,0,0,3,0,25.254765,0
2,0,0,3,0,25.888316,0
2,0,0,3,0,38.064806,0
2,0,0,3,0,35.093256,0
2,0,0,3,0,33.895058,0
2,0,0,3,0,42.531078,0
2,0,0,3,0,44.703485,0
2,0,0,3,0,19.144125,0
2,0,0,3,0,39.146988,0
2,0,0,3,0,32.283038,0
2,0,0,3,0,33.961897,0
2,0,0,3,0,24.001968,0
2,0,0,3,0,26.922445,0
2,0,0,3,0,28.934071,0
2,0,0,3,0,29.194991,0
2,0,0,3,0,39.793039,0
2,0,0,3,0,43.399752,0
2,0,0,3,0,20.054935,0
2,0,0,3,0,18.252906,0
2,0,0,3,0,41.981874,0
2,0,0,3,0,42.98204,0
2,0,0,3,0,16.220225,0
2,0,0,3,0,21.265424,0
2,0,0,3,0,17.662994,0
2,0,0,3,0,15.838148,0
2,0,0,3,0,6.883722,0
2,0,0,3,0,118.07669,0
2,0,0,3,0,19.82896,0
2,0,0,3,0,18.889404,0
2,0,0,3,0,32.470152,0
2,0,0,3,0,26.491829,0
2,0,0,3,0,24.981434,0
2,0,0,3,0,38.427501,0
2,0,0,3,0,38.894704,0
2,0,0,3,0,34.810352,0
2,0,0,3,0,32.089221,0
2,0,0,3,0,24.960517,0
2,0,0,3,0,40.587389,0
2,0,0,3,0,36.44582,0
2,0,0,3,0,6.803769,0
2,0,0,3,0,27.474887,0
2,0,0,3,0,28.188143,0
2,0,0,3,0,27.672537,0
2,0,0,3,0,37.476158,0
2,0,0,3,0,38.32436,0
2,0,0,3,0,29.361646,0
2,0,0,3,0,46.894604,0
2,0,0,3,0,33.066585,0
2,0,0,3,0,10.656581,0
2,0,0,3,0,15.138451,0
2,0,0,3,0,34.209845,0
2,0,0,3,0,24.094682,0
2,0,0,3,0,24.965438,0
2,0,0,3,0,23.765406,0
2,0,0,3,0,30.752977,0
2,0,0,3,0,22.474015,0
2,0,0,3,0,34.978644,0
2,0,0,3,0,30.995415,0
2,0,0,3,0,18.020307,0
2,0,0,3,0,22.902755,0
2,0,0,3,0,28.059178,0
2,0,0,3,0,31.565151,0
2,0,0,3,0,23.86504,0
2,0,0,3,0,19.68005,0
2,0,0,3,0,26.499589,0
2,0,0,3,0,28.385891,0
2,0,0,3,0,39.23531,0
2,0,0,3,0,31.599182,0
2,0,0,3,0,30.64784,0
2,0,0,3,0,38.31144,0
2,0,0,3,0,7.517541,0
2,0,0,3,0,14.951813,0
2,0,0,3,0,24.810462,0
2,0,0,3,0,79.708144,0
2,0,0,3,0,23.802999,0
2,0,0,3,0,34.702382,0
2,0,0,3,0,38.611659,0
2,0,0,3,0,7.619883,0
2,0,0,3,0,42.1954,0
2,0,0,3,0,7.253371,0
2,0,0,3,0,37.314915,0
2,0,0,3,0,31.383243,0
2,0,0,3,0,22.446061,0
2,0,0,3,0,27.981934,0
2,0,0,3,0,100.586864,0
2,0,0,3,0,33.204589,0
2,0,0,3,0,7.122779,0
2,0,0,3,0,18.6669,0
2,0,0,3,0,7.550981,0
2,0,0,3,0,35.604133,0
2,0,0,3,0,19.804309,0
2,0,0,3,0,26.144799,0
2,0,0,3,0,44.14781,0
2,0,0,3,0,35.562693,0
2,0,0,3,0,35.807424,0
2,0,0,3,0,39.446996,0
2,0,0,3,0,18.53867,0
2,0,0,3,0,30.90988,0
2,0,0,3,0,30.544167,0
2,0,0,3,0,35.965332,0
2,0,0,3,0,7.051011,0
2,0,0,3,0,42.356822,0
2,0,0,3,0,27.296003,0
2,0,0,3,0,30.938094,0
2,0,0,3,0,28.931033,0
2,0,0,3,0,22.588806,0
2,0,0,3,0,37.302716,0
2,0,0,3,0,37.977313,0
2,0,0,3,0,4.345048,0
2,0,0,3,0,22.462959,0
2,0,0,3,0,19.814769,0
2,0,0,3,0,8.0167,0
2,0,0,3,0,20.456068,0
2,0,0,3,0,44.670249,0
2,0,0,3,0,43.366752,0
2,0,0,3,0,36.105171,0
2,0,0,3,0,25.107671,0
2,0,0,3,0,37.943609,0
2,0,0,3,0,33.086316,0
2,0,0,3,0,36.303918,0
2,0,0,3,0,29.260622,0
2,0,0,3,0,98.992318,0
2,0,0,3,0,27.405063,0
2,0,0,3,0,17.378434,0
2,0,0,3,0,34.198047,0
2,0,0,3,0,36.694475,0
2,0,0,3,0,37.735549,0
2,0,0,3,0,8.912924,0
2,0,0,3,0,38.250898,0
2,0,0,3,0,14.979523,0
2,0,0,3,0,28.53811,0
2,0,0,3,0,39.424853,0
2,0,0,3,0,39.296805,0
2,0,0,3,0,14.861628,0
2,0,0,3,0,29.670276,0
2,0,0,3,0,33.798273,0
2,0,0,3,0,28.33667,0
2,0,0,3,0,18.404323,0
2,0,0,3,0,41.060039,0
2,0,0,3,0,32.08086,0
2,0,0,3,0,33.555466,0
2,0,0,3,0,13.210681,0
2,0,0,3,0,32.184103,0
2,0,0,3,0,16.825774,0
2,0,0,3,0,30.459416,0
2,0,0,3,0,31.825995,0
2,0,0,3,0,25.704435,0
2,0,0,3,0,113.881521,0
2,0,0,3,0,48.679477,0
2,0,0,3,0,37.090734,0
2,0,0,3,0,44.629615,0
2,0,0,3,0,4.688,0
2,0,0,3,0,7.924707,0
2,0,0,3,0,15.196866,0
2,0,0,3,0,31.536394,0
2,0,0,3,0,41.05166,0
2,0,0,3,0,36.290422,0
2,0,0,3,0,16.038621,0
2,0,0,3,0,32.583295,0
2,0,0,3,0,18.644095,0
2,0,0,3,0,25.524756,0
2,0,0,3,0,36.090071,0
2,0,0,3,0,43.804954,0
2,0,0,3,0,26.393553,0
2,0,0,3,0,47.182687,0
2,0,0,3,0,14.350508,0
2,0,0,3,0,14.275729,0
2,0,0,3,0,24.479866,0
2,0,0,3,0,114.612148,0
2,0,0,3,0,32.065876,0
2,0,0,3,0,29.385085,0
2,0,0,3,0,36.659346,0
2,0,0,3,0,4.6021,0
2,0,0,3,0,58.771001,0
2,0,0,3,0,15.431582,0
2,0,0,3,0,13.723693,0
2,0,0,3,0,32.352216,0
2,0,0,3,0,20.730786,0
2,0,0,3,0,20.377738,0
2,0,0,3,0,40.796242,0
2,0,0,3,0,30.862032,0
2,0,0,3,0,108.591549,0
2,0,0,3,0,27.581419,0
2,0,0,3,0,27.043459,0
2,0,0,3,0,21.416613,0
2,0,0,3,0,30.046106,0
2,0,0,3,0,10.516844,0
